"dt_notific","n.notific"
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-07-12,1
2020-07-19,1
2020-07-26,1
2020-08-02,2
2020-08-09,1
2020-08-16,1
2020-08-30,3
2020-09-06,3
2020-09-13,1
2020-09-27,1
2020-10-04,3
2020-10-11,1
2020-10-18,3
2020-10-25,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,2
2020-12-13,3
2020-12-20,2
2021-01-03,3
2021-01-10,4
2021-01-17,5
2021-01-24,4
2021-01-31,4
2021-02-07,8
2021-02-14,6
2021-02-21,12
2021-02-28,12
2021-03-07,20
2021-03-14,17
2021-03-21,19
2021-03-28,18
2021-04-04,10
2021-04-11,2
2021-04-18,6
2021-04-25,7
2021-05-02,5
2021-05-09,4
2021-05-16,11
2021-05-23,6
2021-05-30,11
2021-06-06,16
2021-06-13,11
2021-06-20,8
2021-06-27,5
2021-07-04,11
2021-07-11,5
2021-07-18,8
2021-07-25,2
2021-08-01,4
2021-08-08,3
2021-08-15,1
2021-08-29,1
