"dt_notific","n.notific"
2020-03-15,1
2020-03-22,4
2020-03-29,5
2020-04-05,3
2020-04-12,3
2020-04-19,2
2020-04-26,8
2020-05-03,5
2020-05-10,5
2020-05-17,13
2020-05-24,14
2020-05-31,8
2020-06-07,9
2020-06-14,5
2020-06-21,8
2020-06-28,6
2020-07-05,13
2020-07-12,10
2020-07-19,12
2020-07-26,15
2020-08-02,11
2020-08-09,7
2020-08-16,13
2020-08-23,11
2020-08-30,11
2020-09-06,9
2020-09-13,7
2020-09-20,9
2020-09-27,10
2020-10-04,13
2020-10-11,18
2020-10-18,12
2020-10-25,11
2020-11-01,6
2020-11-08,6
2020-11-15,12
2020-11-22,9
2020-11-29,5
2020-12-06,10
2020-12-13,13
2020-12-20,21
2020-12-27,7
2021-01-03,9
2021-01-10,23
2021-01-17,20
2021-01-24,13
2021-01-31,18
2021-02-07,24
2021-02-14,27
2021-02-21,30
2021-02-28,35
2021-03-07,50
2021-03-14,37
2021-03-21,39
2021-03-28,51
2021-04-04,33
2021-04-11,12
2021-04-18,14
2021-04-25,17
2021-05-02,17
2021-05-09,17
2021-05-16,25
2021-05-23,24
2021-05-30,34
2021-06-06,46
2021-06-13,46
2021-06-20,27
2021-06-27,25
2021-07-04,30
2021-07-11,29
2021-07-18,17
2021-07-25,10
2021-08-01,11
2021-08-08,11
2021-08-15,4
2021-08-22,2
2021-08-29,6
2021-09-05,4
2021-09-12,2
2021-09-19,2
2021-09-26,1
