"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.0913329832469127,0.380187286158758,0.272991263343888,0.0277802601783999,7.09650864945229e-13,0.0201261902065135,1.26148294554251e-05,5.00315589409539e-06,6.50787171093724e-06,0.0772295118861401,-2.25360370848164,-0.827451703513066,-1.15867590086172,-3.44378999017577,-27.8343636994817,-3.76609373087905,-11.1409979093012,-12.0658020799698,-11.8028584954682,-2.42133403083238,-0.139639585850884,8.07174148851422
0.134268645245723,0.55891344000208,0.401324535671959,0.0408397685712683,1.04325794303748e-12,0.0295875180785539,1.85450644528577e-05,7.35514093563836e-06,9.56722409579283e-06,0.113535127894675,-2.25360370848164,-0.827451703513066,-1.15867590086172,-3.44378999017577,-27.8343636994817,-3.76609373087905,-11.1409979093012,-12.0658020799698,-11.8028584954682,-2.42133403083238,0.245691037756814,15.6535459330048
0.140995478849173,0.586914897101355,0.421430818620644,0.0428858332133862,1.09552496766894e-12,0.0310698471099466,1.94741686566823e-05,7.7236320983623e-06,1.00465402043418e-05,0.119223216220108,-2.25360370848164,-0.827451703513066,-1.15867590086172,-3.44378999017577,-27.8343636994817,-3.76609373087905,-11.1409979093012,-12.0658020799698,-11.8028584954682,-2.42133403083238,0.294576254464095,16.1237484835956
0.151820333471421,0.631974983343911,0.45378595072941,0.0461783707732998,1.17963332778697e-12,0.0334552184767863,2.09692878358103e-05,8.31660993923294e-06,1.08178581079812e-05,0.128376516692673,-2.25360370848164,-0.827451703513066,-1.15867590086172,-3.44378999017577,-27.8343636994817,-3.76609373087905,-11.1409979093012,-12.0658020799698,-11.8028584954682,-2.42133403083238,0.368546234577749,15.4638163772203
0.0968403389313947,0.377894707662029,0.379536318176132,0.0381005116295997,1.26397499611551e-12,0.0228821541256114,2.36093726805996e-05,6.5024716843349e-06,1.09772003852682e-05,0.113607184686056,-2.36318415693868,-1.0016321832552,-0.997297496587968,-3.29602007827264,-27.4252521118851,-3.80589047798703,-10.6823592872233,-11.9718207041458,-11.448182638345,-2.20350103915057,0.0284925099314165,11.3923554749383
0.10339062863265,0.403455541495038,0.405208190699863,0.0406776338463728,1.3494703846185e-12,0.024429905198826,2.520631288578e-05,6.94229948519359e-06,1.17196992594531e-05,0.12129158542287,-2.36318415693868,-1.0016321832552,-0.997297496587968,-3.29602007827264,-27.4252521118851,-3.80589047798703,-10.6823592872233,-11.9718207041458,-11.448182638345,-2.20350103915057,0.0939432037441325,15.770277812611
0.146681642634512,0.572387675161112,0.574874181604933,0.0577098933431471,1.91451135678614e-12,0.034659027335071,3.57605271168462e-05,9.84913145046247e-06,1.66268912501435e-05,0.172077965119872,-2.36318415693868,-1.0016321832552,-0.997297496587968,-3.29602007827264,-27.4252521118851,-3.80589047798703,-10.6823592872233,-11.9718207041458,-11.448182638345,-2.20350103915057,0.443693419859658,11.7050448606685
0.095274508089617,0.676747333672372,0.429922900487665,0.0441188057919688,8.19150524808854e-13,0.042522385772221,2.83684786026828e-05,1.45211879992121e-05,1.30114437229932e-05,0.0959498281953892,-2.67639826339091,-0.715862558492967,-1.16955465565942,-3.44627442033198,-28.1559138050667,-3.48312988576696,-10.7956372056548,-11.465307001884,-11.5750865694405,-2.66933511519101,0.325405268097031,10.7236610395107
0.173562435552422,0.751340390994782,0.739523314308722,0.0905337894365278,2.45797643982458e-12,0.0491386554843265,8.20457885896479e-05,1.60399477733229e-05,8.63940488295342e-06,0.143877140619259,-2.41806341581426,-0.952742010156009,-0.968595000780591,-3.06887766459674,-27.3985282205075,-3.67995480376179,-10.0750785996882,-11.7072737421355,-12.3260223873854,-2.60564106430109,0.666845530577048,7.24717032712349
0.136148331966133,0.589377192404202,0.580107471831302,0.0710178120001864,1.92812108927277e-12,0.0385460480429181,6.43595327858412e-05,1.25822856035125e-05,6.77704573717454e-06,0.112862167674827,-2.41806341581426,-0.95274201015601,-0.968595000780591,-3.06887766459674,-27.3985282205075,-3.67995480376179,-10.0750785996882,-11.7072737421355,-12.3260223873854,-2.60564106430109,0.424053104434553,11.4157541311183
