"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.107636712259192,0.734215283582765,0.378023238775658,0.120050838181821,6.35071321341666e-06,0.000298072104702878,1.80598879189323e-05,0.00679294898818298,1.73346985536551e-06,2.60484684031074e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.297913930115739,6.12421784167203
0.165987582224439,1.13224026631979,0.582953177517409,0.18513152209474,9.79349433451136e-06,0.00045965978474928,2.78503223295165e-05,0.0104754702652686,2.67320010163629e-06,4.01695871244176e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.73106512826245,5.17595866206142
0.167196684391362,1.14048783605445,0.587199579210266,0.186480074326965,9.86483301577243e-06,0.000463008081256402,2.80531922347639e-05,0.010551776658961,2.69267247416074e-06,4.04621941627613e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.738323018839657,8.96437722965538
0.134946311500708,0.920500471329463,0.473935339194363,0.150510150906449,7.96201691376165e-06,0.000373698994020239,2.26420447970156e-05,0.00851645680109921,2.17328603010414e-06,3.26574888573102e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.524029155331289,7.63175498080036
0.181730134094391,1.23962390841469,0.63824147385763,0.202689718619338,1.07223264223278e-05,0.000503254720629256,3.04916954852173e-05,0.0114689821400916,2.92673106277693e-06,4.39793408447029e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.821674955550801,9.17556538831585
0.158123798993567,1.07859955476605,0.555335343940278,0.176360780696832,9.32952037039133e-06,0.000437883065920216,2.65308929193507e-05,0.00997918719214006,2.54655528971543e-06,3.82665235254012e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.682530412736219,4.79879512189421
0.138737020045779,0.946357784238619,0.487248416966672,0.154738055387988,8.18567390160631e-06,0.000384196383346137,2.32780710191141e-05,0.00875568827923771,2.23433470815678e-06,3.35748538500637e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.551732347611808,7.84183653313146
0.174545899986924,1.1906185609656,0.613010236406902,0.194676901168922,1.02984467857527e-05,0.000483359837776142,2.92862846171131e-05,0.011015585387377,2.81103026703732e-06,4.22407305581097e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.781339892809499,6.43794273371272
0.106759054168435,0.728228571702875,0.374940878240463,0.119071956653195,6.29893018588963e-06,0.000295641657053272,1.79126295493896e-05,0.00673756001805885,1.71933532996323e-06,2.5836072013753e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.289726613659024,4.7498159667682
0.166477050214189,1.1355790423875,0.584672203218573,0.185677442173487,9.82237361524007e-06,0.000461015240065846,2.79324479988095e-05,0.0105063605722645,2.68108289541166e-06,4.02880401243069e-06,-2.52690742756302,-0.606866921604072,-1.27071353712552,-2.41775390451562,-12.264857364409,-8.41608906875252,-11.2197311461496,-5.28978404838504,-13.5632993915515,-13.1560506091096,0.73400961194963,4.84928552030297
