"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,1,NA,NA,NA,1,NA,NA,NA
2020-04-19,3,NA,NA,NA,3,NA,NA,NA
2020-04-26,5,NA,NA,NA,5,NA,NA,NA
2020-05-10,6,NA,NA,NA,6,NA,NA,NA
2020-05-17,12,NA,NA,NA,12,NA,NA,NA
2020-05-24,17,NA,NA,NA,17,NA,NA,NA
2020-06-07,22,NA,NA,NA,22,NA,NA,NA
2020-06-14,24,NA,NA,NA,24,NA,NA,NA
2020-06-21,27,NA,NA,NA,27,NA,NA,NA
2020-06-28,29,NA,NA,NA,29,NA,NA,NA
2020-07-05,32,NA,NA,NA,32,NA,NA,NA
2020-07-19,37,NA,NA,NA,37,NA,NA,NA
2020-07-26,40,NA,NA,NA,40,NA,NA,NA
2020-08-02,43,NA,NA,NA,43,NA,NA,NA
2020-08-09,45,NA,NA,NA,45,NA,NA,NA
2020-08-16,48,NA,NA,NA,48,NA,NA,NA
2020-08-23,50,NA,NA,NA,50,NA,NA,NA
2020-08-30,52,NA,NA,NA,52,NA,NA,NA
2020-09-06,57,NA,NA,NA,57,NA,NA,NA
2020-09-13,62,NA,NA,NA,62,NA,NA,NA
2020-09-20,65,NA,NA,NA,65,NA,NA,NA
2020-09-27,67,NA,NA,NA,67,NA,NA,NA
2020-10-04,70,NA,NA,NA,70,NA,NA,NA
2020-10-11,74,NA,NA,NA,74,NA,NA,NA
2020-10-18,78,NA,NA,NA,78,NA,NA,NA
2020-10-25,81,NA,NA,NA,81,NA,NA,NA
2020-11-01,82,NA,NA,NA,82,NA,NA,NA
2020-11-08,86,NA,NA,NA,86,NA,NA,NA
2020-11-15,88,NA,NA,NA,88,NA,NA,NA
2020-11-22,89,NA,NA,NA,89,NA,NA,NA
2020-11-29,90,NA,NA,NA,90,NA,NA,NA
2020-12-06,91,NA,NA,NA,91,NA,NA,NA
2020-12-13,93,NA,NA,NA,93,NA,NA,NA
2020-12-20,99,NA,NA,NA,99,NA,NA,NA
2020-12-27,103,NA,NA,NA,103,NA,NA,NA
2021-01-03,105,NA,NA,NA,105,NA,NA,NA
2021-01-10,107,NA,NA,NA,107,NA,NA,NA
2021-01-17,111,NA,NA,NA,111,NA,NA,NA
2021-01-24,114,NA,NA,NA,114,NA,NA,NA
2021-01-31,120,NA,NA,NA,120,NA,NA,NA
2021-02-07,125,NA,NA,NA,125,NA,NA,NA
2021-02-14,128,NA,NA,NA,128,NA,NA,NA
2021-02-21,134,NA,NA,NA,134,NA,NA,NA
2021-02-28,148,NA,NA,NA,148,NA,NA,NA
2021-03-07,157,NA,NA,NA,157,NA,NA,NA
2021-03-14,178,NA,NA,NA,178,NA,NA,NA
2021-03-21,201,NA,NA,NA,201,NA,NA,NA
2021-03-28,214,NA,NA,NA,214,NA,NA,NA
2021-04-04,223,NA,NA,NA,223,NA,NA,NA
2021-04-11,236,NA,NA,NA,236,NA,NA,NA
2021-04-18,245,NA,NA,NA,245,NA,NA,NA
2021-04-25,255,NA,NA,NA,255,NA,NA,NA
2021-05-02,264,NA,NA,NA,264,NA,NA,NA
2021-05-09,267,NA,NA,NA,267,NA,NA,NA
2021-05-16,274,NA,NA,NA,274,NA,NA,NA
2021-05-23,281,NA,NA,NA,281,NA,NA,NA
2021-05-30,293,NA,NA,NA,293,NA,NA,NA
2021-06-06,307,NA,NA,NA,307,NA,NA,NA
2021-06-13,317,NA,NA,NA,317,NA,NA,NA
2021-06-20,331,NA,NA,NA,331,NA,NA,NA
2021-06-27,336,NA,NA,NA,336,NA,NA,NA
2021-07-04,344,NA,NA,NA,344,NA,NA,NA
2021-07-11,358,NA,NA,NA,358,NA,NA,NA
2021-07-18,364,NA,NA,NA,364,NA,NA,NA
2021-07-25,368,NA,NA,NA,368,NA,NA,NA
2021-08-01,376,NA,NA,NA,377,NA,NA,NA
2021-08-08,383,NA,NA,NA,384,NA,NA,NA
2021-08-15,385,NA,NA,NA,386,NA,NA,NA
2021-08-22,386,NA,NA,NA,387,NA,NA,NA
2021-08-29,387,NA,NA,NA,388,NA,NA,NA
2021-09-05,387,NA,NA,NA,388,NA,NA,NA
2021-09-12,389,NA,NA,NA,390,NA,NA,NA
2021-09-19,391,NA,NA,NA,392,NA,NA,NA
2021-09-26,393,393,392,406,393,393,393,393
2021-10-03,NA,395,394,410,NA,393,393,393
