"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,5,NA,NA,NA,5,NA,NA,NA
2020-03-22,8,NA,NA,NA,8,NA,NA,NA
2020-03-29,14,NA,NA,NA,14,NA,NA,NA
2020-04-05,16,NA,NA,NA,16,NA,NA,NA
2020-04-12,18,NA,NA,NA,18,NA,NA,NA
2020-04-19,24,NA,NA,NA,24,NA,NA,NA
2020-04-26,31,NA,NA,NA,31,NA,NA,NA
2020-05-03,37,NA,NA,NA,37,NA,NA,NA
2020-05-10,48,NA,NA,NA,48,NA,NA,NA
2020-05-17,60,NA,NA,NA,60,NA,NA,NA
2020-05-24,69,NA,NA,NA,69,NA,NA,NA
2020-05-31,81,NA,NA,NA,81,NA,NA,NA
2020-06-07,87,NA,NA,NA,87,NA,NA,NA
2020-06-14,94,NA,NA,NA,94,NA,NA,NA
2020-06-21,99,NA,NA,NA,99,NA,NA,NA
2020-06-28,112,NA,NA,NA,112,NA,NA,NA
2020-07-05,127,NA,NA,NA,127,NA,NA,NA
2020-07-12,136,NA,NA,NA,136,NA,NA,NA
2020-07-19,143,NA,NA,NA,143,NA,NA,NA
2020-07-26,160,NA,NA,NA,160,NA,NA,NA
2020-08-02,169,NA,NA,NA,169,NA,NA,NA
2020-08-09,181,NA,NA,NA,181,NA,NA,NA
2020-08-16,194,NA,NA,NA,194,NA,NA,NA
2020-08-23,204,NA,NA,NA,204,NA,NA,NA
2020-08-30,216,NA,NA,NA,216,NA,NA,NA
2020-09-06,223,NA,NA,NA,223,NA,NA,NA
2020-09-13,228,NA,NA,NA,228,NA,NA,NA
2020-09-20,238,NA,NA,NA,238,NA,NA,NA
2020-09-27,251,NA,NA,NA,251,NA,NA,NA
2020-10-04,263,NA,NA,NA,263,NA,NA,NA
2020-10-11,279,NA,NA,NA,279,NA,NA,NA
2020-10-18,287,NA,NA,NA,287,NA,NA,NA
2020-10-25,297,NA,NA,NA,297,NA,NA,NA
2020-11-01,303,NA,NA,NA,303,NA,NA,NA
2020-11-08,313,NA,NA,NA,313,NA,NA,NA
2020-11-15,321,NA,NA,NA,321,NA,NA,NA
2020-11-22,331,NA,NA,NA,331,NA,NA,NA
2020-11-29,337,NA,NA,NA,337,NA,NA,NA
2020-12-06,352,NA,NA,NA,352,NA,NA,NA
2020-12-13,366,NA,NA,NA,366,NA,NA,NA
2020-12-20,386,NA,NA,NA,386,NA,NA,NA
2020-12-27,398,NA,NA,NA,398,NA,NA,NA
2021-01-03,416,NA,NA,NA,416,NA,NA,NA
2021-01-10,430,NA,NA,NA,430,NA,NA,NA
2021-01-17,452,NA,NA,NA,452,NA,NA,NA
2021-01-24,468,NA,NA,NA,468,NA,NA,NA
2021-01-31,493,NA,NA,NA,493,NA,NA,NA
2021-02-07,520,NA,NA,NA,520,NA,NA,NA
2021-02-14,550,NA,NA,NA,550,NA,NA,NA
2021-02-21,598,NA,NA,NA,598,NA,NA,NA
2021-02-28,640,NA,NA,NA,640,NA,NA,NA
2021-03-07,674,NA,NA,NA,674,NA,NA,NA
2021-03-14,718,NA,NA,NA,718,NA,NA,NA
2021-03-21,770,NA,NA,NA,770,NA,NA,NA
2021-03-28,797,NA,NA,NA,797,NA,NA,NA
2021-04-04,810,NA,NA,NA,810,NA,NA,NA
2021-04-11,821,NA,NA,NA,821,NA,NA,NA
2021-04-18,839,NA,NA,NA,839,NA,NA,NA
2021-04-25,855,NA,NA,NA,855,NA,NA,NA
2021-05-02,871,NA,NA,NA,871,NA,NA,NA
2021-05-09,896,NA,NA,NA,896,NA,NA,NA
2021-05-16,930,NA,NA,NA,930,NA,NA,NA
2021-05-23,961,NA,NA,NA,961,NA,NA,NA
2021-05-30,1015,NA,NA,NA,1015,NA,NA,NA
2021-06-06,1052,NA,NA,NA,1052,NA,NA,NA
2021-06-13,1076,NA,NA,NA,1076,NA,NA,NA
2021-06-20,1103,NA,NA,NA,1103,NA,NA,NA
2021-06-27,1137,NA,NA,NA,1137,NA,NA,NA
2021-07-04,1161,NA,NA,NA,1161,NA,NA,NA
2021-07-11,1174,NA,NA,NA,1174,NA,NA,NA
2021-07-18,1179,NA,NA,NA,1179,NA,NA,NA
2021-07-25,1188,NA,NA,NA,1188,NA,NA,NA
2021-08-01,1203,NA,NA,NA,1203,NA,NA,NA
2021-08-08,1206,NA,NA,NA,1206,NA,NA,NA
2021-08-15,1211,NA,NA,NA,1211,NA,NA,NA
2021-08-22,1212,NA,NA,NA,1212,NA,NA,NA
2021-08-29,1217,NA,NA,NA,1217,NA,NA,NA
2021-09-05,1219,NA,NA,NA,1219,NA,NA,NA
2021-09-12,1221,NA,NA,NA,1222,NA,NA,NA
2021-09-19,1225,NA,NA,NA,1225,NA,NA,NA
2021-09-26,1228,1228,1224,1248,1226,1226,1226,1226
2021-10-03,NA,1232,1226,1257,NA,1226,1226,1227
