"dt_evoluca","n.casos"
2020-03-22,1
2020-03-29,1
2020-04-05,2
2020-04-19,5
2020-05-10,2
2020-05-17,6
2020-05-24,3
2020-05-31,3
2020-06-07,7
2020-06-14,13
2020-06-21,15
2020-06-28,19
2020-07-05,28
2020-07-12,33
2020-07-19,40
2020-07-26,44
2020-08-02,37
2020-08-09,44
2020-08-16,40
2020-08-23,51
2020-08-30,35
2020-09-06,57
2020-09-13,48
2020-09-20,37
2020-09-27,28
2020-10-04,29
2020-10-11,26
2020-10-18,25
2020-10-25,18
2020-11-01,22
2020-11-08,25
2020-11-15,20
2020-11-22,14
2020-11-29,15
2020-12-06,35
2020-12-13,19
2020-12-20,34
2020-12-27,27
2021-01-03,30
2021-01-10,22
2021-01-17,26
2021-01-24,34
2021-01-31,35
2021-02-07,23
2021-02-14,22
2021-02-21,18
2021-02-28,19
2021-03-07,42
2021-03-14,56
2021-03-21,98
2021-03-28,128
2021-04-04,131
2021-04-11,119
2021-04-18,81
2021-04-25,74
2021-05-02,66
2021-05-09,67
2021-05-16,50
2021-05-23,53
2021-05-30,66
2021-06-06,68
2021-06-13,82
2021-06-20,69
2021-06-27,63
2021-07-04,57
2021-07-11,58
2021-07-18,47
2021-07-25,30
2021-08-01,27
2021-08-08,27
2021-08-15,20
2021-08-22,14
2021-08-29,12
2021-09-05,11
2021-09-12,13
2021-09-19,6
2021-09-26,12
2021-10-03,5
2021-10-10,5
2021-10-17,6
2021-10-24,4
