"dt_evoluca","n.casos"
2020-03-15,2
2020-03-22,2
2020-03-29,3
2020-04-05,11
2020-04-12,9
2020-04-19,12
2020-04-26,8
2020-05-03,11
2020-05-10,6
2020-05-17,12
2020-05-24,16
2020-05-31,15
2020-06-07,15
2020-06-14,30
2020-06-21,30
2020-06-28,38
2020-07-05,46
2020-07-12,45
2020-07-19,61
2020-07-26,58
2020-08-02,57
2020-08-09,56
2020-08-16,55
2020-08-23,64
2020-08-30,53
2020-09-06,74
2020-09-13,67
2020-09-20,60
2020-09-27,47
2020-10-04,61
2020-10-11,78
2020-10-18,39
2020-10-25,42
2020-11-01,35
2020-11-08,43
2020-11-15,36
2020-11-22,21
2020-11-29,31
2020-12-06,48
2020-12-13,35
2020-12-20,49
2020-12-27,36
2021-01-03,38
2021-01-10,34
2021-01-17,42
2021-01-24,43
2021-01-31,45
2021-02-07,33
2021-02-14,29
2021-02-21,31
2021-02-28,26
2021-03-07,61
2021-03-14,67
2021-03-21,114
2021-03-28,140
2021-04-04,144
2021-04-11,132
2021-04-18,91
2021-04-25,83
2021-05-02,77
2021-05-09,81
2021-05-16,61
2021-05-23,63
2021-05-30,76
2021-06-06,82
2021-06-13,93
2021-06-20,84
2021-06-27,76
2021-07-04,72
2021-07-11,63
2021-07-18,62
2021-07-25,39
2021-08-01,31
2021-08-08,38
2021-08-15,34
2021-08-22,26
2021-08-29,27
2021-09-05,19
2021-09-12,21
2021-09-19,14
