"dt_sin_pri","n.casos"
2020-03-15,5
2020-03-22,8
2020-03-29,10
2020-04-05,6
2020-04-12,4
2020-04-19,6
2020-04-26,9
2020-05-03,20
2020-05-10,20
2020-05-17,21
2020-05-24,34
2020-05-31,44
2020-06-07,93
2020-06-14,82
2020-06-21,107
2020-06-28,147
2020-07-05,165
2020-07-12,148
2020-07-19,187
2020-07-26,159
2020-08-02,165
2020-08-09,154
2020-08-16,167
2020-08-23,137
2020-08-30,112
2020-09-06,120
2020-09-13,106
2020-09-20,104
2020-09-27,114
2020-10-04,86
2020-10-11,83
2020-10-18,78
2020-10-25,57
2020-11-01,54
2020-11-08,82
2020-11-15,110
2020-11-22,108
2020-11-29,94
2020-12-06,117
2020-12-13,108
2020-12-20,98
2020-12-27,132
2021-01-03,149
2021-01-10,163
2021-01-17,106
2021-01-24,81
2021-01-31,90
2021-02-07,97
2021-02-14,135
2021-02-21,185
2021-02-28,234
2021-03-07,362
2021-03-14,368
2021-03-21,374
2021-03-28,291
2021-04-04,228
2021-04-11,182
2021-04-18,202
2021-04-25,200
2021-05-02,189
2021-05-09,254
2021-05-16,253
2021-05-23,245
2021-05-30,331
2021-06-06,313
2021-06-13,306
2021-06-20,254
2021-06-27,179
2021-07-04,125
2021-07-11,124
2021-07-18,76
2021-07-25,80
2021-08-01,66
2021-08-08,64
2021-08-15,28
2021-08-22,40
2021-08-29,27
2021-09-05,23
2021-09-12,22
2021-09-19,28
2021-09-26,12
