"dt_notific","n.notific"
2020-03-22,1
2020-03-29,3
2020-04-05,1
2020-04-12,1
2020-04-19,3
2020-05-03,4
2020-05-17,5
2020-05-24,6
2020-05-31,7
2020-06-07,11
2020-06-14,29
2020-06-21,17
2020-06-28,33
2020-07-05,41
2020-07-12,41
2020-07-19,37
2020-07-26,48
2020-08-02,53
2020-08-09,48
2020-08-16,50
2020-08-23,57
2020-08-30,28
2020-09-06,39
2020-09-13,45
2020-09-20,25
2020-09-27,23
2020-10-04,23
2020-10-11,25
2020-10-18,29
2020-10-25,20
2020-11-01,14
2020-11-08,16
2020-11-15,22
2020-11-22,26
2020-11-29,21
2020-12-06,30
2020-12-13,27
2020-12-20,23
2020-12-27,24
2021-01-03,34
2021-01-10,33
2021-01-17,34
2021-01-24,26
2021-01-31,25
2021-02-07,14
2021-02-14,23
2021-02-21,30
2021-02-28,47
2021-03-07,72
2021-03-14,95
2021-03-21,134
2021-03-28,135
2021-04-04,115
2021-04-11,99
2021-04-18,71
2021-04-25,70
2021-05-02,37
2021-05-09,46
2021-05-16,56
2021-05-23,60
2021-05-30,62
2021-06-06,73
2021-06-13,82
2021-06-20,73
2021-06-27,74
2021-07-04,40
2021-07-11,38
2021-07-18,27
2021-07-25,15
2021-08-01,17
2021-08-08,17
2021-08-15,14
2021-08-22,10
2021-08-29,6
2021-09-05,7
2021-09-19,1
