"dt_notific","n.notific"
2020-02-16,1
2020-03-15,1
2020-03-22,3
2020-03-29,10
2020-04-05,8
2020-04-12,13
2020-04-19,9
2020-04-26,8
2020-05-03,12
2020-05-10,4
2020-05-17,19
2020-05-24,19
2020-05-31,19
2020-06-07,28
2020-06-14,44
2020-06-21,33
2020-06-28,46
2020-07-05,58
2020-07-12,60
2020-07-19,61
2020-07-26,59
2020-08-02,69
2020-08-09,65
2020-08-16,64
2020-08-23,71
2020-08-30,53
2020-09-06,55
2020-09-13,56
2020-09-20,46
2020-09-27,45
2020-10-04,66
2020-10-11,76
2020-10-18,45
2020-10-25,36
2020-11-01,28
2020-11-08,29
2020-11-15,33
2020-11-22,34
2020-11-29,34
2020-12-06,48
2020-12-13,38
2020-12-20,37
2020-12-27,32
2021-01-03,50
2021-01-10,42
2021-01-17,46
2021-01-24,33
2021-01-31,35
2021-02-07,27
2021-02-14,32
2021-02-21,44
2021-02-28,60
2021-03-07,84
2021-03-14,107
2021-03-21,145
2021-03-28,146
2021-04-04,130
2021-04-11,116
2021-04-18,81
2021-04-25,79
2021-05-02,50
2021-05-09,54
2021-05-16,66
2021-05-23,69
2021-05-30,74
2021-06-06,87
2021-06-13,90
2021-06-20,91
2021-06-27,85
2021-07-04,51
2021-07-11,47
2021-07-18,36
2021-07-25,30
2021-08-01,29
2021-08-08,31
2021-08-15,24
2021-08-22,19
2021-08-29,16
2021-09-05,15
2021-09-12,8
2021-09-19,5
