"dt_notific","n.notific"
2020-01-05,2
2020-01-12,2
2020-01-19,1
2020-01-26,2
2020-02-02,3
2020-02-16,3
2020-02-23,5
2020-03-01,9
2020-03-08,2
2020-03-15,3
2020-03-22,25
2020-03-29,66
2020-04-05,52
2020-04-12,52
2020-04-19,47
2020-04-26,47
2020-05-03,64
2020-05-10,59
2020-05-17,98
2020-05-24,92
2020-05-31,99
2020-06-07,123
2020-06-14,174
2020-06-21,151
2020-06-28,162
2020-07-05,218
2020-07-12,223
2020-07-19,223
2020-07-26,203
2020-08-02,248
2020-08-09,254
2020-08-16,215
2020-08-23,228
2020-08-30,220
2020-09-06,208
2020-09-13,198
2020-09-20,191
2020-09-27,178
2020-10-04,224
2020-10-11,229
2020-10-18,150
2020-10-25,135
2020-11-01,133
2020-11-08,116
2020-11-15,143
2020-11-22,163
2020-11-29,157
2020-12-06,176
2020-12-13,145
2020-12-20,174
2020-12-27,151
2021-01-03,184
2021-01-10,201
2021-01-17,203
2021-01-24,172
2021-01-31,160
2021-02-07,140
2021-02-14,136
2021-02-21,171
2021-02-28,232
2021-03-07,271
2021-03-14,346
2021-03-21,380
2021-03-28,419
2021-04-04,346
2021-04-11,314
2021-04-18,261
2021-04-25,253
2021-05-02,243
2021-05-09,232
2021-05-16,280
2021-05-23,292
2021-05-30,309
2021-06-06,331
2021-06-13,372
2021-06-20,359
2021-06-27,310
2021-07-04,256
2021-07-11,194
2021-07-18,159
2021-07-25,146
2021-08-01,131
2021-08-08,126
2021-08-15,97
2021-08-22,89
2021-08-29,74
2021-09-05,76
2021-09-12,57
2021-09-19,65
2021-09-26,67
2021-10-03,61
2021-10-10,51
2021-10-17,56
2021-10-24,46
2021-10-31,55
