"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
3.90019626980428,12.2464713953024,5.54713480471575,0.436534394255303,7.72687850546652e-07,0.00567425222231842,0.00171589371423543,1.32065164684244,0.00185440442689507,0.00500806868077616,-1.79449338081693,-0.650282412143598,-1.44223871522494,-3.98440836953897,-17.2289109437845,-8.32733674956613,-9.52334147620293,-2.87739497164433,-9.44571195642022,-8.45222518934297,3.15552025827708,174.383955917691
4.09602370245382,12.8613622588534,5.82565442071007,0.458452627025298,8.1148422579154e-07,0.00595915435750207,0.0018020481119922,1.3869610845053,0.00194751339703185,0.00525952198323732,-1.79449338081693,-0.650282412143598,-1.44223871522494,-3.98440836953897,-17.2289109437845,-8.32733674956613,-9.52334147620293,-2.87739497164433,-9.44571195642022,-8.45222518934297,3.20451005526928,161.261875539683
2.84697022287394,12.0966051502897,4.24785996229109,0.327975335167151,8.9570692004346e-07,0.00615777590887131,0.00146629048656933,0.811777546054209,0.00188729482072352,0.00466009762143851,-1.96659755502142,-0.519928056993706,-1.56643758630471,-4.12766977522522,-16.9385054797841,-8.10289252452558,-9.53787245019291,-3.22138183855375,-9.28546369114088,-8.38157178639607,3.01285290413861,86.263566711347
3.42694133905014,14.5608675210686,5.11321361576317,0.394788897067752,1.07817603686476e-06,0.00741220847663658,0.00176499615033132,0.977148973436605,0.00227176546777639,0.00560943035322501,-1.96659755502142,-0.519928056993707,-1.56643758630471,-4.12766977522522,-16.9385054797841,-8.10289252452558,-9.53787245019291,-3.22138183855375,-9.28546369114088,-8.38157178639607,3.19826568047826,469.281749094052
3.29198358044709,13.9874401263341,4.91184808873222,0.379241556334921,1.03571595164045e-06,0.00712030530604346,0.00169548812529528,0.93866747573089,0.00218230015592255,0.00538852311478334,-1.96659755502142,-0.519928056993707,-1.56643758630471,-4.12766977522522,-16.9385054797841,-8.10289252452558,-9.53787245019291,-3.22138183855375,-9.28546369114088,-8.38157178639607,3.15808785011028,458.66640154542
3.51776593564272,14.9467757662928,5.24872966870852,0.405252029863991,1.10675105286756e-06,0.00760865503878789,0.00181177403401278,1.00304645826132,0.00233197431343492,0.00575809769197993,-1.96659755502142,-0.519928056993707,-1.56643758630471,-4.12766977522522,-16.9385054797841,-8.10289252452558,-9.53787245019291,-3.22138183855375,-9.28546369114088,-8.38157178639607,3.22442366576425,607.579327925357
3.58924199311514,15.2504732331635,5.35537647532424,0.413486181284894,1.1292386780563e-06,0.00776325221062641,0.00184858673484374,1.02342695190695,0.00237935675248877,0.00587509414060482,-1.96659755502142,-0.519928056993707,-1.56643758630471,-4.12766977522522,-16.9385054797841,-8.10289252452558,-9.53787245019291,-3.22138183855375,-9.28546369114088,-8.38157178639607,3.24453859124851,442.286956145988
3.46731031203003,14.7323928579116,5.17344668130854,0.39943946465608,1.09087682599231e-06,0.00749952343598678,0.00178578760103122,0.988659675430973,0.00229852660247697,0.00567550879459824,-1.96659755502142,-0.519928056993707,-1.56643758630471,-4.12766977522522,-16.9385054797841,-8.10289252452558,-9.53787245019291,-3.22138183855375,-9.28546369114088,-8.38157178639607,3.2099767221984,125.424678499754
3.11396374148074,14.6156704877226,5.03250619857148,0.45146114039355,6.55972301337658e-07,0.00493775339569929,0.00183746867219249,0.663376069336193,0.00286498463506041,0.00490705644505743,-2.03762738720669,-0.491429542644727,-1.55760570659943,-3.96878979445619,-17.4106710893031,-8.48436864626247,-9.47289019300824,-3.58393704271069,-9.02871610864915,-8.49060483581254,3.17352381683867,67.1250948445374
2.68696059045677,13.1507091278068,4.59951474045661,0.592623048837539,5.79901205265145e-07,0.00674563308982581,0.00192130698745721,0.685981542172135,0.00238427919091535,0.00369706291343952,-2.09030788552115,-0.502242865063389,-1.55276774157678,-3.60191529847404,-17.4391266319666,-8.07757848141753,-9.3334681501972,-3.45562310637501,-9.11757697465479,-8.67893513004438,3.07871854830216,56.7000732105607
2.4545119811818,12.0130430010331,4.20161132179235,0.541355306386889,5.29734027838159e-07,0.00616206925343076,0.0017550949712442,0.626637368672698,0.00217801550992949,0.00337723048430627,-2.09030788552115,-0.502242865063389,-1.55276774157678,-3.60191529847404,-17.4391266319666,-8.07757848141753,-9.3334681501972,-3.45562310637501,-9.11757697465479,-8.67893513004438,2.98823584133781,88.3062338927089
2.60860485422079,12.7672150418145,4.46538610265792,0.575341286139938,5.62990430301021e-07,0.0065489204737166,0.00186527884023681,0.66597730803037,0.00231475009098741,0.00358925110275567,-2.09030788552115,-0.502242865063389,-1.55276774157678,-3.60191529847404,-17.4391266319666,-8.07757848141753,-9.3334681501972,-3.45562310637501,-9.11757697465479,-8.67893513004438,3.04912342532633,258.456883082843
2.66535477418636,13.0449644413197,4.56253010035124,0.58785777436486,5.75238226976423e-07,0.00669139153909967,0.00190585778216648,0.680465573230235,0.00236510723196691,0.00366733487711043,-2.09030788552115,-0.502242865063389,-1.55276774157678,-3.60191529847404,-17.4391266319666,-8.07757848141753,-9.3334681501972,-3.45562310637501,-9.11757697465479,-8.67893513004438,3.07064505780089,489.785799617006
2.76752271321416,13.5450018639429,4.73742025066809,0.610391441488653,5.97288163693809e-07,0.00694788485451077,0.00197891280792511,0.706549067206202,0.00245576613179145,0.00380791055196914,-2.09030788552115,-0.502242865063389,-1.55276774157678,-3.60191529847404,-17.4391266319666,-8.07757848141753,-9.3334681501972,-3.45562310637501,-9.11757697465479,-8.67893513004438,3.10826047821158,474.477819153686
3.46256860141635,13.6445115781259,5.04458402596248,0.677032474611939,5.44078302863019e-07,0.00753549438134638,0.00191011471170473,0.530549589329592,0.00257395931516136,0.00367086241904283,-1.90965370643692,-0.538327031851861,-1.53334919276429,-3.54170042925025,-17.5758370517998,-8.03979522816688,-9.41225637068042,-3.78550623914695,-9.11397436644627,-8.75899304339458,3.15166439043754,359.224602450716
4.55058450261476,12.9204274225121,4.05225934503033,0.628238454880615,2.71583729363563e-07,0.00503093061087192,0.00141531723967589,0.464231142621241,0.00225831292070942,0.0024861646954889,-1.60388518540085,-0.560331292181263,-1.71986628368509,-3.58397635158611,-18.2381362218969,-8.41129117210764,-9.67954244759096,-3.88651357081784,-9.21227811195188,-9.11615491112326,3.11914087222629,1397.37590325835
4.73214609489209,13.43593337002,4.21393850044029,0.653304240195103,2.82419518548783e-07,0.00523165730253577,0.00147178630457634,0.482753278709606,0.00234841626666616,0.0025853589903135,-1.60388518540085,-0.560331292181263,-1.71986628368509,-3.58397635158611,-18.2381362218969,-8.41129117210764,-9.67954244759096,-3.88651357081784,-9.21227811195188,-9.11615491112326,3.1582640048553,1585.62552317838
4.757923990443,13.5091242817324,4.23689351162212,0.656863050115383,2.83957970808012e-07,0.00526015623574676,0.00147980371419807,0.485383029217282,0.00236120903088313,0.00259944247646915,-1.60388518540085,-0.560331292181263,-1.71986628368509,-3.58397635158611,-18.2381362218969,-8.41129117210764,-9.67954244759096,-3.88651357081784,-9.21227811195188,-9.11615491112326,3.16369662204746,544.276658537991
