"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
6.17069982941224,0.20740356206276,0.229057377106049,0.00370359723996675,0.0834307360036558,7.11974839179965e-05,0.0178431577140241,1.29623456351977e-07,0.00332429657563879,1.42161820278372e-07,-2.80273081333845,-6.19563187785339,-6.09632582112707,-10.2209937739842,-7.10628156966024,-14.1725961477649,-8.64867823494982,-20.4811751483986,-10.3290402528181,-20.3888429181115,4.62254306936374,309.561842424646
6.26920607202855,0.210714458098678,0.232713944786543,0.00376271978009329,0.0847625862880045,7.2334048135732e-05,0.0181279977599523,1.31692706192863e-07,0.00337736413265195,1.44431226852383e-07,-2.80273081333845,-6.19563187785339,-6.09632582112707,-10.2209937739842,-7.10628156966024,-14.1725961477649,-8.64867823494982,-20.4811751483986,-10.3290402528181,-20.3888429181115,4.63838053668494,226.856188093817
7.26957156567698,0.24433777028094,0.269847673935111,0.00436312994160769,0.0982879937320575,8.38762569799656e-05,0.0210206484751527,1.52706665141878e-07,0.00391628381386409,1.67477847730436e-07,-2.80273081333845,-6.19563187785339,-6.09632582112707,-10.2209937739842,-7.10628156966024,-14.1725961477649,-8.64867823494982,-20.4811751483986,-10.3290402528181,-20.3888429181115,4.78642817132848,702.366251714419
8.54492449788785,0.272843350180281,0.353674762533298,0.00543874034215685,0.124513566108569,0.00013826418322047,0.0334269997723077,1.4073338550929e-07,0.00422052041952678,1.27768693838937e-07,-2.6551200152465,-6.0993149533034,-5.83983503401516,-10.0146652956293,-6.88379810023761,-13.6868018276689,-8.1988488250948,-20.5768561154084,-10.2682543323265,-20.6735017830992,4.80045749595148,791.990745093798
8.78677597579502,0.280565778563885,0.363685004758175,0.00559267586142669,0.128037738848808,0.000142177546885856,0.0343731016716204,1.44716636301583e-07,0.00433997602165086,1.31384998165892e-07,-2.6551200152465,-6.0993149533034,-5.83983503401516,-10.0146652956293,-6.88379810023761,-13.6868018276689,-8.1988488250948,-20.5768561154084,-10.2682543323265,-20.6735017830992,4.82836787647617,1770.09282315012
8.53506993684106,0.272528689535681,0.353266881862268,0.0054324680341063,0.124369968989757,0.000138104727998312,0.0333884495885174,1.40571082642931e-07,0.00421565304168936,1.27621342695739e-07,-2.6551200152465,-6.0993149533034,-5.83983503401516,-10.0146652956293,-6.88379810023761,-13.6868018276689,-8.1988488250948,-20.5768561154084,-10.2682543323265,-20.6735017830992,4.79930356558248,3434.57058139272
8.22406113809754,0.279653850919982,0.495052837982293,0.00841680461539165,0.114543869537736,0.000158204350433875,0.0393259851598206,1.30595181955691e-07,0.00327418953962596,1.24834068545427e-07,-2.69936897229337,-6.08063580239632,-5.50952389379729,-9.58395813720141,-6.97323050438543,-13.5580561185125,-8.04230289369363,-20.6575966274807,-10.5281180244226,-20.7027135482108,4.80643311508574,1640.27167892197
7.63959038767228,0.350063336019775,0.484688665330456,0.0127699651577088,0.157983568586056,8.60435290066003e-05,0.0312701960050521,2.51994760537041e-07,0.00431279483444127,1.62090198051577e-07,-2.78517332000307,-5.86815848837866,-5.54276582888699,-9.1791766449554,-6.66378155521913,-14.1791745460877,-8.28360714694717,-20.012374848736,-10.2646864391201,-20.4536301861265,4.81851730756519,2318.42737328026
7.57541163957769,0.347122520410626,0.480616887895014,0.0126626871054253,0.156656378627321,8.53206936590148e-05,0.0310075010265994,2.49877800407377e-07,0.0042765638640335,1.60728509078548e-07,-2.78517332000307,-5.86815848837866,-5.54276582888699,-9.1791766449554,-6.66378155521913,-14.1791745460877,-8.28360714694717,-20.012374848736,-10.2646864391201,-20.4536301861265,4.81008101178048,1966.6894411247
9.32764832108447,0.35779994233265,0.767944771906428,0.00946696965657283,0.229083985159682,0.000132366257039678,0.0241359869540031,1.87115510955025e-07,0.00302500015001694,2.30429003452062e-07,-2.57914456027459,-5.83990875682409,-5.07616494774493,-9.4720739047638,-6.28579408298563,-13.742065290883,-8.53617880539031,-20.3036671928961,-10.6129716256515,-20.0954505207533,4.81212748774453,2990.1790067004
9.34036375798608,0.358287694704258,0.768991633125352,0.00947987501612048,0.229396272121861,0.000132546698532684,0.0241688890970307,1.87370586552964e-07,0.00302912382591153,2.30743123941261e-07,-2.57914456027459,-5.83990875682409,-5.07616494774493,-9.4720739047638,-6.28579408298563,-13.742065290883,-8.53617880539031,-20.3036671928961,-10.6129716256515,-20.0954505207533,4.81348975800814,2816.28936976156
8.20912968122006,0.202316267796153,0.703829336344128,0.00511820576777674,0.133904311875963,0.000124471105835356,0.0206271334776354,1.28628166179885e-07,0.00181092180222933,1.24496585675036e-07,-2.71516958222955,-6.4183396167394,-5.17163586509347,-10.095367830244,-6.83104631750834,-13.8118534435535,-8.70156440368636,-20.6867565204233,-11.1343357732605,-20.7194040386298,4.82041649291518,2678.81248799404
7.87245840049662,0.194018911117048,0.674964020131643,0.00490829887657663,0.128412653451221,0.000119366320280498,0.0197811773634987,1.23352892048943e-07,0.00173665261826927,1.19390755145791e-07,-2.71516958222955,-6.4183396167394,-5.17163586509347,-10.095367830244,-6.83104631750834,-13.8118534435535,-8.70156440368636,-20.6867565204233,-11.1343357732605,-20.7194040386298,4.77853997205451,1534.92656738823
7.70057943384893,0.250252014347926,0.836882531679548,0.00449814165895606,0.147766445717143,0.000111844743705249,0.020493888893823,2.54940473536075e-07,0.00148379623208946,1.03178915455404e-07,-2.75287143932821,-6.17945382798268,-4.97223857931658,-10.1982579486815,-6.70628933766577,-13.8925658817799,-8.68179555652541,-19.9764027726579,-11.3073184700834,-20.8809683288811,4.79416701650584,2551.83795539276
7.75662642738767,0.252073419237221,0.842973599273702,0.0045308804052623,0.148841931672387,0.00011265878136068,0.0206430492093918,2.56796002356443e-07,0.00149459572043279,1.03929880763604e-07,-2.75287143932821,-6.17945382798268,-4.97223857931658,-10.1982579486815,-6.70628933766577,-13.8925658817799,-8.68179555652541,-19.9764027726579,-11.3073184700834,-20.8809683288811,4.80141894025836,361.495232159104
7.08263294503654,0.230170102991389,0.769725426627608,0.00413718040036369,0.135908668379788,0.000102869566284056,0.0188493208723073,2.3448232855736e-07,0.00136472640369417,9.48991426054704e-08,-2.75287143932821,-6.17945382798268,-4.97223857931658,-10.1982579486815,-6.70628933766577,-13.8925658817799,-8.68179555652541,-19.9764027726579,-11.3073184700834,-20.8809683288811,4.71051716279396,182.145596977991
