"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
20.2528412887429,1.04095068928945,0.225333370467512,0.00299249760705137,3.16745000223395e-06,9.85910748188507e-05,0.0624964870218397,0.0278326100548091,0.00180391040031516,0.0057021381988894,-1.43595157789345,-4.40411225224573,-5.93442099896925,-10.2558935923397,-17.1068303816487,-13.66877649169,-7.21689160362866,-8.02579359434445,-10.7620451979648,-9.61116072402896,4.4442466721586,34.3317310175297
15.3834290084709,1.12994475753278,0.220905143831443,0.00269891548439717,2.5702479607425e-06,0.000114885204587934,0.0546791224936382,0.0221915093810426,0.00147111589892083,0.00437538128782381,-1.61554688176857,-4.2266690290421,-5.85885965646742,-10.2637430325415,-17.2203459543643,-13.4204149225621,-7.25511108871885,-8.1568832970061,-10.8705718246936,-9.78059938489965,4.3488377734322,93.7653293689128
17.6032984915592,1.29299877386694,0.252782340208052,0.00308837612532116,2.94114153777792e-06,0.000131463443391693,0.0625694644530828,0.0253938028639532,0.00168340181308873,0.00500676037712615,-1.61554688176857,-4.2266690290421,-5.85885965646742,-10.2637430325415,-17.2203459543643,-13.4204149225621,-7.25511108871885,-8.1568832970061,-10.8705718246936,-9.78059938489965,4.48363318054594,40.4177403553868
15.692923623857,1.1526777787563,0.22534946846734,0.00275321415924678,2.62195801209833e-06,0.000117196545719219,0.0557791954342354,0.0226379737328422,0.00150071284047879,0.00446340827765142,-1.61554688176857,-4.2266690290421,-5.85885965646742,-10.2637430325415,-17.2203459543643,-13.4204149225621,-7.25511108871885,-8.1568832970061,-10.8705718246936,-9.78059938489965,4.36875676792087,32.8721651636901
18.781470167915,1.37953792638221,0.269700816802586,0.00329507814077193,3.13798928523984e-06,0.000140262164015249,0.0667571779579534,0.0270933854338686,0.00179607026196257,0.00534185798792102,-1.61554688176857,-4.2266690290421,-5.85885965646742,-10.2637430325415,-17.2203459543643,-13.4204149225621,-7.25511108871885,-8.1568832970061,-10.8705718246936,-9.78059938489965,4.54841763618622,53.8825680436454
16.8301499410383,1.23620940974181,0.241679972090915,0.00295273259658702,2.81196464982705e-06,0.000125689481724593,0.0598213720559695,0.024278490191962,0.00160946568842676,0.00478686013909766,-1.61554688176857,-4.2266690290421,-5.85885965646742,-10.2637430325415,-17.2203459543643,-13.4204149225621,-7.25511108871885,-8.1568832970061,-10.8705718246936,-9.78059938489965,4.4387187990842,154.194103132192
16.0429986484497,1.17839151517774,0.230376525413932,0.0028146323842767,2.6804481977111e-06,0.000119810945980651,0.0570235080735779,0.0231429777334483,0.00153419048283082,0.0045629772171313,-1.61554688176857,-4.2266690290421,-5.85885965646742,-10.2637430325415,-17.2203459543643,-13.4204149225621,-7.25511108871885,-8.1568832970061,-10.8705718246936,-9.78059938489965,4.39081941489202,60.3180503989276
17.2394333495163,1.26627212472559,0.247557257978727,0.00302453852022341,2.88034731310888e-06,0.000128746056958343,0.0612761359850296,0.024868905800455,0.00164860542307532,0.00490326922876715,-1.61554688176857,-4.2266690290421,-5.85885965646742,-10.2637430325415,-17.2203459543643,-13.4204149225621,-7.25511108871885,-8.1568832970061,-10.8705718246936,-9.78059938489965,4.46274627810641,22.4504755342076
14.2855160228184,0.861774734182254,0.296944862340132,0.00243192029786249,2.88378660706007e-06,0.000107595496855744,0.0506230542759124,0.0186642590013208,0.00121249875708903,0.00358994506470309,-1.48755189235475,-4.29555942251432,-5.36100685688923,-10.1658721384642,-16.9032043840718,-13.2839298126839,-7.1301462391386,-8.12794291809461,-10.8618700110229,-9.77641642969866,4.14679805078851,33.5958315393681
16.4148453551314,0.990226672243815,0.341206014996467,0.00279441047433316,3.31362977133471e-06,0.000123633156756427,0.0581686798024102,0.0214462624021023,0.00139322790714134,0.00412504476396872,-1.48755189235475,-4.29555942251432,-5.36100685688923,-10.1658721384642,-16.9032043840718,-13.2839298126839,-7.1301462391386,-8.12794291809461,-10.8618700110229,-9.77641642969866,4.28573802231549,55.1698089336454
16.7753776941907,1.0119758103331,0.34870019480909,0.00285578634006973,3.38640966455876e-06,0.000126348610373341,0.0594462849053177,0.0219173037662229,0.00142382848273844,0.0042156464117639,-1.48755189235475,-4.29555942251432,-5.36100685688923,-10.1658721384642,-16.9032043840718,-13.2839298126839,-7.1301462391386,-8.12794291809461,-10.8618700110229,-9.77641642969866,4.30746409026101,47.6218821367057
20.0193782159605,1.13446253941189,0.454774514631556,0.00419890591961279,2.88956558613299e-06,0.00012924300687389,0.0670226506628501,0.0191952048092582,0.00146272748327007,0.0043309279557545,-1.3165168372691,-4.18705854730689,-5.10117110763606,-9.78614883548793,-17.0676219358855,-13.267033703994,-7.01594219965907,-8.26631233318884,-10.8406699993677,-9.75519100397021,4.31321755253003,36.4342679157681
20.1258730504106,1.49105923869154,0.376129369037238,0.0063304744651919,3.63330902258144e-06,0.000255177907997056,0.0816781902297381,0.0223854690579323,0.00170210695427144,0.00470579329113364,-1.36356136721474,-3.96608080512582,-5.34338969914646,-9.4279476615937,-16.8909343194176,-12.6391171486157,-6.87053583317122,-8.16491080435598,-10.7414559814231,-9.72452848514295,4.36556757096528,55.9365329798077
17.8570627582033,1.32297060280674,0.333727919841188,0.00561683359181423,3.22372237336851e-06,0.000226411440944545,0.0724705241484737,0.0198619321923607,0.00151022669314608,0.00417530439133873,-1.36356136721474,-3.96608080512582,-5.34338969914646,-9.4279476615937,-16.8909343194176,-12.6391171486157,-6.87053583317122,-8.16491080435598,-10.7414559814231,-9.72452848514295,4.24596046991105,162.487200133902
17.190754483941,1.27360603086162,0.321275386221662,0.00540725026066641,3.10343423189837e-06,0.000217963253326473,0.0697664002657222,0.0191208153613451,0.00145387495404539,0.00401950946015754,-1.36356136721474,-3.96608080512582,-5.34338969914646,-9.4279476615937,-16.8909343194176,-12.6391171486157,-6.87053583317122,-8.16491080435598,-10.7414559814231,-9.72452848514295,4.20793307650967,99.8060223254277
16.0325984881736,1.18780209117614,0.299630785620059,0.00504295913453486,2.89435318391409e-06,0.000203278880460067,0.0650661775473802,0.017832629495193,0.00135592614111244,0.00374871163184383,-1.36356136721474,-3.96608080512582,-5.34338969914646,-9.4279476615937,-16.8909343194176,-12.6391171486157,-6.87053583317122,-8.16491080435598,-10.7414559814231,-9.72452848514295,4.13818542226956,102.818985278658
16.3048606934439,1.10563845606918,0.328666731752268,0.00527806530496351,2.55748126114062e-06,0.000259886006453192,0.0524835490368914,0.0107787974461945,0.00159991066957562,0.00333663361580622,-1.43850166698157,-4.12954197598044,-5.34267594741109,-9.47416060031915,-17.1064525985624,-12.4852323922014,-7.17722044256038,-8.76013920627293,-10.6677724152029,-9.93275781211762,4.22996493239267,72.2269891144304
16.2025942024289,1.09870372860604,0.326605285536834,0.00524496050092776,2.54144036147697e-06,0.000258255963091058,0.0521543644767207,0.0107111912388856,0.00158987579389092,0.0033157057576597,-1.43850166698157,-4.12954197598044,-5.34267594741109,-9.47416060031915,-17.1064525985624,-12.4852323922014,-7.17722044256038,-8.76013920627293,-10.6677724152029,-9.93275781211762,4.22367303235192,53.3779634380177
16.1372694085483,1.0942740308854,0.325288494985182,0.00522381413637932,2.53119391169867e-06,0.000257214739855656,0.0519440911669748,0.0106680064037195,0.00158346581365973,0.00330233766410124,-1.43850166698157,-4.12954197598044,-5.34267594741109,-9.47416060031915,-17.1064525985624,-12.4852323922014,-7.17722044256038,-8.76013920627293,-10.6677724152029,-9.93275781211762,4.21963313388405,12.779393474452
15.2903022524799,1.36711683783648,0.390518390884903,0.00524618563511443,2.86988416408715e-06,0.000250059317808016,0.0681039858622508,0.00986609032246038,0.00156581705417578,0.00318233341462845,-1.55395227927794,-3.96846704266493,-5.22145128208321,-9.53142507914116,-17.0424099569603,-12.5749834640222,-6.96789060499882,-8.89982268829833,-10.7405185788883,-10.0313116400964,4.28117106700783,21.2780852481515
11.2685363596337,1.00752787882458,0.28780141910396,0.00386629594382852,2.11502647344385e-06,0.000184286907364949,0.0501907829062232,0.00727103988464608,0.0011539645270683,0.00234529306216964,-1.55395227927794,-3.96846704266493,-5.22145128208321,-9.53142507914116,-17.0424099569603,-12.5749834640222,-6.96789060499882,-8.89982268829833,-10.7405185788883,-10.0313116400964,3.9759667284107,5.56129000218317
10.232634402256,0.914907145441166,0.261344207282391,0.00351087236367657,1.9205948282131e-06,0.000167345650580058,0.0455768092191768,0.00660262260237527,0.00104788206221362,0.00212969330757961,-1.55395227927794,-3.96846704266493,-5.22145128208321,-9.53142507914116,-17.0424099569603,-12.5749834640222,-6.96789060499882,-8.89982268829833,-10.7405185788883,-10.0313116400964,3.87953434341667,18.121625238425
18.1454890244319,1.62240112500421,0.463440621292592,0.0062258157026727,3.40578300814089e-06,0.000296753362478911,0.0808211706726142,0.0117084038434376,0.00185820500482302,0.00377657649232263,-1.55395227927794,-3.96846704266493,-5.22145128208321,-9.53142507914116,-17.0424099569603,-12.5749834640222,-6.96789060499882,-8.89982268829833,-10.7405185788883,-10.0313116400964,4.45237427049918,5.82862848218138
13.1208292223029,1.17314270574853,0.335109472027493,0.00450182767156684,2.46268905499705e-06,0.00021457951257127,0.0584410139905372,0.00846623461559251,0.00134365023149739,0.00273080627003273,-1.55395227927794,-3.96846704266493,-5.22145128208321,-9.53142507914116,-17.0424099569603,-12.5749834640222,-6.96789060499882,-8.89982268829833,-10.7405185788883,-10.0313116400964,4.12815326371609,4.02318849856708
11.5868384195652,1.03598749319092,0.295930938469061,0.00397550710701327,2.17476957244279e-06,0.000189492454949886,0.0516085206743554,0.00747642476332627,0.00118656053371291,0.00241154049564341,-1.55395227927794,-3.96846704266493,-5.22145128208321,-9.53142507914116,-17.0424099569603,-12.5749834640222,-6.96789060499882,-8.89982268829833,-10.7405185788883,-10.0313116400964,4.00382211421982,9.78243073829023
11.2942298612438,1.00982515314226,0.288457637976501,0.00387511152358858,2.11984896630063e-06,0.000184707101771744,0.0503052234085433,0.00728761865486258,0.00115659569304122,0.0023506405881611,-1.55395227927794,-3.96846704266493,-5.22145128208321,-9.53142507914116,-17.0424099569603,-12.5749834640222,-6.96789060499882,-8.89982268829833,-10.7405185788883,-10.0313116400964,3.97824424283111,18.3287544533396
12.18202858753,0.895904116461277,0.258241057237044,0.00356092309163185,2.15294670619251e-06,0.000168458184021628,0.0568283338963578,0.00538074514863598,0.00143348837068352,0.00217422574102927,-1.45745412323594,-4.06733780696152,-5.31127772224931,-9.59515139467723,-17.0060890155164,-12.6462389273639,-6.82513616377896,-9.18234433328522,-10.505060307557,-10.0884985813038,3.95741592234999,10.0561297616175
12.1089102165631,0.89052676497441,0.256691055504059,0.00353954989473547,2.1400243956919e-06,0.000167447072620665,0.0564872416743678,0.00534844910557308,0.0014248843575086,0.0021611757105556,-1.45745412323594,-4.06733780696152,-5.31127772224931,-9.59515139467723,-17.0060890155164,-12.6462389273639,-6.82513616377896,-9.18234433328522,-10.505060307557,-10.0884985813038,3.95139568637692,15.7023104082626
12.317758403666,0.905886107566376,0.261118329356848,0.00360059821084775,2.17693442371284e-06,0.000170335112661187,0.0574615042468989,0.00544069637469424,0.00144946002200481,0.00219845054545718,-1.45745412323594,-4.06733780696152,-5.31127772224931,-9.59515139467723,-17.0060890155164,-12.6462389273639,-6.82513616377896,-9.18234433328522,-10.505060307557,-10.0884985813038,3.96849611703243,16.9451919667457
