"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
13.3924822345273,17.1607886318515,2.80060383323,0.357579094198541,0.188248271642806,0.0116561332561407,0.0126607082099537,0.00971724294293545,0.0156372725673701,0.0153556001065544,-0.930629082225057,-0.68269555390225,-2.49548755581713,-4.55372130327834,-5.19531619799775,-7.97724538222033,-7.89457452754925,-8.15917595306475,-7.6834205518211,-7.701597648167,3.52532260447315,19.8209740070389
16.4148139130702,21.0335281436582,3.43262660062989,0.438275309064125,0.230730964907106,0.0142866165506063,0.0155178977007174,0.0119101695909033,0.0191661944967588,0.0188209559556312,-0.930629082225057,-0.68269555390225,-2.49548755581713,-4.55372130327834,-5.19531619799775,-7.97724538222033,-7.89457452754925,-8.15917595306475,-7.6834205518211,-7.701597648167,3.728813296719,31.8554235683819
20.0572481928438,25.7008514737168,4.19432373993413,0.5355282549804,0.281929984307118,0.0174568055117175,0.018961306979339,0.0145530268432345,0.0234191579611948,0.0229973112596846,-0.930629082225057,-0.68269555390225,-2.49548755581713,-4.55372130327834,-5.19531619799775,-7.97724538222033,-7.89457452754925,-8.15917595306475,-7.6834205518211,-7.701597648167,3.92921967652762,23.4838086591545
16.3591578447443,20.9622118627855,3.42098793682087,0.436789292793944,0.229948648493665,0.0142381763482929,0.015465282716516,0.0118697869696909,0.0191012095973803,0.0187571416220559,-0.930629082225057,-0.68269555390225,-2.49548755581713,-4.55372130327834,-5.19531619799775,-7.97724538222033,-7.89457452754925,-8.15917595306475,-7.6834205518211,-7.701597648167,3.72541693559208,23.838129443479
16.5148339932412,23.6366472507084,3.58753013133946,0.593225144395745,0.220904562395358,0.018687722554583,0.0168192173230301,0.0152434948058517,0.0262297751033073,0.0297546835334223,-0.994816462408905,-0.636277112109924,-2.52161148929342,-4.32125675121981,-5.30909998442444,-7.77896398795033,-7.88430862736255,-7.98267790636724,-7.43993552848928,-7.31384419900991,3.79907546932352,24.4002169735015
14.7788586656843,21.1520545221234,3.21042287144081,0.530867616928084,0.197683931160431,0.0167233416049312,0.0150512463998257,0.0136411577251683,0.0234726028274405,0.0266269865481287,-0.994816462408905,-0.636277112109924,-2.52161148929342,-4.32125675121981,-5.30909998442444,-7.77896398795033,-7.88430862736255,-7.98267790636724,-7.43993552848928,-7.31384419900991,3.6880141534103,39.5288282943559
15.8271636445786,22.6524277627763,3.43814697088713,0.568523512998843,0.211706194582169,0.0179095740918082,0.0161188725877761,0.0146087624559978,0.02513757892392,0.028515711733394,-0.994816462408905,-0.636277112109924,-2.52161148929342,-4.32125675121981,-5.30909998442444,-7.77896398795033,-7.88430862736255,-7.98267790636724,-7.43993552848928,-7.31384419900991,3.7565441442895,79.8810050109343
14.8169802511379,21.20661555909,3.21870405286383,0.532236972686945,0.198193850433969,0.0167664789209096,0.0150900706005839,0.0136763446480336,0.0235331496433175,0.0266956699942613,-0.994816462408905,-0.636277112109924,-2.52161148929342,-4.32125675121981,-5.30909998442444,-7.77896398795033,-7.88430862736255,-7.98267790636724,-7.43993552848928,-7.31384419900991,3.69059029978302,59.5318868680705
16.5051308676463,23.6227597749389,3.58542231387945,0.592876600893308,0.220774772128359,0.0186767427700387,0.016809335360053,0.0152345386428853,0.0262143640611946,0.029737201466604,-0.994816462408905,-0.636277112109924,-2.52161148929342,-4.32125675121981,-5.30909998442444,-7.77896398795033,-7.88430862736255,-7.98267790636724,-7.43993552848928,-7.31384419900991,3.79848775665241,63.2103381594013
19.293934299995,22.5886399792196,4.13116257714473,0.645931654228742,0.214392941860727,0.0190088248720956,0.01342363024164,0.00904260278922171,0.0240570802680717,0.0319332511683229,-0.889750844716434,-0.732094482137324,-2.43098274321789,-4.28660318545915,-5.38948637700814,-7.81239354694973,-8.16028028046559,-8.55534983311217,-7.57686753417114,-7.29364906194882,3.84954160625505,144.150882491422
20.3654120466092,23.8430873453029,4.36058435811644,0.681803103907098,0.226299132825365,0.0200644692276245,0.0141691039671672,0.00954477862902049,0.0253930766364099,0.0337066462401569,-0.889750844716434,-0.732094482137324,-2.43098274321789,-4.28660318545915,-5.38948637700814,-7.81239354694973,-8.16028028046559,-8.55534983311217,-7.57686753417114,-7.29364906194882,3.90358881868893,64.5905083670274
19.5682345493881,22.9097807835474,4.18989496980113,0.655114810504228,0.217440948374387,0.0192790717446106,0.0136144728694727,0.00917116071637535,0.0243990977651045,0.032387243527953,-0.889750844716434,-0.732094482137324,-2.43098274321789,-4.28660318545915,-5.38948637700814,-7.81239354694973,-8.16028028046559,-8.55534983311217,-7.57686753417114,-7.29364906194882,3.86365840996452,84.4734866646215
22.3795293032586,26.201142933084,4.79184144167836,0.749232694532298,0.248679872657449,0.0220488235644963,0.0155704130468076,0.0104887469270157,0.0279044244910844,0.0370401971499397,-0.889750844716434,-0.732094482137324,-2.43098274321789,-4.28660318545915,-5.38948637700814,-7.81239354694973,-8.16028028046559,-8.55534983311217,-7.57686753417114,-7.29364906194882,3.99789751535306,175.551351865904
19.8881897840731,31.5902472907274,4.2589707404483,1.0844430229599,0.272662067819291,0.0242063551025065,0.016659382966901,0.0100115152856717,0.0270113490747299,0.0294741096221272,-1.05646061100875,-0.593738245457485,-2.5975591675086,-3.96552017608128,-5.34610878575218,-7.76772676112726,-8.141368368104,-8.65060600829542,-7.6580848535672,-7.57082972928969,4.04658668837403,218.375087915306
15.3008703624679,24.3037844952991,3.27661591550829,0.834310326376721,0.209771075083284,0.0186230273037681,0.0128168054439721,0.00770230469344187,0.0207810341210031,0.0226757455190059,-1.05646061100875,-0.593738245457485,-2.5975591675086,-3.96552017608128,-5.34610878575218,-7.76772676112726,-8.141368368104,-8.65060600829542,-7.6580848535672,-7.57082972928969,3.78437032422498,114.628482113857
18.2936865620204,27.9411890369474,3.48151419581137,0.958141086776624,0.287476597798208,0.0300861177047521,0.0177842932524013,0.00884630061812756,0.0181922264856066,0.0274260962909364,-1.02653045175753,-0.602984545747269,-2.68561914257822,-3.97584669511432,-5.17970027648953,-7.43677787490659,-7.96252606824898,-8.66084237207262,-7.93984734778391,-7.5293467549434,3.93308645546897,121.891560793416
17.7260080631603,27.0741351385938,3.37347797546083,0.928408638262572,0.278555799743524,0.0291525036911274,0.0172324219353444,0.00857178762489693,0.0176276964338175,0.0265750264358121,-1.02653045175753,-0.602984545747269,-2.68561914257822,-3.97584669511432,-5.17970027648953,-7.43677787490659,-7.96252606824898,-8.66084237207262,-7.93984734778391,-7.5293467549434,3.90156339495123,79.7279175453967
18.6009923480572,25.2790000121999,2.96256069198464,0.763610057396735,0.241517852037436,0.0319841832302641,0.0153409031332233,0.00444779976191881,0.0183932771024018,0.0211487965414302,-0.946714352960996,-0.639955272286225,-2.7838752913058,-4.13962730049267,-5.29074117144457,-7.31244305673341,-8.04716189468387,-9.28527502490447,-7.86569934030539,-7.72610156052626,3.86992928430307,74.5186150246515
24.1829011937135,32.86488957858,3.85158550436836,0.992759215369489,0.313994126928893,0.0415822085373789,0.0199445028389475,0.00578252494056529,0.0239128533829236,0.0274952673253894,-0.946714352960996,-0.639955272286225,-2.7838752913058,-4.13962730049267,-5.29074117144457,-7.31244305673341,-8.04716189468387,-9.28527502490447,-7.86569934030539,-7.72610156052626,4.13236017414765,44.0312035340323
23.9141839845275,32.4996992593119,3.80878719413319,0.981727805878508,0.310505065595298,0.04112015251935,0.0197228821533832,0.00571827028593844,0.0236471369094013,0.0271897435405334,-0.946714352960996,-0.639955272286225,-2.7838752913058,-4.13962730049267,-5.29074117144457,-7.31244305673341,-8.04716189468387,-9.28527502490447,-7.86569934030539,-7.72610156052626,4.12118610801947,224.386753208497
20.5639808783182,28.9603718073742,5.90064138418699,1.04288875215162,0.448342945490925,0.0387207638209054,0.0194219081500884,0.00626999597014869,0.0293626058956935,0.0230620334709748,-1.02009010928182,-0.677702747525146,-2.26857009942517,-4.00163664469061,-4.8458279897001,-7.29501044360142,-7.98498471760238,-9.11561072066969,-7.57166447612182,-7.81319873989949,4.04363115361267,117.943778911891
22.2703490643107,31.3634598767041,6.3902677262122,1.12942609133371,0.485545768384351,0.0419337545308406,0.0210335088598284,0.0067902707998653,0.0317990707443392,0.024975686301719,-1.02009010928182,-0.677702747525146,-2.26857009942517,-4.00163664469061,-4.8458279897001,-7.29501044360142,-7.98498471760238,-9.11561072066969,-7.57166447612182,-7.81319873989949,4.12334626462272,173.194740489245
19.8198008308378,27.9123387930377,5.68710590137205,1.00514815096719,0.432118077531885,0.0373195166582464,0.0187190580251628,0.00604309409125778,0.0283000166247297,0.0222274525955607,-1.02009010928182,-0.677702747525146,-2.26857009942517,-4.00163664469061,-4.8458279897001,-7.29501044360142,-7.98498471760238,-9.11561072066969,-7.57166447612182,-7.81319873989949,4.00677158923498,154.352759326226
19.3547065769114,27.257343896919,5.55365146866738,0.981561202069487,0.421977933511613,0.0364437715937423,0.0182797939578433,0.00590128598926073,0.0276359244256949,0.0217058600442606,-1.02009010928182,-0.677702747525146,-2.26857009942517,-4.00163664469061,-4.8458279897001,-7.29501044360142,-7.98498471760238,-9.11561072066969,-7.57166447612182,-7.81319873989949,3.98302573312995,221.929029436865
19.9857157441944,28.1459977138287,5.73471362916555,1.01356241656964,0.435735411227891,0.0376319246600074,0.0188757584338536,0.00609368185654939,0.0285369208623836,0.022413522370076,-1.02009010928182,-0.677702747525146,-2.26857009942517,-4.00163664469061,-4.8458279897001,-7.29501044360142,-7.98498471760238,-9.11561072066969,-7.57166447612182,-7.81319873989949,4.01510791487408,638.350698022948
21.5986412056972,30.4174898601743,6.19752745806707,1.09536086949631,0.470900963877763,0.0406689682278422,0.0203991059973244,0.00658546582598671,0.0308399620364381,0.0242223813259109,-1.02009010928182,-0.677702747525146,-2.26857009942517,-4.00163664469061,-4.8458279897001,-7.29501044360142,-7.98498471760238,-9.11561072066969,-7.57166447612182,-7.81319873989949,4.09272051484956,947.452444437784
20.1823941607137,28.422981051957,5.791148655572,1.02353683298213,0.440023461343212,0.0380022585248253,0.0190615138166924,0.0061536494711026,0.0288177512554196,0.0226340927086512,-1.02009010928182,-0.677702747525146,-2.26857009942517,-4.00163664469061,-4.8458279897001,-7.29501044360142,-7.98498471760238,-9.11561072066969,-7.57166447612182,-7.81319873989949,4.02490075744331,468.197680303693
20.5578095316849,28.9516806646371,5.89887057416939,1.04257577636996,0.448208395680573,0.0387091435389736,0.0194160795448108,0.00626811431509607,0.0293537940406293,0.0230551124471,-1.02009010928182,-0.677702747525146,-2.26857009942517,-4.00163664469061,-4.8458279897001,-7.29501044360142,-7.98498471760238,-9.11561072066969,-7.57166447612182,-7.81319873989949,4.04333100390527,386.700060541592
23.0694246852864,26.9300118659168,6.35446175947844,0.745011461533116,0.306163234654857,0.033815734941991,0.0203145762144043,0.0072025753823452,0.0319412307618723,0.0171009230518151,-0.913545439321915,-0.758812225966872,-2.2028963679539,-4.34640924952374,-5.23569044608834,-7.43888262740192,-7.94847018389446,-8.9853701983353,-7.49591117678977,-8.12067641070309,4.05205357341103,606.64694432393
23.1671764882146,27.0441220896732,6.38138744584041,0.748168289870212,0.307460536541926,0.0339590219594618,0.0204006549301838,0.0072330947706245,0.0320765749647431,0.0171733845927012,-0.913545439321915,-0.758812225966872,-2.2028963679539,-4.34640924952374,-5.23569044608834,-7.43888262740192,-7.94847018389446,-8.9853701983353,-7.49591117678977,-8.12067641070309,4.05628190966793,592.646263230242
23.315233964154,27.2169564641009,6.42216980525756,0.752949705880595,0.309425464422307,0.0341760482802674,0.0205310320384175,0.00727932024637526,0.0322815708876808,0.0172831367663174,-0.913545439321915,-0.758812225966872,-2.2028963679539,-4.34640924952374,-5.23569044608834,-7.43888262740192,-7.94847018389446,-8.9853701983353,-7.49591117678977,-8.12067641070309,4.0626524044516,968.997079614034
20.1925382232082,29.5645537549636,6.00185776579659,0.767221132536181,0.515255069323939,0.0362352204721775,0.0210644085657468,0.00740734099887527,0.0378852461485946,0.0210588932282581,-1.04063002966406,-0.659367035471647,-2.25387412200136,-4.31092338171382,-4.70903639162595,-7.36366686286801,-7.90611363151476,-8.95122691456789,-7.31913669729999,-7.90637549785881,4.04594317093743,572.584105826067
20.5499851138743,28.294940753284,5.67955088693922,1.27244314691074,0.465849963505092,0.0323600249533927,0.0168454880765177,0.00433931488233207,0.0384994685150122,0.0173595473316744,-1.00911544623192,-0.689292646089412,-2.29510350238214,-3.79103687260647,-4.7958673262144,-7.46280707846193,-8.11564809076837,-9.47201446733325,-7.28908650537679,-8.08558830824251,4.03197566278823,527.436831200245
21.6972353264168,29.8745709385713,5.99662488607256,1.34348021397683,0.491857109820895,0.0341665978195012,0.0177859262164518,0.00458156712210051,0.0406487899472111,0.0183286840125792,-1.00911544623192,-0.689292646089412,-2.29510350238214,-3.79103687260647,-4.7958673262144,-7.46280707846193,-8.11564809076837,-9.47201446733325,-7.28908650537679,-8.08558830824251,4.08630029434913,1001.34490443162
22.3151453846859,30.634103908179,5.96858966065435,1.61341878375254,0.528342799774405,0.0443041246459489,0.0225125270277477,0.00695621444284582,0.0332605413335515,0.0187761570338707,-1.00864315089308,-0.691794868903439,-2.32739810231373,-3.63555336826967,-4.75191872800867,-7.23058626319659,-7.9075921319779,-9.08202861855744,-7.51729229359984,-8.08907622098943,4.11390876406337,1215.20492545554
24.0937582749082,33.8942489286034,6.62023310769828,1.66384010419932,0.561052798170821,0.0700192934602079,0.029043603044108,0.0100475528246899,0.0236374721861581,0.0229794242417078,-1.02257353104999,-0.681280993389044,-2.31439576328757,-3.6953980987042,-4.78246660876122,-6.8635107993089,-7.74348337021479,-8.80495251941864,-7.94944836694093,-7.97768240689116,4.20452634525978,603.529146831307
