"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-03-29,2,NA,NA,NA,2,NA,NA,NA
2020-04-05,4,NA,NA,NA,4,NA,NA,NA
2020-04-19,9,NA,NA,NA,9,NA,NA,NA
2020-05-10,11,NA,NA,NA,11,NA,NA,NA
2020-05-17,17,NA,NA,NA,17,NA,NA,NA
2020-05-24,20,NA,NA,NA,20,NA,NA,NA
2020-05-31,23,NA,NA,NA,23,NA,NA,NA
2020-06-07,30,NA,NA,NA,30,NA,NA,NA
2020-06-14,43,NA,NA,NA,43,NA,NA,NA
2020-06-21,58,NA,NA,NA,58,NA,NA,NA
2020-06-28,77,NA,NA,NA,77,NA,NA,NA
2020-07-05,105,NA,NA,NA,105,NA,NA,NA
2020-07-12,138,NA,NA,NA,138,NA,NA,NA
2020-07-19,178,NA,NA,NA,178,NA,NA,NA
2020-07-26,222,NA,NA,NA,222,NA,NA,NA
2020-08-02,259,NA,NA,NA,259,NA,NA,NA
2020-08-09,303,NA,NA,NA,303,NA,NA,NA
2020-08-16,343,NA,NA,NA,343,NA,NA,NA
2020-08-23,394,NA,NA,NA,394,NA,NA,NA
2020-08-30,429,NA,NA,NA,429,NA,NA,NA
2020-09-06,486,NA,NA,NA,486,NA,NA,NA
2020-09-13,534,NA,NA,NA,534,NA,NA,NA
2020-09-20,571,NA,NA,NA,571,NA,NA,NA
2020-09-27,599,NA,NA,NA,599,NA,NA,NA
2020-10-04,628,NA,NA,NA,628,NA,NA,NA
2020-10-11,654,NA,NA,NA,654,NA,NA,NA
2020-10-18,679,NA,NA,NA,679,NA,NA,NA
2020-10-25,697,NA,NA,NA,697,NA,NA,NA
2020-11-01,719,NA,NA,NA,719,NA,NA,NA
2020-11-08,744,NA,NA,NA,744,NA,NA,NA
2020-11-15,764,NA,NA,NA,764,NA,NA,NA
2020-11-22,778,NA,NA,NA,778,NA,NA,NA
2020-11-29,793,NA,NA,NA,793,NA,NA,NA
2020-12-06,828,NA,NA,NA,828,NA,NA,NA
2020-12-13,847,NA,NA,NA,847,NA,NA,NA
2020-12-20,881,NA,NA,NA,881,NA,NA,NA
2020-12-27,908,NA,NA,NA,908,NA,NA,NA
2021-01-03,938,NA,NA,NA,938,NA,NA,NA
2021-01-10,960,NA,NA,NA,960,NA,NA,NA
2021-01-17,986,NA,NA,NA,986,NA,NA,NA
2021-01-24,1020,NA,NA,NA,1020,NA,NA,NA
2021-01-31,1055,NA,NA,NA,1055,NA,NA,NA
2021-02-07,1078,NA,NA,NA,1078,NA,NA,NA
2021-02-14,1100,NA,NA,NA,1100,NA,NA,NA
2021-02-21,1118,NA,NA,NA,1118,NA,NA,NA
2021-02-28,1137,NA,NA,NA,1137,NA,NA,NA
2021-03-07,1179,NA,NA,NA,1179,NA,NA,NA
2021-03-14,1235,NA,NA,NA,1235,NA,NA,NA
2021-03-21,1333,NA,NA,NA,1333,NA,NA,NA
2021-03-28,1461,NA,NA,NA,1461,NA,NA,NA
2021-04-04,1592,NA,NA,NA,1592,NA,NA,NA
2021-04-11,1711,NA,NA,NA,1711,NA,NA,NA
2021-04-18,1792,NA,NA,NA,1792,NA,NA,NA
2021-04-25,1866,NA,NA,NA,1866,NA,NA,NA
2021-05-02,1932,NA,NA,NA,1932,NA,NA,NA
2021-05-09,1999,NA,NA,NA,1999,NA,NA,NA
2021-05-16,2049,NA,NA,NA,2049,NA,NA,NA
2021-05-23,2102,NA,NA,NA,2102,NA,NA,NA
2021-05-30,2168,NA,NA,NA,2168,NA,NA,NA
2021-06-06,2236,NA,NA,NA,2236,NA,NA,NA
2021-06-13,2318,NA,NA,NA,2318,NA,NA,NA
2021-06-20,2387,NA,NA,NA,2387,NA,NA,NA
2021-06-27,2450,NA,NA,NA,2450,NA,NA,NA
2021-07-04,2507,NA,NA,NA,2507,NA,NA,NA
2021-07-11,2565,NA,NA,NA,2565,NA,NA,NA
2021-07-18,2612,NA,NA,NA,2612,NA,NA,NA
2021-07-25,2642,NA,NA,NA,2642,NA,NA,NA
2021-08-01,2669,NA,NA,NA,2669,NA,NA,NA
2021-08-08,2696,NA,NA,NA,2696,NA,NA,NA
2021-08-15,2716,NA,NA,NA,2716,NA,NA,NA
2021-08-22,2730,NA,NA,NA,2730,NA,NA,NA
2021-08-29,2742,NA,NA,NA,2742,NA,NA,NA
2021-09-05,2753,NA,NA,NA,2753,NA,NA,NA
2021-09-12,2766,NA,NA,NA,2766,NA,NA,NA
2021-09-19,2772,NA,NA,NA,2772,NA,NA,NA
2021-09-26,2781,2781,2781,2793,2781,2781,2781,2781
2021-10-03,NA,2788,2788,2801,NA,2784,2784,2785
