"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,2,NA,NA,NA,2,NA,NA,NA
2020-03-22,4,NA,NA,NA,4,NA,NA,NA
2020-03-29,7,NA,NA,NA,7,NA,NA,NA
2020-04-05,18,NA,NA,NA,18,NA,NA,NA
2020-04-12,27,NA,NA,NA,27,NA,NA,NA
2020-04-19,39,NA,NA,NA,39,NA,NA,NA
2020-04-26,47,NA,NA,NA,47,NA,NA,NA
2020-05-03,58,NA,NA,NA,58,NA,NA,NA
2020-05-10,64,NA,NA,NA,64,NA,NA,NA
2020-05-17,76,NA,NA,NA,76,NA,NA,NA
2020-05-24,92,NA,NA,NA,92,NA,NA,NA
2020-05-31,107,NA,NA,NA,107,NA,NA,NA
2020-06-07,122,NA,NA,NA,122,NA,NA,NA
2020-06-14,152,NA,NA,NA,152,NA,NA,NA
2020-06-21,182,NA,NA,NA,182,NA,NA,NA
2020-06-28,220,NA,NA,NA,220,NA,NA,NA
2020-07-05,266,NA,NA,NA,266,NA,NA,NA
2020-07-12,311,NA,NA,NA,311,NA,NA,NA
2020-07-19,372,NA,NA,NA,372,NA,NA,NA
2020-07-26,430,NA,NA,NA,430,NA,NA,NA
2020-08-02,487,NA,NA,NA,487,NA,NA,NA
2020-08-09,543,NA,NA,NA,543,NA,NA,NA
2020-08-16,598,NA,NA,NA,598,NA,NA,NA
2020-08-23,662,NA,NA,NA,662,NA,NA,NA
2020-08-30,715,NA,NA,NA,715,NA,NA,NA
2020-09-06,789,NA,NA,NA,789,NA,NA,NA
2020-09-13,856,NA,NA,NA,856,NA,NA,NA
2020-09-20,916,NA,NA,NA,916,NA,NA,NA
2020-09-27,963,NA,NA,NA,963,NA,NA,NA
2020-10-04,1024,NA,NA,NA,1024,NA,NA,NA
2020-10-11,1102,NA,NA,NA,1102,NA,NA,NA
2020-10-18,1141,NA,NA,NA,1141,NA,NA,NA
2020-10-25,1183,NA,NA,NA,1183,NA,NA,NA
2020-11-01,1218,NA,NA,NA,1218,NA,NA,NA
2020-11-08,1261,NA,NA,NA,1261,NA,NA,NA
2020-11-15,1297,NA,NA,NA,1297,NA,NA,NA
2020-11-22,1318,NA,NA,NA,1318,NA,NA,NA
2020-11-29,1349,NA,NA,NA,1349,NA,NA,NA
2020-12-06,1397,NA,NA,NA,1397,NA,NA,NA
2020-12-13,1432,NA,NA,NA,1432,NA,NA,NA
2020-12-20,1481,NA,NA,NA,1481,NA,NA,NA
2020-12-27,1517,NA,NA,NA,1517,NA,NA,NA
2021-01-03,1555,NA,NA,NA,1555,NA,NA,NA
2021-01-10,1589,NA,NA,NA,1589,NA,NA,NA
2021-01-17,1631,NA,NA,NA,1631,NA,NA,NA
2021-01-24,1674,NA,NA,NA,1674,NA,NA,NA
2021-01-31,1719,NA,NA,NA,1719,NA,NA,NA
2021-02-07,1752,NA,NA,NA,1752,NA,NA,NA
2021-02-14,1781,NA,NA,NA,1781,NA,NA,NA
2021-02-21,1812,NA,NA,NA,1812,NA,NA,NA
2021-02-28,1838,NA,NA,NA,1838,NA,NA,NA
2021-03-07,1899,NA,NA,NA,1899,NA,NA,NA
2021-03-14,1966,NA,NA,NA,1966,NA,NA,NA
2021-03-21,2080,NA,NA,NA,2080,NA,NA,NA
2021-03-28,2220,NA,NA,NA,2220,NA,NA,NA
2021-04-04,2364,NA,NA,NA,2364,NA,NA,NA
2021-04-11,2496,NA,NA,NA,2496,NA,NA,NA
2021-04-18,2587,NA,NA,NA,2587,NA,NA,NA
2021-04-25,2670,NA,NA,NA,2670,NA,NA,NA
2021-05-02,2747,NA,NA,NA,2747,NA,NA,NA
2021-05-09,2828,NA,NA,NA,2828,NA,NA,NA
2021-05-16,2889,NA,NA,NA,2889,NA,NA,NA
2021-05-23,2952,NA,NA,NA,2952,NA,NA,NA
2021-05-30,3028,NA,NA,NA,3028,NA,NA,NA
2021-06-06,3110,NA,NA,NA,3110,NA,NA,NA
2021-06-13,3203,NA,NA,NA,3203,NA,NA,NA
2021-06-20,3287,NA,NA,NA,3287,NA,NA,NA
2021-06-27,3363,NA,NA,NA,3363,NA,NA,NA
2021-07-04,3435,NA,NA,NA,3435,NA,NA,NA
2021-07-11,3498,NA,NA,NA,3498,NA,NA,NA
2021-07-18,3560,NA,NA,NA,3560,NA,NA,NA
2021-07-25,3599,NA,NA,NA,3599,NA,NA,NA
2021-08-01,3630,NA,NA,NA,3630,NA,NA,NA
2021-08-08,3668,NA,NA,NA,3668,NA,NA,NA
2021-08-15,3702,NA,NA,NA,3702,NA,NA,NA
2021-08-22,3728,NA,NA,NA,3728,NA,NA,NA
2021-08-29,3755,NA,NA,NA,3755,NA,NA,NA
2021-09-05,3775,NA,NA,NA,3775,NA,NA,NA
2021-09-12,3797,NA,NA,NA,3797,NA,NA,NA
2021-09-19,3814,NA,NA,NA,3814,NA,NA,NA
2021-09-26,3834,NA,NA,NA,3834,NA,NA,NA
2021-10-03,3849,NA,NA,NA,3849,NA,NA,NA
2021-10-10,3867,NA,NA,NA,3867,NA,NA,NA
2021-10-17,3876,NA,NA,NA,3876,NA,NA,NA
2021-10-24,3888,3888,3886,3909,3886,3886,3886,3886
2021-10-31,NA,3898,3895,3922,NA,3887,3887,3888
