"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,5,NA,5,NA,NA,NA
2020-03-22,8,NA,8,NA,NA,NA
2020-03-29,10,NA,10,NA,NA,NA
2020-04-05,6,NA,6,NA,NA,NA
2020-04-12,4,NA,4,NA,NA,NA
2020-04-19,6,NA,6,NA,NA,NA
2020-04-26,9,NA,9,NA,NA,NA
2020-05-03,20,NA,20,NA,NA,NA
2020-05-10,20,NA,20,NA,NA,NA
2020-05-17,21,NA,21,NA,NA,NA
2020-05-24,34,NA,34,NA,NA,NA
2020-05-31,44,NA,44,NA,NA,NA
2020-06-07,93,NA,93,NA,NA,NA
2020-06-14,82,NA,82,NA,NA,NA
2020-06-21,107,NA,107,NA,NA,NA
2020-06-28,147,NA,147,NA,NA,NA
2020-07-05,165,NA,165,NA,NA,NA
2020-07-12,148,NA,148,NA,NA,NA
2020-07-19,187,NA,187,NA,NA,NA
2020-07-26,159,NA,159,NA,NA,NA
2020-08-02,165,NA,165,NA,NA,NA
2020-08-09,154,NA,154,NA,NA,NA
2020-08-16,167,NA,167,NA,NA,NA
2020-08-23,137,NA,137,NA,NA,NA
2020-08-30,112,NA,112,NA,NA,NA
2020-09-06,120,NA,120,NA,NA,NA
2020-09-13,106,NA,106,NA,NA,NA
2020-09-20,104,NA,104,NA,NA,NA
2020-09-27,114,NA,114,NA,NA,NA
2020-10-04,86,NA,86,NA,NA,NA
2020-10-11,83,NA,83,NA,NA,NA
2020-10-18,78,NA,78,NA,NA,NA
2020-10-25,57,NA,57,NA,NA,NA
2020-11-01,54,NA,54,NA,NA,NA
2020-11-08,82,NA,82,NA,NA,NA
2020-11-15,110,NA,110,NA,NA,NA
2020-11-22,108,NA,108,NA,NA,NA
2020-11-29,94,NA,94,NA,NA,NA
2020-12-06,117,NA,117,NA,NA,NA
2020-12-13,108,NA,108,NA,NA,NA
2020-12-20,98,NA,98,NA,NA,NA
2020-12-27,132,NA,132,NA,NA,NA
2021-01-03,149,NA,149,NA,NA,NA
2021-01-10,163,NA,163,NA,NA,NA
2021-01-17,106,NA,106,NA,NA,NA
2021-01-24,81,NA,81,NA,NA,NA
2021-01-31,90,NA,90,NA,NA,NA
2021-02-07,97,NA,97,NA,NA,NA
2021-02-14,135,NA,135,NA,NA,NA
2021-02-21,185,NA,185,NA,NA,NA
2021-02-28,234,NA,234,NA,NA,NA
2021-03-07,362,NA,362,NA,NA,NA
2021-03-14,368,NA,368,NA,NA,NA
2021-03-21,374,NA,374,NA,NA,NA
2021-03-28,292,NA,292,NA,NA,NA
2021-04-04,228,NA,228,NA,NA,NA
2021-04-11,182,NA,182,NA,NA,NA
2021-04-18,202,NA,202,NA,NA,NA
2021-04-25,200,NA,200,NA,NA,NA
2021-05-02,189,NA,189,NA,NA,NA
2021-05-09,254,NA,254,NA,NA,NA
2021-05-16,253,NA,253,NA,NA,NA
2021-05-23,245,NA,245,NA,NA,NA
2021-05-30,331,NA,331,NA,NA,NA
2021-06-06,313,NA,313,NA,NA,NA
2021-06-13,306,NA,306,NA,NA,NA
2021-06-20,254,NA,254,NA,NA,NA
2021-06-27,179,NA,179,NA,NA,NA
2021-07-04,126,NA,126,NA,NA,NA
2021-07-11,124,NA,124,NA,NA,NA
2021-07-18,76,NA,76,NA,NA,NA
2021-07-25,NA,80,80,NA,80,80
2021-08-01,NA,66,66,NA,66,66
2021-08-08,NA,64,64,NA,64,65
2021-08-15,NA,28,28,NA,28,29
2021-08-22,NA,40,40,NA,40,41
2021-08-29,NA,27,27,NA,27,29
2021-09-05,NA,22,22,NA,21,24
2021-09-12,NA,20,20,NA,16,27
2021-09-19,NA,33,33,NA,18,64
