"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,2,NA,2,NA,NA,NA
2020-03-22,2,NA,2,NA,NA,NA
2020-03-29,3,NA,3,NA,NA,NA
2020-04-05,11,NA,11,NA,NA,NA
2020-04-12,9,NA,9,NA,NA,NA
2020-04-19,12,NA,12,NA,NA,NA
2020-04-26,8,NA,8,NA,NA,NA
2020-05-03,11,NA,11,NA,NA,NA
2020-05-10,6,NA,6,NA,NA,NA
2020-05-17,12,NA,12,NA,NA,NA
2020-05-24,16,NA,16,NA,NA,NA
2020-05-31,15,NA,15,NA,NA,NA
2020-06-07,15,NA,15,NA,NA,NA
2020-06-14,30,NA,30,NA,NA,NA
2020-06-21,30,NA,30,NA,NA,NA
2020-06-28,38,NA,38,NA,NA,NA
2020-07-05,46,NA,46,NA,NA,NA
2020-07-12,45,NA,45,NA,NA,NA
2020-07-19,61,NA,61,NA,NA,NA
2020-07-26,58,NA,58,NA,NA,NA
2020-08-02,57,NA,57,NA,NA,NA
2020-08-09,56,NA,56,NA,NA,NA
2020-08-16,55,NA,55,NA,NA,NA
2020-08-23,64,NA,64,NA,NA,NA
2020-08-30,53,NA,53,NA,NA,NA
2020-09-06,74,NA,74,NA,NA,NA
2020-09-13,67,NA,67,NA,NA,NA
2020-09-20,60,NA,60,NA,NA,NA
2020-09-27,47,NA,47,NA,NA,NA
2020-10-04,61,NA,61,NA,NA,NA
2020-10-11,78,NA,78,NA,NA,NA
2020-10-18,39,NA,39,NA,NA,NA
2020-10-25,42,NA,42,NA,NA,NA
2020-11-01,35,NA,35,NA,NA,NA
2020-11-08,43,NA,43,NA,NA,NA
2020-11-15,36,NA,36,NA,NA,NA
2020-11-22,21,NA,21,NA,NA,NA
2020-11-29,31,NA,31,NA,NA,NA
2020-12-06,48,NA,48,NA,NA,NA
2020-12-13,35,NA,35,NA,NA,NA
2020-12-20,49,NA,49,NA,NA,NA
2020-12-27,36,NA,36,NA,NA,NA
2021-01-03,38,NA,38,NA,NA,NA
2021-01-10,34,NA,34,NA,NA,NA
2021-01-17,42,NA,42,NA,NA,NA
2021-01-24,43,NA,43,NA,NA,NA
2021-01-31,45,NA,45,NA,NA,NA
2021-02-07,33,NA,33,NA,NA,NA
2021-02-14,29,NA,29,NA,NA,NA
2021-02-21,31,NA,31,NA,NA,NA
2021-02-28,26,NA,26,NA,NA,NA
2021-03-07,61,NA,61,NA,NA,NA
2021-03-14,67,NA,67,NA,NA,NA
2021-03-21,114,NA,114,NA,NA,NA
2021-03-28,140,NA,140,NA,NA,NA
2021-04-04,144,NA,144,NA,NA,NA
2021-04-11,132,NA,132,NA,NA,NA
2021-04-18,91,NA,91,NA,NA,NA
2021-04-25,83,NA,83,NA,NA,NA
2021-05-02,77,NA,77,NA,NA,NA
2021-05-09,81,NA,81,NA,NA,NA
2021-05-16,61,NA,61,NA,NA,NA
2021-05-23,63,NA,63,NA,NA,NA
2021-05-30,76,NA,76,NA,NA,NA
2021-06-06,82,NA,82,NA,NA,NA
2021-06-13,93,NA,93,NA,NA,NA
2021-06-20,84,NA,84,NA,NA,NA
2021-06-27,76,NA,76,NA,NA,NA
2021-07-04,72,NA,72,NA,NA,NA
2021-07-11,63,NA,63,NA,NA,NA
2021-07-18,62,NA,62,NA,NA,NA
2021-07-25,NA,39,39,NA,39,40
2021-08-01,NA,31,31,NA,31,32
2021-08-08,NA,38,38,NA,38,39
2021-08-15,NA,34,34,NA,34,35
2021-08-22,NA,26,26,NA,26,27
2021-08-29,NA,27,27,NA,27,28
2021-09-05,NA,19,19,NA,19,20
2021-09-12,NA,21,21,NA,21,23
2021-09-19,NA,15,15,NA,14,19
