"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
15,22,1.09940495569954,0.366623687289196,0.501926390319071,0.572716312919772,0.834995902732946,1.05857990378866,1.32093808534644,1.75966485027202,1.92445578527711,2020-04-05
22,29,1.09815078221304,0.366313328613642,0.498761390485331,0.569840642760238,0.832856217299024,1.05694501959521,1.31885723055516,1.76475865434857,1.91984282541689,2020-04-12
29,36,1.09720065515186,0.365896609493287,0.50363034272069,0.575404501315256,0.834321810625866,1.0550614701198,1.31627284391398,1.75939004539753,1.92425014834762,2020-04-19
36,43,1.09686292179511,0.365909529917983,0.502772707192655,0.573019112336791,0.832437926832533,1.05493789457049,1.31891026493297,1.75700355868122,1.92469811532539,2020-04-26
43,50,1.65709390611737,0.394480740205982,0.980710782185865,1.06945396661292,1.37662099244328,1.624458622851,1.90224727904075,2.35277946029914,2.51384934251035,2020-05-03
50,57,1.23362713881422,0.250004760047742,0.79764370938225,0.856020892928449,1.05576460281078,1.21628129518481,1.39096216095214,1.67271848758515,1.76800653711177,2020-05-10
57,64,1.04045419412128,0.207396842338551,0.676516214508511,0.724593538369866,0.894023214680337,1.02582049411351,1.17069648670255,1.4025493133808,1.4842075659533,2020-05-17
64,71,1.2671766483616,0.220861457100687,0.873583498609393,0.928654700346627,1.1115297488365,1.25371935375207,1.40883933326213,1.6519140585979,1.73559543644757,2020-05-24
71,78,1.23109156276023,0.186281575143002,0.895204297292631,0.942588516484029,1.10030115550329,1.22159766809838,1.35116403441582,1.55210694350156,1.62292273449664,2020-05-31
78,85,1.46424869046882,0.174213377576946,1.14495483290889,1.19094096079605,1.34294025336778,1.45719647170396,1.57688893814111,1.76398206747971,1.82297095935562,2020-06-07
85,92,1.13416207309218,0.118354270962277,0.915838678833592,0.947386724171108,1.05172739948587,1.12926803945474,1.21140044149679,1.3372538753834,1.37883736455527,2020-06-14
92,99,1.09157867172069,0.104968662628846,0.896858314193594,0.924853464848104,1.01820778443514,1.08842560062027,1.16034921510481,1.26985221451963,1.30703779096102,2020-06-21
99,106,1.21248091066914,0.102951260380122,1.0204539242455,1.04908418653554,1.14134106169239,1.20926512779046,1.27986608759032,1.38598085030566,1.42262706230071,2020-06-28
106,113,1.13205886330499,0.0869049482043127,0.968593840208643,0.993925682556784,1.07284006417223,1.12945498560407,1.188768936078,1.27897772601385,1.30955960546863,2020-07-05
113,120,0.995220769768533,0.0743269240057952,0.854908982859206,0.876782848007303,0.944370629227301,0.993397332306629,1.04370356372578,1.12090192522767,1.14737443279765,2020-07-12
120,127,1.07627974122316,0.0774914936791687,0.930013577786238,0.952001164232041,1.0233024878066,1.07427660692894,1.12784264107732,1.2061788509081,1.23320504757202,2020-07-19
127,134,0.998069600574265,0.0713790475193223,0.863266352787187,0.883712581847649,0.948783762069713,0.996536772436837,1.04508049456033,1.11771009085654,1.1425214388858,2020-07-26
134,141,0.976925697532138,0.0714329830209201,0.841507578236058,0.86209989371562,0.927677614583972,0.975217225377929,1.02380225474939,1.0977259319404,1.12226823168853,2020-08-02
141,148,0.988605658312733,0.073292857080073,0.851066725504242,0.872068996186998,0.937878941552207,0.986760476944578,1.03677405160643,1.11209626713397,1.1382324628597,2020-08-09
148,155,1.02326689481326,0.0751090868700889,0.882884806313719,0.903003390820987,0.971435922064444,1.02117977498475,1.0729692128081,1.15002946838787,1.17672097647923,2020-08-16
155,162,0.952265716700647,0.0719293040390979,0.815859602332115,0.836786881739566,0.9028513894315,0.950484886071349,0.999470389617953,1.07436552821618,1.0986240379621,2020-08-23
162,169,0.890245340208781,0.0743721329447587,0.750779194107128,0.771178494575972,0.839381501104198,0.888379937279347,0.938836512383179,1.01584469735597,1.04223708646823,2020-08-30
169,176,0.968542661262932,0.0849141529753792,0.808813118064718,0.832661592337895,0.909803357740065,0.966587589310549,1.02468869679944,1.11117209815432,1.14036716983398,2020-09-06
