"dt_notific","n.notific"
2020-03-29,4
2020-04-05,1
2020-04-12,3
2020-04-19,2
2020-04-26,5
2020-05-03,6
2020-05-10,5
2020-05-17,11
2020-05-24,15
2020-05-31,12
2020-06-07,16
2020-06-14,13
2020-06-21,22
2020-06-28,18
2020-07-05,26
2020-07-12,46
2020-07-19,27
2020-07-26,27
2020-08-02,32
2020-08-09,44
2020-08-16,24
2020-08-23,25
2020-08-30,20
2020-09-06,18
2020-09-13,13
2020-09-20,14
2020-09-27,12
2020-10-04,7
2020-10-11,2
2020-10-18,5
2020-10-25,6
2020-11-01,7
2020-11-08,5
2020-11-15,4
2020-11-22,8
2020-11-29,14
2020-12-06,12
2020-12-13,17
2020-12-20,23
2020-12-27,13
2021-01-03,39
2021-01-10,43
2021-01-17,40
2021-01-24,49
2021-01-31,33
2021-02-07,26
2021-02-14,26
2021-02-21,29
2021-02-28,21
2021-03-07,33
2021-03-14,35
2021-03-21,62
2021-03-28,61
2021-04-04,55
2021-04-11,41
2021-04-18,49
2021-04-25,48
2021-05-02,66
2021-05-09,59
2021-05-16,74
2021-05-23,77
2021-05-30,68
2021-06-06,63
2021-06-13,54
2021-06-20,31
2021-06-27,28
2021-07-04,26
2021-07-11,15
2021-07-18,16
2021-07-25,11
2021-08-01,13
2021-08-08,18
2021-08-15,8
2021-08-22,3
2021-08-29,6
2021-09-05,1
2021-09-12,2
