"dt_notific","n.notific"
2020-02-23,1
2020-03-22,5
2020-03-29,11
2020-04-05,9
2020-04-12,13
2020-04-19,10
2020-04-26,11
2020-05-03,12
2020-05-10,15
2020-05-17,29
2020-05-24,29
2020-05-31,17
2020-06-07,31
2020-06-14,32
2020-06-21,41
2020-06-28,30
2020-07-05,50
2020-07-12,66
2020-07-19,38
2020-07-26,37
2020-08-02,43
2020-08-09,55
2020-08-16,39
2020-08-23,37
2020-08-30,33
2020-09-06,27
2020-09-13,23
2020-09-20,21
2020-09-27,21
2020-10-04,9
2020-10-11,13
2020-10-18,10
2020-10-25,9
2020-11-01,10
2020-11-08,6
2020-11-15,10
2020-11-22,14
2020-11-29,21
2020-12-06,17
2020-12-13,19
2020-12-20,32
2020-12-27,17
2021-01-03,47
2021-01-10,48
2021-01-17,46
2021-01-24,58
2021-01-31,38
2021-02-07,30
2021-02-14,30
2021-02-21,34
2021-02-28,23
2021-03-07,40
2021-03-14,44
2021-03-21,65
2021-03-28,64
2021-04-04,57
2021-04-11,44
2021-04-18,52
2021-04-25,50
2021-05-02,69
2021-05-09,61
2021-05-16,75
2021-05-23,81
2021-05-30,74
2021-06-06,65
2021-06-13,55
2021-06-20,33
2021-06-27,30
2021-07-04,27
2021-07-11,15
2021-07-18,19
2021-07-25,17
2021-08-01,16
2021-08-08,19
2021-08-15,12
2021-08-22,4
2021-08-29,12
2021-09-05,5
2021-09-12,9
2021-09-19,5
2021-09-26,7
2021-10-03,5
2021-10-10,2
2021-10-17,2
2021-10-24,1
