"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.79415610310202,7.4899250134852,5.40365587039934,0.288645815918126,0.102843265705237,0.0683758565524655,0.00668109150423052,0.000628545424528824,0.0343978488446365,0.0139147581141168,-2.13697274790028,-0.707948735815289,-1.03443178420639,-3.96406241467072,-4.99605666362767,-5.4042430127865,-7.72998142768841,-10.0936097797804,-6.09126877188783,-6.99631278900232,2.72150752174359,4.61923714776621
1.96179547391472,8.18975615667508,5.90855367089503,0.315615823090062,0.112452563539099,0.0747646459958238,0.00730534820863593,0.000687274405420195,0.0376118577748826,0.0152149021156495,-2.13697274790028,-0.707948735815289,-1.03443178420639,-3.96406241467072,-4.99605666362767,-5.4042430127865,-7.72998142768841,-10.0936097797804,-6.09126877188783,-6.99631278900232,2.81083285993729,11.3925496866787
2.20990876907283,9.22553558097933,6.65582357767025,0.355532564112332,0.126674727092666,0.0842203221486172,0.00822927429594876,0.000774195758677456,0.0423687257020587,0.0171391697315233,-2.13697274790028,-0.707948735815289,-1.03443178420639,-3.96406241467072,-4.99605666362767,-5.4042430127865,-7.72998142768841,-10.0936097797804,-6.09126877188783,-6.99631278900232,2.92992398161534,12.2587170007986
2.08525967923284,8.70517264584421,6.28040430122643,0.33547888083577,0.119529685786524,0.0794699059102759,0.00776510511150588,0.000730527532175228,0.0399789333403325,0.0161724411780438,-2.13697274790028,-0.707948735815289,-1.03443178420639,-3.96406241467072,-4.99605666362767,-5.4042430127865,-7.72998142768841,-10.0936097797804,-6.09126877188783,-6.99631278900232,2.87186614179043,13.6235323675948
2.42073970499285,10.1056752175659,7.29080613162766,0.389451277993581,0.13875981931191,0.0922551557990253,0.00901436806363643,0.000848056009684902,0.0464108102525676,0.0187742902604604,-2.13697274790028,-0.707948735815289,-1.03443178420639,-3.96406241467072,-4.99605666362767,-5.4042430127865,-7.72998142768841,-10.0936097797804,-6.09126877188783,-6.99631278900232,3.02104590458358,10.9742208866183
2.3328935125261,9.73895049770541,7.02623016034264,0.37531848550355,0.133724365987959,0.0889073096197539,0.00868724577525036,0.00081728091590026,0.0447266089476625,0.0180929902792004,-2.13697274790028,-0.707948735815289,-1.03443178420639,-3.96406241467072,-4.99605666362767,-5.4042430127865,-7.72998142768841,-10.0936097797804,-6.09126877188783,-6.99631278900232,2.98408209588847,9.97658119458211
2.83239234053505,11.8241697044636,8.53062532950404,0.45567840876302,0.162356261841147,0.107943367938767,0.0105472831323197,0.000992269983105568,0.0543030806683886,0.0219669036794961,-2.13697274790028,-0.707948735815289,-1.03443178420639,-3.96406241467072,-4.99605666362767,-5.4042430127865,-7.72998142768841,-10.0936097797804,-6.09126877188783,-6.99631278900232,3.17809445246073,13.9610900966497
2.13531579676226,8.85568349852428,7.2661083256364,0.55114986994811,0.137687309339936,0.104023552358519,0.00682259273013195,0.00110345824814636,0.0616374017164118,0.0197432436604984,-2.19312795915903,-0.770683052957081,-0.968521666822449,-3.5474910196132,-4.93451254822666,-5.21488044957009,-7.9392582227387,-9.76104867790284,-5.73822893105101,-6.87668644837729,2.95174250907576,35.7635706679652
1.84507724657082,7.65199234264785,6.27847701172753,0.476235920716576,0.118972435828872,0.0898843580210446,0.0058952453909034,0.00095347288175493,0.0532594605524563,0.0170596825568958,-2.19312795915903,-0.770683052957081,-0.968521666822449,-3.5474910196132,-4.93451254822666,-5.21488044957009,-7.9392582227387,-9.76104867790284,-5.73822893105101,-6.87668644837729,2.80564910383514,13.1264315825017
1.64157433286878,7.95031570087796,5.73819124973333,0.400312199460562,0.0947102229455044,0.084692212001708,0.00451032553108681,0.00107575426988801,0.0390494034868231,0.0161824429936127,-2.2750946583824,-0.697538760138752,-1.02360635143283,-3.68626093647223,-5.12768373258508,-5.23948202840219,-8.17213634704932,-9.60548361585261,-6.01367807725744,-6.89457878908782,2.7707503988188,17.8750270003283
2.48005339530183,12.0111572488018,8.66912963174962,0.604782622129525,0.143086063958681,0.12795107947588,0.00681409785918143,0.00162522523417127,0.0589949560997113,0.0244480690803999,-2.2750946583824,-0.697538760138752,-1.02360635143283,-3.68626093647223,-5.12768373258508,-5.23948202840219,-8.17213634704932,-9.60548361585261,-6.01367807725744,-6.89457878908782,3.18337474869116,10.3564003491121
2.09121354162441,10.1279652836739,7.30992377597819,0.509960636949296,0.120652045288611,0.107890027921297,0.00574573666198825,0.00137041122756756,0.0497453205309878,0.020614932414098,-2.2750946583824,-0.697538760138752,-1.02360635143283,-3.68626093647223,-5.12768373258508,-5.23948202840219,-8.17213634704932,-9.60548361585261,-6.01367807725744,-6.89457878908782,3.01283919777738,10.2619472441179
1.2679616620507,6.98230560198177,4.44838497823838,0.39960222072669,0.0950887261764531,0.0588521355292846,0.00451659269451714,0.000840888473447295,0.0427815405447702,0.0120325496187415,-2.35128282441757,-0.645314267297431,-1.09615234093382,-3.50597911984882,-4.94163830849823,-5.42142060326558,-7.98869084305607,-9.66974496361916,-5.7403420101118,-7.00883327806855,2.58869344499973,6.52709872800325
1.03757561461526,5.71363491755014,3.64012250210797,0.326995312383142,0.077811298604997,0.0481588225581353,0.00369593701547817,0.000688100753179615,0.0350082218993405,0.0098462598986334,-2.35128282441757,-0.645314267297431,-1.09615234093382,-3.50597911984882,-4.94163830849823,-5.42142060326558,-7.98869084305607,-9.66974496361916,-5.7403420101118,-7.00883327806854,2.38816967644144,3.76605622997218
2.66464785475444,14.6734607207837,9.34837372780977,0.83977239382172,0.199830939531424,0.123678989183472,0.0094917136648911,0.00176714464949609,0.0899062989423048,0.0252866537596655,-2.35128282441757,-0.645314267297431,-1.09615234093382,-3.50597911984882,-4.94163830849823,-5.42142060326558,-7.98869084305607,-9.66974496361916,-5.7403420101118,-7.00883327806854,3.33135473625177,10.3796613155301
1.13521923140018,6.25133064832837,3.98268522393697,0.357768014172828,0.0851339231111067,0.0526909275425256,0.0040437522999906,0.000752856174670319,0.0383027571171215,0.0107728665138664,-2.35128282441757,-0.645314267297431,-1.09615234093382,-3.50597911984882,-4.94163830849823,-5.42142060326558,-7.98869084305607,-9.66974496361916,-5.7403420101118,-7.00883327806854,2.4781086121175,5.21960276466818
1.95374744148803,10.7587335751906,6.8543245668255,0.615729828215016,0.146518117260057,0.0906827175125179,0.0069594228952354,0.00129568878361618,0.0659202307797527,0.018540436778012,-2.35128282441757,-0.645314267297431,-1.09615234093382,-3.50597911984882,-4.94163830849823,-5.42142060326558,-7.98869084305607,-9.66974496361916,-5.7403420101118,-7.00883327806854,3.02103211763119,8.73214577643489
1.30564013832822,7.18979029482423,4.5805722303393,0.411476714447376,0.0979143623299183,0.0606009729419511,0.00465080679245786,0.000865876134625927,0.0440528276102833,0.0123901062775403,-2.35128282441757,-0.645314267297431,-1.09615234093382,-3.50597911984882,-4.94163830849823,-5.42142060326558,-7.98869084305607,-9.66974496361916,-5.7403420101118,-7.00883327806854,2.61797627237754,4.93795035165396
3.57240671485829,19.672231554202,12.5330606138611,1.12585553595328,0.267906841402984,0.165812398309058,0.0127252318055715,0.00236915335762725,0.120534450913081,0.0339009942819067,-2.35128282441757,-0.645314267297431,-1.09615234093382,-3.50597911984882,-4.94163830849823,-5.42142060326558,-7.98869084305607,-9.66974496361916,-5.7403420101118,-7.00883327806854,3.62452234289246,7.52095858374837
1.31210409692291,7.22538548327317,4.6032497111916,0.413513851914883,0.0983991164098114,0.060900996025185,0.00467383199033273,0.00087016291114118,0.0442709241939382,0.0124514471720263,-2.35128282441757,-0.645314267297431,-1.09615234093382,-3.50597911984882,-4.94163830849823,-5.42142060326558,-7.98869084305607,-9.66974496361916,-5.7403420101118,-7.00883327806854,2.6229148539589,5.39033421666589
3.65265814178092,20.1141534234033,12.8146063834923,1.15114703282938,0.27392516686842,0.169537248984772,0.0130110945563247,0.00242237460389727,0.123242166593627,0.0346625545919083,-2.35128282441757,-0.645314267297431,-1.09615234093382,-3.50597911984882,-4.94163830849823,-5.42142060326558,-7.98869084305607,-9.66974496361916,-5.7403420101118,-7.00883327806854,3.64673798498295,0.866509307262509
0.895709687594604,5.1492898243165,2.6765460116156,0.230001618689532,0.0500572173852537,0.0338324858620885,0.00317184218142122,0.000711491860535237,0.0304700208226575,0.00691789056600776,-2.31585050971276,-0.566852774846306,-1.22118442015444,-3.67538051412528,-5.20030016193781,-5.59204539971545,-7.95915431191975,-9.4538581621881,-5.69672358442464,-7.17935596914704,2.20571158182215,4.60609712698274
1.12982263462652,6.495167213596,3.37611874519694,0.290117477119197,0.0631407452789287,0.04267533202116,0.00400087119706891,0.000897455525510705,0.0384340145917466,0.00872602970984313,-2.31585050971276,-0.566852774846306,-1.22118442015444,-3.67538051412528,-5.20030016193781,-5.59204539971545,-7.95915431191975,-9.4538581621881,-5.69672358442464,-7.17935596914704,2.43791116960991,5.85553428233942
