"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
3.56775512913576,1.74355642770554,0.0459255685960091,0.101289095302309,3.84095344199742e-06,0.139929951698341,8.92693856732774e-06,0.0141417918772035,0.100710594296722,0.000527969873223695,-1.65119853328851,-2.36720816470018,-6.00386838291304,-5.21291163700518,-15.3929250459218,-4.88974844252364,-14.5495721633858,-7.18175601847821,-5.21863939419449,-10.469606450099,2.92313511592462,16.817433864038
5.23229625297892,2.55701510707404,0.0673522065789961,0.148545663767647,5.63295561915365e-06,0.205214465525302,1.30918141872916e-05,0.0207396645709325,0.147697262312301,0.00077429495281064,-1.65119853328851,-2.36720816470018,-6.00386838291304,-5.21291163700518,-15.3929250459218,-4.88974844252364,-14.5495721633858,-7.18175601847821,-5.21863939419449,-10.469606450099,3.30604876911616,33.3849827489545
7.24195712755005,3.53913327621409,0.0932213637966859,0.205600232952463,7.79650484662021e-06,0.284034827049638,1.81202195904405e-05,0.0287055155902058,0.204425970894371,0.00107169215602816,-1.65119853328851,-2.36720816470018,-6.00386838291304,-5.21291163700518,-15.3929250459218,-4.88974844252364,-14.5495721633858,-7.18175601847821,-5.21863939419449,-10.469606450099,3.63109002464068,7.31627581457165
5.44262401424182,2.65980195953487,0.0700596295040286,0.154516899988794,5.859389079223e-06,0.213463673334994,1.36180787250297e-05,0.0215733572763224,0.153634394505288,0.000805420048964955,-1.65119853328851,-2.36720816470018,-6.00386838291304,-5.21291163700518,-15.3929250459218,-4.88974844252364,-14.5495721633858,-7.18175601847821,-5.21863939419449,-10.469606450099,3.34545983341947,6.52913135070798
6.36773661631238,2.08244377388626,0.0654143764801032,0.184066887062189,4.69618646865538e-06,0.159308400190693,1.51910182733836e-05,0.0208534021345028,0.148668442763936,0.000649907297569601,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.34242174080734,20.2135048257392
5.49510157638832,1.79706554371423,0.0564499860740848,0.15884234889132,4.05262076964895e-06,0.137476766670468,1.31092401414925e-05,0.0179956505501207,0.128294909701275,0.000560843959254264,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.19503472654808,17.7604521877136
5.65265674329197,1.84859088091515,0.058068516114699,0.163396665575561,4.16881722805525e-06,0.141418490880119,1.34851073551848e-05,0.0185116205802557,0.131973372352035,0.000576924437909453,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.22330330831556,38.2806876374894
4.42168047685986,1.44602415802864,0.0454229640477083,0.127813854435233,3.26097595980221e-06,0.110621855985447,1.05484621884283e-05,0.0144803541116995,0.103233596253097,0.000451287888081093,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,2.97769747584144,17.4380505500949
5.32988406785607,1.74303438747912,0.0547527424606245,0.154066543245434,3.93077335749836e-06,0.133343345558116,1.27150934701671e-05,0.0174545874765856,0.124437553282371,0.000543981442641012,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.16450714069426,11.1353831713567
4.98614786162261,1.63062218112366,0.0512216150036885,0.144130445497629,3.67726894647024e-06,0.124743733419261,1.18950685060787e-05,0.0163289018886466,0.116412295709468,0.0005088988564207,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.09784129364552,12.1300016357839
4.74241516029669,1.55091416602322,0.0487178018522143,0.137085066219002,3.49751681743221e-06,0.118646014706631,1.13136141930692e-05,0.0155307130909099,0.1107218340368,0.000484022880733785,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.04772418705502,17.7090598786213
4.90197622181116,1.60309549184224,0.0503569380128925,0.141697365636988,3.61519261703877e-06,0.122637922502799,1.16942667148738e-05,0.0160532521312725,0.11444712859128,0.00050030808606413,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.08081608800678,86.1960038092227
5.28502821433787,1.72836515749841,0.0542919480110144,0.152769932248292,3.89769230138299e-06,0.132221139239961,1.26080843189536e-05,0.0173076911446763,0.123390297358764,0.000539403340829214,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.15605561150142,37.9524388998913
5.41705229947829,1.77154105353019,0.0556482027888413,0.156586243103044,3.99505966431455e-06,0.135524125380512,1.29230439994085e-05,0.017740050632005,0.126472682251205,0.000552878052733583,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.18072946494766,31.3945740639054
7.41598393812308,2.42525256770565,0.0761827937506175,0.214367703980825,5.46926569367873e-06,0.185533511859735,1.76917410859225e-05,0.0242862581483862,0.17314202048162,0.000756894069346145,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.49481531604454,16.6105321627024
5.29835223336943,1.73272251744391,0.0544288227672545,0.15315507862825,3.9075187250645e-06,0.132554480312924,1.26398704038342e-05,0.017351325349992,0.123701375105872,0.000540763223896518,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.15857352647893,17.0374019562129
4.44367292552138,1.45321635842059,0.0456488877005143,0.128449571929205,3.27719532408185e-06,0.111172064328481,1.06009278775144e-05,0.014552376150847,0.103747057046481,0.000453532492991404,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,2.98265892357557,21.5662301831447
5.36280836016938,1.75380163362461,0.0550909665710889,0.155018258487442,3.95505492336209e-06,0.134167047393146,1.27936384157744e-05,0.0175624096980394,0.125206241367676,0.00054734177915162,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.17066543928712,37.7790352053183
4.25916160608343,1.39287553851438,0.0437534429543175,0.123116056075287,3.14111878482323e-06,0.106555949547378,1.01607534491237e-05,0.0139481286804428,0.0994392453095938,0.000434700801259725,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,2.94024998845306,41.3915065126225
3.78601935480395,1.23814361495846,0.0388929552773376,0.109439324988842,2.79217780750394e-06,0.0947188495453352,9.03201446097458e-06,0.0123986573019502,0.0883927265947102,0.000386410706925842,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,2.8224928186023,17.1634701719638
5.825900563905,1.90524688560537,0.0598482122904801,0.168404481175426,4.29658402105622e-06,0.145752714728839,1.38984017803878e-05,0.0190789686469622,0.136018120208445,0.000594606140225283,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.25349124437175,5.05011736625955
6.10135970334217,1.99533041205204,0.0626779442561316,0.176366950316995,4.49973430211188e-06,0.152644167291312,1.4555543410593e-05,0.01998105686958,0.142449303495817,0.000622720196394606,-1.49117765362434,-2.6088796454473,-6.06943496162926,-5.03487781159433,-15.6111815090581,-5.17933507236989,-14.4372279486383,-7.21265991293716,-5.24845840966627,-10.6811025651767,3.29968930215184,16.1430860934179
