"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
15,22,0.940149584540339,0.187420689172571,0.610513342222517,0.655312826211337,0.807771396343856,0.927581873964101,1.05815949396115,1.26913427461612,1.3442167099536,2020-04-05
22,29,0.821045491046634,0.20152915901027,0.476306968084234,0.520950372619656,0.678486820832934,0.804286852057914,0.945213618833909,1.17968215466816,1.26034217454263,2020-04-12
29,36,0.866022601434372,0.230739226320841,0.476482495136631,0.524741694776044,0.70065303360685,0.846090215306794,1.00840353504941,1.27597052237377,1.37165359540968,2020-04-19
36,43,1.01507888937335,0.310458051734195,0.502778127755741,0.564390101859233,0.793124595606168,0.982789158222196,1.20256174319593,1.57604548345129,1.70579928769916,2020-04-26
43,50,1.92570520566579,0.376220954977164,1.26711595841085,1.35235049705983,1.65980501478098,1.90173366391935,2.16366894977374,2.5874128415912,2.73244682704194,2020-05-03
50,57,1.2051661875137,0.194145509963646,0.858959362257997,0.907867885319632,1.06860635622209,1.19334994947948,1.32962763277792,1.5414033806357,1.61485642231135,2020-05-10
57,64,1.02565549906492,0.160554480109843,0.737262609509811,0.778173119540917,0.913330386891078,1.01730202959743,1.1284032719848,1.30200963755543,1.36372350048398,2020-05-17
64,71,1.29205358860766,0.172487608645249,0.978404822987838,1.02079537874558,1.17181029336706,1.28469542726916,1.40447164233968,1.58572932876831,1.65108348381878,2020-05-24
71,78,1.08507656544818,0.134527353753031,0.838301652784004,0.874224675836776,0.991728417972472,1.07861438208416,1.17207949371736,1.31615455739924,1.36253818716229,2020-05-31
78,85,1.18481851644643,0.133163221783198,0.936617889656617,0.97498369291042,1.09245205254365,1.18016731010552,1.27131567044961,1.41115264560785,1.46026527157179,2020-06-07
85,92,1.01056678046214,0.110214538749771,0.804821080971017,0.835831121815718,0.934548497747893,1.00705867291524,1.08199611630737,1.19786693315305,1.23816815885395,2020-06-14
92,99,0.983671472028649,0.110908779444362,0.777812862706072,0.809137907810525,0.907072664522619,0.979121373593718,1.05580396102572,1.1725870070719,1.2124957057931,2020-06-21
99,106,1.12172385861645,0.116531135811131,0.905259593832752,0.936863217361968,1.04095314071492,1.11819049647253,1.19858410298955,1.31794003962368,1.35962723317466,2020-06-28
106,113,1.17139592588367,0.110009117010113,0.967432827947314,0.997224542719895,1.09560198172348,1.16686001345607,1.2439649777882,1.3595549312646,1.39688546798208,2020-07-05
113,120,1.08150928502651,0.0953147033440483,0.905062976216525,0.929728038921112,1.01562441194142,1.07851711435289,1.14411680554164,1.24249884707284,1.27578011484277,2020-07-12
120,127,0.973234488708866,0.0865954622580315,0.809928012108523,0.834798400322116,0.91354951199365,0.971039726325997,1.03037889681069,1.1193768149503,1.14912728472965,2020-07-19
127,134,1.03025372595885,0.0908286686977296,0.859354910622013,0.885461042410329,0.968156223671951,1.02754026716598,1.08943645683625,1.18395574108019,1.21483013491557,2020-07-26
134,141,1.01433163258248,0.0876065739904634,0.850384271708275,0.874588472529575,0.954102649005978,1.01125080702695,1.07160171442242,1.16328801868751,1.19277129527559,2020-08-02
141,148,0.88453775380352,0.0843534413755007,0.726179643171269,0.750185023073891,0.826308159685303,0.8818711636988,0.939974229229362,1.02721451300243,1.05693476874052,2020-08-09
148,155,0.895703440762225,0.0955183928105807,0.717355693457358,0.743660695694693,0.829860671764781,0.892438387537974,0.958098190002971,1.05820534096301,1.09198837302795,2020-08-16
155,162,1.04069347012057,0.108030523913723,0.841971129769104,0.870500792795277,0.965116512063513,1.03654595811312,1.11206730269098,1.22586366675009,1.26361660009587,2020-08-23
162,169,0.975907768630283,0.101995846246057,0.784924149845543,0.813938228389106,0.905322658720627,0.972455043862473,1.04264876562211,1.15048057417333,1.18736668194471,2020-08-30
169,176,0.90334582516735,0.103518098144192,0.711743244896205,0.739773388745478,0.831677406316609,0.899061980724002,0.971308557083773,1.07949163141834,1.1173753438422,2020-09-06
176,183,0.91162307780313,0.112761403824503,0.703669689032229,0.734533254519852,0.833697747369788,0.906973122571999,0.985163609006631,1.10458781575759,1.1450403463703,2020-09-13
183,190,0.829947054465366,0.117533691138259,0.614932341361072,0.644835030816438,0.747974401787202,0.824959956486206,0.906197374790664,1.0328422263744,1.07519783162359,2020-09-20
190,197,0.762057851624273,0.134038266091268,0.521610646596213,0.555737031206734,0.667748845775678,0.754284629063612,0.847834718478314,0.995824274631886,1.04728488303599,2020-09-27
197,204,0.874708073396384,0.177434560329848,0.564556577313054,0.605668392686909,0.749606439424857,0.861771170623091,0.985969293941301,1.18648945029563,1.25811155830988,2020-10-04
204,211,1.16567863494471,0.216759638604912,0.78122989711085,0.834213401902396,1.01185237047447,1.15203311709342,1.30441183907678,1.54216537294179,1.62767529893494,2020-10-11
211,218,0.908649294241478,0.178386141708532,0.59178740404079,0.636250924397749,0.782949254805582,0.897437366521108,1.02204546736591,1.22072413028847,1.29096505569442,2020-10-18
218,225,1.00249940023475,0.204866746560773,0.642177747516143,0.690860212224218,0.857652505658849,0.988806967360969,1.13262455890958,1.35953700241428,1.44010114278901,2020-10-25
225,232,1.04081528663143,0.208609575739292,0.672362577648922,0.723115379740855,0.893392491903339,1.02624013787014,1.17380089416791,1.40623775857533,1.48706757412776,2020-11-01
232,239,1.3955119312826,0.22590539528944,0.989250597311063,1.04657356286952,1.23635890349432,1.38395072108207,1.54047426999223,1.78870227842626,1.87324695718051,2020-11-08
239,246,1.26983779501012,0.173108341949957,0.952281089520932,0.998599477709099,1.14912739256326,1.26232764177659,1.38114645097729,1.56786490588218,1.63204706979802,2020-11-15
246,253,1.19803059803943,0.141409521491306,0.937212672926332,0.975940610785196,1.09967239945527,1.19288016201301,1.29007914038149,1.43794903170002,1.49003664262712,2020-11-22
253,260,1.05579235797745,0.117355617440197,0.839391843827585,0.871493464759095,0.97398430899744,1.05168455596473,1.13242968843968,1.25546664215723,1.29734439116065,2020-11-29
260,267,1.05371355639527,0.114482987270711,0.842468175764527,0.873237748021895,0.974759719391057,1.04904895632208,1.12878434814841,1.24965276695476,1.29157811044257,2020-12-06
267,274,1.108672822106,0.112203816238011,0.899700274472332,0.929047792399898,1.03168385570082,1.10454021026735,1.18223820754193,1.29939676087467,1.33725667087646,2020-12-13
274,281,1.12411979167525,0.105608625522134,0.927217504676651,0.956766352188698,1.05113643210651,1.12050316963566,1.19410490366655,1.3030598211806,1.33881024227659,2020-12-20
281,288,1.15702420932132,0.0980509799455473,0.97352143686561,1.00233276959711,1.08965379644848,1.15404684677389,1.22046705052884,1.32233421760154,1.35843662293159,2020-12-27
288,295,1.1333788561191,0.0883623556335902,0.967174865242652,0.992940983100728,1.07247492633057,1.13079793353382,1.19124168795079,1.28224534796382,1.31309519805004,2021-01-03
295,302,1.03482087570285,0.0771333912050006,0.889826527341771,0.911533620406251,0.981653367793806,1.03267846877832,1.08610138001691,1.16494738118542,1.19166654691351,2021-01-10
302,309,0.907394647143259,0.0715974273372033,0.772449376080267,0.793108547040482,0.858155273211196,0.905128694119599,0.954532876159493,1.02876433917344,1.05290137991948,2021-01-17
309,316,0.973693746029508,0.0807381899046882,0.821565897951939,0.844705226562494,0.917733204209286,0.971281905082938,1.02688177515483,1.11016973245195,1.13784717580712,2021-01-24
316,323,0.928017707283464,0.0790270877888627,0.779132113529869,0.803068539116072,0.873931508932238,0.925448007430393,0.979723593998644,1.06295273514913,1.09109903086688,2021-01-31
323,330,0.845600767678931,0.0837078464492381,0.69056271171817,0.7128427330374,0.787898803377214,0.842560998374067,0.900484434490247,0.988426587701981,1.01804641726031,2021-02-07
330,337,1.01734039659625,0.101006625508318,0.82886731366411,0.855942124443786,0.948415877447936,1.01463781872995,1.08352498725389,1.18797723492133,1.22402312923863,2021-02-14
337,344,1.08951054238012,0.10095473607405,0.89997695014455,0.928935478596314,1.01993022154124,1.08612443392922,1.15577797733006,1.26085269834489,1.29747627685737,2021-02-21
344,351,1.05582778631361,0.0945883720765496,0.879701975499354,0.905313458246142,0.990640212562892,1.05204025535342,1.11797563435347,1.21690637419978,1.24936071475233,2021-02-28
351,358,1.20576315193774,0.0964091867910025,1.02567141698846,1.05273880897581,1.13969720756353,1.20268098447538,1.26927770016263,1.36895218542028,1.40271327758486,2021-03-07
358,365,1.09460428448515,0.081677748088092,0.940665639499158,0.964995394248,1.03839052028668,1.09225832041866,1.14829121113164,1.23270550402296,1.26122379892154,2021-03-14
365,372,1.08723232137153,0.0748627596905585,0.946071993073117,0.967172261102817,1.0353325321134,1.08582610454015,1.13676219697836,1.2136696741766,1.23816774911545,2021-03-21
372,379,0.993649814438921,0.0676927826037627,0.864689646641852,0.884697684709274,0.947668718523757,0.992180528177535,1.03811764573657,1.10781577190028,1.13136855772982,2021-03-28
379,386,0.925328957161345,0.0672217824479092,0.798208520431124,0.817194168225942,0.879072824022911,0.923872108367944,0.970091449241037,1.03839199246748,1.06114592469335,2021-04-04
386,393,0.960265300407011,0.0722420530195208,0.823366676611685,0.843855910128071,0.910935933949256,0.958455803837588,1.00800230101538,1.08242938618292,1.10714934542478,2021-04-11
