"dt_evoluca","n.casos"
2020-03-15,2
2020-03-22,49
2020-03-29,187
2020-04-05,373
2020-04-12,426
2020-04-19,451
2020-04-26,549
2020-05-03,649
2020-05-10,749
2020-05-17,790
2020-05-24,848
2020-05-31,786
2020-06-07,780
2020-06-14,801
2020-06-21,691
2020-06-28,558
2020-07-05,519
2020-07-12,480
2020-07-19,532
2020-07-26,446
2020-08-02,460
2020-08-09,441
2020-08-16,419
2020-08-23,317
2020-08-30,303
2020-09-06,274
2020-09-13,305
2020-09-20,232
2020-09-27,200
2020-10-04,218
2020-10-11,176
2020-10-18,139
2020-10-25,130
2020-11-01,138
2020-11-08,120
2020-11-15,150
2020-11-22,175
2020-11-29,230
2020-12-06,272
2020-12-13,332
2020-12-20,327
2020-12-27,335
2021-01-03,346
2021-01-10,415
2021-01-17,451
2021-01-24,439
2021-01-31,463
2021-02-07,411
2021-02-14,348
2021-02-21,344
2021-02-28,456
2021-03-07,617
2021-03-14,862
2021-03-21,1323
2021-03-28,1675
2021-04-04,1467
2021-04-11,1290
2021-04-18,1081
2021-04-25,949
2021-05-02,797
2021-05-09,751
2021-05-16,687
2021-05-23,683
2021-05-30,622
2021-06-06,664
2021-06-13,629
2021-06-20,560
2021-06-27,532
2021-07-04,432
2021-07-11,362
2021-07-18,329
2021-07-25,256
2021-08-01,237
2021-08-08,194
2021-08-15,155
2021-08-22,152
2021-08-29,136
2021-09-05,110
2021-09-12,103
2021-09-19,80
