"dt_evoluca","n.casos"
2020-01-05,1
2020-01-12,1
2020-01-19,1
2020-01-26,1
2020-02-02,3
2020-02-09,2
2020-02-16,3
2020-02-23,5
2020-03-01,1
2020-03-08,6
2020-03-15,15
2020-03-22,125
2020-03-29,394
2020-04-05,696
2020-04-12,733
2020-04-19,770
2020-04-26,870
2020-05-03,1023
2020-05-10,1113
2020-05-17,1167
2020-05-24,1178
2020-05-31,1137
2020-06-07,1149
2020-06-14,1159
2020-06-21,976
2020-06-28,820
2020-07-05,803
2020-07-12,755
2020-07-19,758
2020-07-26,704
2020-08-02,664
2020-08-09,661
2020-08-16,627
2020-08-23,529
2020-08-30,514
2020-09-06,452
2020-09-13,479
2020-09-20,378
2020-09-27,328
2020-10-04,361
2020-10-11,299
2020-10-18,249
2020-10-25,236
2020-11-01,222
2020-11-08,204
2020-11-15,249
2020-11-22,296
2020-11-29,347
2020-12-06,409
2020-12-13,444
2020-12-20,464
2020-12-27,445
2021-01-03,462
2021-01-10,534
2021-01-17,558
2021-01-24,538
2021-01-31,571
2021-02-07,508
2021-02-14,463
2021-02-21,453
2021-02-28,536
2021-03-07,740
2021-03-14,1007
2021-03-21,1469
2021-03-28,1821
2021-04-04,1597
2021-04-11,1412
2021-04-18,1208
2021-04-25,1039
2021-05-02,904
2021-05-09,832
2021-05-16,790
2021-05-23,776
2021-05-30,733
2021-06-06,773
2021-06-13,713
2021-06-20,655
2021-06-27,616
2021-07-04,522
2021-07-11,462
2021-07-18,435
2021-07-25,330
2021-08-01,304
2021-08-08,263
2021-08-15,232
2021-08-22,221
2021-08-29,210
2021-09-05,192
2021-09-12,176
2021-09-19,182
2021-09-26,179
2021-10-03,151
2021-10-10,135
2021-10-17,85
2021-10-24,29
