"dt_sin_pri","n.casos"
2020-02-23,1
2020-03-01,15
2020-03-08,113
2020-03-15,593
2020-03-22,1422
2020-03-29,1865
2020-04-05,1793
2020-04-12,1999
2020-04-19,2495
2020-04-26,2942
2020-05-03,3112
2020-05-10,3367
2020-05-17,3283
2020-05-24,2824
2020-05-31,2570
2020-06-07,2568
2020-06-14,2158
2020-06-21,1920
2020-06-28,1771
2020-07-05,2004
2020-07-12,1886
2020-07-19,1572
2020-07-26,1542
2020-08-02,1428
2020-08-09,1201
2020-08-16,1120
2020-08-23,1018
2020-08-30,1008
2020-09-06,1005
2020-09-13,801
2020-09-20,732
2020-09-27,661
2020-10-04,703
2020-10-11,629
2020-10-18,658
2020-10-25,788
2020-11-01,852
2020-11-08,1135
2020-11-15,1398
2020-11-22,1481
2020-11-29,1450
2020-12-06,1708
2020-12-13,1553
2020-12-20,1548
2020-12-27,1712
2021-01-03,2074
2021-01-10,2153
2021-01-17,1603
2021-01-24,1435
2021-01-31,1259
2021-02-07,1531
2021-02-14,1833
2021-02-21,2710
2021-02-28,3408
2021-03-07,5194
2021-03-14,5559
2021-03-21,5175
2021-03-28,3708
2021-04-04,3197
2021-04-11,2903
2021-04-18,2428
2021-04-25,2562
2021-05-02,2625
2021-05-09,2631
2021-05-16,2944
2021-05-23,2864
2021-05-30,2922
2021-06-06,2835
2021-06-13,2169
2021-06-20,1795
2021-06-27,1379
2021-07-04,1442
2021-07-11,1056
2021-07-18,802
2021-07-25,730
2021-08-01,768
2021-08-08,695
2021-08-15,598
2021-08-22,573
2021-08-29,550
2021-09-05,627
2021-09-12,507
2021-09-19,495
2021-09-26,434
2021-10-03,322
2021-10-10,217
2021-10-17,109
2021-10-24,12
