"dt_sin_pri","n.casos"
2019-12-29,3
2020-01-05,51
2020-01-12,29
2020-01-19,25
2020-01-26,27
2020-02-02,35
2020-02-09,38
2020-02-16,57
2020-02-23,65
2020-03-01,126
2020-03-08,338
2020-03-15,1291
2020-03-22,3064
2020-03-29,3372
2020-04-05,3185
2020-04-12,3329
2020-04-19,3859
2020-04-26,4616
2020-05-03,4694
2020-05-10,4899
2020-05-17,4768
2020-05-24,4248
2020-05-31,3969
2020-06-07,4193
2020-06-14,3573
2020-06-21,3369
2020-06-28,3022
2020-07-05,3399
2020-07-12,3258
2020-07-19,2944
2020-07-26,2917
2020-08-02,2700
2020-08-09,2497
2020-08-16,2435
2020-08-23,2138
2020-08-30,2146
2020-09-06,2156
2020-09-13,1779
2020-09-20,1614
2020-09-27,1451
2020-10-04,1632
2020-10-11,1479
2020-10-18,1519
2020-10-25,1687
2020-11-01,1604
2020-11-08,1956
2020-11-15,2284
2020-11-22,2376
2020-11-29,2251
2020-12-06,2657
2020-12-13,2426
2020-12-20,2355
2020-12-27,2449
2021-01-03,2932
2021-01-10,3083
2021-01-17,2482
2021-01-24,2294
2021-01-31,2117
2021-02-07,2519
2021-02-14,2793
2021-02-21,3685
2021-02-28,4424
2021-03-07,6369
2021-03-14,6568
2021-03-21,6118
2021-03-28,4477
2021-04-04,3967
2021-04-11,3707
2021-04-18,3190
2021-04-25,3290
2021-05-02,3350
2021-05-09,3411
2021-05-16,3863
2021-05-23,3740
2021-05-30,3750
2021-06-06,3693
2021-06-13,2949
2021-06-20,2637
2021-06-27,2131
2021-07-04,2305
2021-07-11,1868
2021-07-18,1609
2021-07-25,1526
2021-08-01,1542
2021-08-08,1498
2021-08-15,1531
2021-08-22,1397
2021-08-29,1267
2021-09-05,1392
2021-09-12,1106
2021-09-19,839
2021-09-26,171
