"dt_notific","n.notific"
2020-03-15,6
2020-03-22,164
2020-03-29,411
2020-04-05,533
2020-04-12,520
2020-04-19,539
2020-04-26,644
2020-05-03,775
2020-05-10,778
2020-05-17,861
2020-05-24,887
2020-05-31,829
2020-06-07,703
2020-06-14,701
2020-06-21,547
2020-06-28,503
2020-07-05,479
2020-07-12,525
2020-07-19,486
2020-07-26,420
2020-08-02,408
2020-08-09,412
2020-08-16,357
2020-08-23,282
2020-08-30,276
2020-09-06,263
2020-09-13,233
2020-09-20,169
2020-09-27,161
2020-10-04,204
2020-10-11,166
2020-10-18,104
2020-10-25,133
2020-11-01,193
2020-11-08,175
2020-11-15,182
2020-11-22,311
2020-11-29,307
2020-12-06,380
2020-12-13,360
2020-12-20,349
2020-12-27,321
2021-01-03,353
2021-01-10,512
2021-01-17,544
2021-01-24,451
2021-01-31,360
2021-02-07,345
2021-02-14,337
2021-02-21,450
2021-02-28,629
2021-03-07,946
2021-03-14,1327
2021-03-21,1669
2021-03-28,1607
2021-04-04,1260
2021-04-11,1100
2021-04-18,894
2021-04-25,771
2021-05-02,781
2021-05-09,649
2021-05-16,663
2021-05-23,684
2021-05-30,691
2021-06-06,586
2021-06-13,591
2021-06-20,460
2021-06-27,412
2021-07-04,362
2021-07-11,272
2021-07-18,272
2021-07-25,207
2021-08-01,164
2021-08-08,159
2021-08-15,170
2021-08-22,127
2021-08-29,117
2021-09-05,128
2021-09-12,108
2021-09-19,88
2021-09-26,47
2021-10-03,34
