"dt_notific","n.notific"
2020-01-05,2
2020-01-12,4
2020-01-19,1
2020-02-02,2
2020-02-09,1
2020-02-16,6
2020-02-23,6
2020-03-01,2
2020-03-08,3
2020-03-15,19
2020-03-22,314
2020-03-29,732
2020-04-05,867
2020-04-12,806
2020-04-19,865
2020-04-26,954
2020-05-03,1125
2020-05-10,1101
2020-05-17,1229
2020-05-24,1207
2020-05-31,1254
2020-06-07,1080
2020-06-14,1012
2020-06-21,834
2020-06-28,748
2020-07-05,736
2020-07-12,785
2020-07-19,720
2020-07-26,666
2020-08-02,634
2020-08-09,620
2020-08-16,566
2020-08-23,467
2020-08-30,484
2020-09-06,477
2020-09-13,375
2020-09-20,301
2020-09-27,270
2020-10-04,371
2020-10-11,298
2020-10-18,194
2020-10-25,240
2020-11-01,295
2020-11-08,263
2020-11-15,283
2020-11-22,437
2020-11-29,420
2020-12-06,526
2020-12-13,478
2020-12-20,458
2020-12-27,420
2021-01-03,468
2021-01-10,606
2021-01-17,636
2021-01-24,557
2021-01-31,461
2021-02-07,443
2021-02-14,447
2021-02-21,522
2021-02-28,726
2021-03-07,1066
2021-03-14,1440
2021-03-21,1799
2021-03-28,1720
2021-04-04,1380
2021-04-11,1229
2021-04-18,1003
2021-04-25,877
2021-05-02,883
2021-05-09,737
2021-05-16,737
2021-05-23,783
2021-05-30,800
2021-06-06,677
2021-06-13,681
2021-06-20,541
2021-06-27,496
2021-07-04,439
2021-07-11,354
2021-07-18,361
2021-07-25,263
2021-08-01,231
2021-08-08,226
2021-08-15,252
2021-08-22,200
2021-08-29,201
2021-09-05,187
2021-09-12,163
2021-09-19,157
2021-09-26,138
2021-10-03,132
2021-10-10,82
2021-10-17,65
2021-10-24,31
2021-10-31,23
