"dt_notific","n.notific"
2020-01-05,11
2020-01-12,19
2020-01-19,21
2020-01-26,13
2020-02-02,20
2020-02-09,22
2020-02-16,29
2020-02-23,44
2020-03-01,57
2020-03-08,57
2020-03-15,137
2020-03-22,1232
2020-03-29,3019
2020-04-05,3404
2020-04-12,2945
2020-04-19,3216
2020-04-26,3723
2020-05-03,4333
2020-05-10,4272
2020-05-17,4400
2020-05-24,4586
2020-05-31,4181
2020-06-07,4047
2020-06-14,3734
2020-06-21,3593
2020-06-28,3296
2020-07-05,3185
2020-07-12,3317
2020-07-19,3294
2020-07-26,3476
2020-08-02,3485
2020-08-09,2735
2020-08-16,2772
2020-08-23,2397
2020-08-30,2277
2020-09-06,2339
2020-09-13,2074
2020-09-20,2091
2020-09-27,1659
2020-10-04,1737
2020-10-11,1564
2020-10-18,1402
2020-10-25,1572
2020-11-01,1586
2020-11-08,1443
2020-11-15,1922
2020-11-22,2250
2020-11-29,2380
2020-12-06,2536
2020-12-13,2518
2020-12-20,2605
2020-12-27,2012
2021-01-03,2382
2021-01-10,2996
2021-01-17,3065
2021-01-24,2694
2021-01-31,2367
2021-02-07,2278
2021-02-14,2297
2021-02-21,2637
2021-02-28,3148
2021-03-07,4170
2021-03-14,5185
2021-03-21,6028
2021-03-28,5880
2021-04-04,4847
2021-04-11,4479
2021-04-18,4022
2021-04-25,3541
2021-05-02,3456
2021-05-09,3252
2021-05-16,3492
2021-05-23,3756
2021-05-30,3827
2021-06-06,3578
2021-06-13,3827
2021-06-20,3135
2021-06-27,2850
2021-07-04,2415
2021-07-11,2159
2021-07-18,2490
2021-07-25,1893
2021-08-01,1593
2021-08-08,1533
2021-08-15,1703
2021-08-22,1484
2021-08-29,1589
2021-09-05,1472
2021-09-12,1350
2021-09-19,1286
2021-09-26,1194
2021-10-03,1001
