"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
48.4720385490739,233.181007734429,146.423487994361,45.1513336117276,17.1438714590316,11.7074058497376,7.71723041365804,4.82784386839609,6.92086059879754,3.37733858176931,-2.38226337076512,-0.81143546849527,-1.27674745191439,-2.45323066090781,-3.42160971727303,-3.80302885752559,-4.21979493273158,-4.68885051375515,-4.32871035180779,-5.04616248020502,6.26325047769289,43.8374598106946
49.8629414612847,239.87212600464,150.625103234068,46.4469490488043,17.6358140604304,12.0433493210308,7.93867598471014,4.96637862569648,7.11945437471491,3.47425115672011,-2.38226337076512,-0.81143546849527,-1.27674745191439,-2.45323066090781,-3.42160971727303,-3.80302885752559,-4.21979493273158,-4.68885051375515,-4.32871035180779,-5.04616248020502,6.29154144153047,107.686291042507
46.6368881415543,224.352779457287,140.879897674939,43.4419050265501,16.494804829357,11.2641636990203,7.42505622494078,4.64506179634525,6.65883695530231,3.24947261078501,-2.38226337076512,-0.81143546849527,-1.27674745191439,-2.45323066090781,-3.42160971727303,-3.80302885752559,-4.21979493273158,-4.68885051375515,-4.32871035180779,-5.04616248020502,6.22465518977427,182.080383409134
41.7470907332829,217.403111594548,129.910927634913,40.4858890206538,15.3276225054903,10.2902257854928,7.5065246715828,4.13267870286422,6.13897628207581,3.06276384612002,-2.43380029583791,-0.783676774324573,-1.29858101809285,-2.46447656751437,-3.43577346851977,-3.83423556984167,-4.14965746311094,-4.74650426861126,-4.3507720627171,-5.04611233567674,6.16543006167166,76.6854139954511
47.1179678448229,253.102907927529,151.374488543758,46.8792834375523,18.2143850595858,11.6055826298521,8.46350077299599,4.46681671948087,7.23145933043038,3.53482422108633,-2.46087772280822,-0.779735977260857,-1.29377531085842,-2.46595627387264,-3.41132046420937,-3.862045890452,-4.17776924300952,-4.81685612235131,-4.33509127442017,-5.05086856117106,6.31353213398943,66.6905726437163
48.4197466464787,249.231693069311,140.770365842653,46.2364170242427,18.2845203804988,12.6150581997782,8.25052837416557,4.59673258847037,6.9483618772616,3.22874615204299,-2.40903235669106,-0.770557117695003,-1.34181012406802,-2.45517234091061,-3.38288525473132,-3.75404888015247,-4.17866283212338,-4.76359433151921,-4.35043414509116,-5.11684620212452,6.28894007577255,43.2213247256311
40.2111912729036,206.979672042719,116.905694442893,38.3979995250713,15.1847623599041,10.4764389184796,6.85182384324223,3.81745271603593,5.77041244184696,2.68137976927838,-2.40903235669106,-0.770557117695003,-1.34181012406802,-2.45517234091061,-3.38288525473132,-3.75404888015247,-4.17866283212338,-4.76359433151921,-4.35043414509116,-5.11684620212452,6.10317770344599,41.9340466782489
45.8545860785839,236.028003343323,133.312693785338,43.7869239565223,17.315850903036,11.9467430577757,7.81343542107294,4.35320886119456,6.58025454226978,3.0576950233902,-2.40903235669106,-0.770557117695003,-1.34181012406802,-2.45517234091061,-3.38288525473132,-3.75404888015247,-4.17866283212338,-4.76359433151921,-4.35043414509116,-5.11684620212452,6.2345075739157,171.712847500094
44.9622690338907,237.14330079958,135.820412803392,42.7615351461966,16.0430048045924,11.3843264900567,7.27913929507878,4.4101669943197,6.32061782317918,3.07320984041638,-2.4270132334726,-0.764172302485099,-1.32150338659748,-2.47719791865327,-3.45756398876917,-3.80059936551302,-4.24782427909916,-4.74892434968574,-4.3890199454072,-5.11011433960425,6.23283690562023,169.742967344736
49.7673596894244,225.683417618477,143.530862765286,48.0143304361556,17.6168662863309,12.8249029214245,7.75960931574944,4.84169511767803,6.59838716497783,3.09025847751108,-2.34594565971504,-0.834171790708598,-1.28675491732546,-2.38180548383193,-3.38444824605574,-3.70191617938705,-4.20437301391651,-4.67604011059844,-4.36647975070899,-5.12505026384448,6.25330500093566,178.875125973854
