"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
68.8896544061359,41.625937639883,10.7627082497107,9.40277193321598,4.63089281880164,2.49817772829498,1.9471146318944,2.13001815719746,0.596434493599464,0.80602359970616,-5.90685529152863,-6.41063783058696,-7.76327408538368,-7.89835677219912,-8.60661162157429,-9.22379974710789,-9.47301270369442,-9.38323080032609,-10.6561471659304,-10.3550035613886,10.1393613045169,15.9458621813061
71.2925246725101,41.2687266298942,10.7707997600063,10.4038319359424,4.90655693145296,2.62546754749009,2.1425232642075,2.16270991925807,0.612225469985602,0.928862346744076,-5.90987625587372,-6.45656274582476,-7.79982898795842,-7.83449354083133,-8.58609527462586,-9.21140874098188,-9.41468350462397,-9.40530570689278,-10.6673223838035,-10.2504624592219,10.1766677344947,47.5646500304759
58.190587895586,33.684477795212,8.7913729106872,8.49184538632004,4.00484389767309,2.1429666124328,1.74877645162534,1.76525326080603,0.499712419875217,0.758158674831628,-5.90987625587372,-6.45656274582476,-7.79982898795842,-7.83449354083133,-8.58609527462586,-9.21140874098188,-9.41468350462397,-9.40530570689278,-10.6673223838035,-10.2504624592219,9.97359987752591,70.3736745335646
56.1513921262872,32.8935737870399,7.86914227201435,7.75477393710048,3.61196074054751,1.76393600140133,1.74836782700939,1.74349299640953,0.427109133942357,0.717547752967183,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,9.95373750726459,39.4782733129363
51.6144853478631,30.2358466634562,7.23333319298045,7.12820556349275,3.32012239876007,1.62141392138833,1.60710362063499,1.60262266543438,0.392599672083391,0.659571500892112,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,9.86948839028704,22.6923343175339
68.8084828683571,40.3081174428263,9.64292639432315,9.50277828195037,4.42613316118998,2.16154498645957,2.14246758836889,2.13649392173099,0.523383845224974,0.87929026151707,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.1570130682433,38.6063814293969
67.4243335177063,39.4972805770988,9.44894957997293,9.31162068277027,4.33709720100647,2.11806341318997,2.09936977545962,2.0935162749183,0.51285547169732,0.861602485333414,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.1366920175814,56.9292783403941
66.2221776250033,38.7930557651615,9.28047760813749,9.14559724448937,4.25976804274276,2.08029896999208,2.06193863428462,2.0561894999239,0.503711410566274,0.846240368262741,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.1187014496803,62.1303599958651
63.1382249452755,36.9864714368831,8.84828774644435,8.71968873254692,4.06139155405606,1.98341989090967,1.96591459211788,1.96043319371744,0.480253677671685,0.806831134906266,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.0710124031355,61.1871534423047
72.2362118525712,42.3160864707471,10.1232935949444,9.97616393426767,4.64662319805983,2.26922343091743,2.24919568270053,2.24292443487172,0.549456473211545,0.923092545614882,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.2056275027689,16.9467444556602
55.3885196928809,32.4466819161863,7.76223215836355,7.64941763087381,3.56288866637147,1.73997117882426,1.72461451354424,1.71980591235993,0.421306432139206,0.707799154051592,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,9.94005837991802,84.4712712916891
55.8665418355693,32.7267080389046,7.82922291509365,7.71543475908925,3.59363763175098,1.75498773380225,1.73949853517268,1.73464843409174,0.424942452826097,0.713907706330816,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,9.94865169832981,66.9746986746201
60.2118092266851,35.2721725081137,8.43817535626789,8.31553682314089,3.87314869335731,1.89148966717668,1.87479572761439,1.86956838846969,0.457994231631392,0.769435035831825,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.0235545330321,33.8161726257409
63.8454499328444,37.4007649464779,8.9473993416295,8.81735986221243,4.106884084038,2.00563660841968,1.98793522896945,1.98239243223354,0.485633103550631,0.815868625900807,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.0821513515194,81.6907335421364
64.1533310496744,37.581122188758,8.99054627386855,8.85987970669195,4.12668865992892,2.015308364819,1.99752162422744,1.99195209853197,0.4879749660083,0.819802978998688,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.0869620490625,40.7628439279976
66.1251522124916,38.7362181259718,9.26688031791647,9.13219757421067,4.2535268443048,2.07725102030287,2.05891758523821,2.05317687422074,0.502973397877023,0.845000499328202,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.1172352254653,56.0915846784717
70.0026979718308,41.0076905279487,9.81028553176871,9.66770505952484,4.50295152501282,2.19905997824636,2.17965147974501,2.17357413631285,0.532467505652098,0.894550904781796,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.1742198171606,38.1668012585
67.7124960875106,39.6660866635303,9.48933312476839,9.35141730225462,4.35563337347905,2.1271157324983,2.10834220066434,2.1024636830458,0.515047347285139,0.86528485894202,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.1409567766024,64.9593593866048
58.6179206610837,34.3384700805226,8.21480536643316,8.09541324224426,3.77062117434563,1.8414193605178,1.82516733226368,1.82007836790291,0.445870500783836,0.749067042885983,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,9.99672649655996,144.274227236287
60.6223017059664,35.51263964784,8.49570240232565,8.37222778411558,3.89955378614858,1.90438484991552,1.88757709984449,1.88231412344802,0.461116595666844,0.774680639635481,-5.92568603339928,-6.46046019419369,-7.89078843781236,-7.90542886166053,-8.66948674094181,-9.38618983072288,-9.39505482481707,-9.39784693711097,-10.8044532226707,-10.2856532861695,10.0303488737236,46.2343824391382
63.3116905536548,38.4449795189319,10.2947638644977,8.71856304647468,4.34234309673749,2.06305527490196,1.98270431013449,1.67383703397796,0.443433865070913,0.769204096940335,-5.89372516961746,-6.39256705086014,-7.71015976330194,-7.8763407305138,-8.57338108013904,-9.31760713942004,-9.35733344057605,-9.5266765505466,-10.8550017754308,-10.3041941056535,10.0417951666073,28.0116124874011
56.8698663729079,34.5332880678326,9.24729446007233,7.83146858156617,3.90051931163484,1.85314397353151,1.78096854132775,1.50352782590254,0.398315452190197,0.690939285050647,-5.89372516961746,-6.39256705086014,-7.71015976330194,-7.8763407305138,-8.57338108013904,-9.31760713942004,-9.35733344057605,-9.5266765505466,-10.8550017754308,-10.3041941056535,9.9344907812395,73.247850488862
61.5470585495487,37.3734358488285,10.00782681336,8.47555807777008,4.22131272250007,2.00555351918361,1.92744210737626,1.62718362172525,0.431074416394598,0.747764736290185,-5.89372516961746,-6.39256705086014,-7.71015976330194,-7.8763407305138,-8.57338108013904,-9.31760713942004,-9.35733344057605,-9.5266765505466,-10.8550017754308,-10.3041941056535,10.0135272314967,90.739243559038
