"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
77.2467935370358,54.8440171280788,17.6198088826472,11.9543855454074,5.9754224673422,4.19607189173052,1.69815223407569,4.0971582953971,0.674510883847269,3.14343670671329,-5.61167459702605,-5.95418690053146,-7.08965623049684,-7.47758180203107,-8.17102520318188,-8.52453118054776,-9.42913926552818,-8.54838636960856,-10.3524474716249,-8.81336331034757,9.95868000433125,203.463818737533
76.812713652045,51.9498244981022,17.4750284502468,10.707254242812,5.98993315015167,3.49009898286594,1.62674804799705,4.14707590871343,0.640932257484486,3.0139414557149,-5.5992575631957,-5.99034939273836,-7.07985481582031,-7.56970625362278,-8.15054748016975,-8.69069763432819,-9.45404477254115,-8.51822424640791,-10.3854592421908,-8.83737905609321,9.94062773199304,157.92082737325
83.4189262555002,56.4177253055294,18.9779535222174,11.6281226064488,6.5050922948948,3.79026200005028,1.76665514079949,4.50374167188034,0.69605509530708,3.27315294667998,-5.5992575631957,-5.99034939273836,-7.07985481582031,-7.56970625362278,-8.15054748016975,-8.69069763432819,-9.45404477254115,-8.51822424640791,-10.3854592421908,-8.83737905609321,10.0231327803341,179.220280824548
83.459871342018,56.445417206486,18.9872686019455,11.6338301180116,6.50828523418061,3.79212240047119,1.76752228031847,4.50595227444605,0.696396744826893,3.27475953090017,-5.5992575631957,-5.99034939273836,-7.07985481582031,-7.56970625362278,-8.15054748016975,-8.69069763432819,-9.45404477254115,-8.51822424640791,-10.3854592421908,-8.83737905609321,10.0236234968053,129.948696269105
88.8221903764103,60.0720503443467,20.2072056830619,12.3813068116798,6.92644429950534,4.0357672779652,1.88108605911491,4.79546091207991,0.741140421760816,3.48516370578371,-5.5992575631957,-5.99034939273836,-7.07985481582031,-7.56970625362278,-8.15054748016975,-8.69069763432819,-9.45404477254115,-8.51822424640791,-10.3854592421908,-8.83737905609321,10.0858940736024,41.942154770155
80.9638809465214,54.7573338563472,18.4194263646509,11.2859032907775,6.31364537703181,3.67871339398787,1.71466192282496,4.37119513405346,0.675569974325176,3.17682302314794,-5.5992575631957,-5.99034939273836,-7.07985481582031,-7.56970625362278,-8.15054748016975,-8.69069763432819,-9.45404477254115,-8.51822424640791,-10.3854592421908,-8.83737905609321,9.99326070417834,154.817644646811
84.5354967192536,51.1594062375701,17.4903328516149,10.6470514765324,6.20945043473768,3.21505499858248,1.6139051118219,3.86206917338546,0.716129457400029,2.96133842561778,-5.5146996525485,-6.01692480756707,-7.09022285840418,-7.58658818106079,-8.12579878301304,-8.78402671380888,-9.47321440079396,-8.60066808308908,-10.2857655001611,-8.86622984126635,9.95187117822072,164.722288032007
84.3034701662391,51.018987819932,17.442326726376,10.6178282655768,6.19240721104585,3.20623056200821,1.60947538875264,3.85146886188815,0.714163880145963,2.95321037084941,-5.5146996525485,-6.01692480756707,-7.09022285840418,-7.58658818106079,-8.12579878301304,-8.78402671380888,-9.47321440079396,-8.60066808308908,-10.2857655001611,-8.86622984126635,9.9491226811959,92.1453437546867
88.9802359574076,53.8492847989981,18.4099461706461,11.2068561657455,6.53593326225699,3.38409737320152,1.69876162364906,4.06513050337823,0.753782382176408,3.11704079454701,-5.5146996525485,-6.01692480756707,-7.09022285840418,-7.58658818106079,-8.12579878301304,-8.78402671380888,-9.47321440079396,-8.60066808308908,-10.2857655001611,-8.86622984126635,10.0031139297256,124.644432666905
87.3254473723779,52.8478356475254,18.0675716146967,10.998439347588,6.41438281188422,3.32116243440811,1.66716931201654,3.98953021437848,0.739764095214132,3.05907237638775,-5.5146996525485,-6.01692480756707,-7.09022285840418,-7.58658818106079,-8.12579878301304,-8.78402671380888,-9.47321440079396,-8.60066808308908,-10.2857655001611,-8.86622984126635,9.9843415663016,447.180356521311
