"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
143.632515455165,501.325567867347,207.661092846182,79.729019165218,44.8647671898432,19.2225260970035,10.4370459499126,6.76371044614833,6.838826897993,5.06160462653048,-1.96571327968951,-0.715715615322926,-1.59706395188625,-2.55433771693347,-3.1293185498082,-3.97688851586709,-4.58760975399237,-5.02139971937808,-5.01035513063411,-5.31128778852315,6.93297134141833,123.086349839583
144.983266518085,506.040141315565,209.613982419968,80.4788080068441,45.2866851084794,19.4032988661446,10.5351981744692,6.82731783369192,6.90314069680321,5.10920504491555,-1.96571327968951,-0.715715615322926,-1.59706395188625,-2.55433771693347,-3.1293185498082,-3.97688851586709,-4.58760975399237,-5.02139971937808,-5.01035513063411,-5.31128778852315,6.94233161212705,64.7208993388597
136.954467037205,478.016943042599,198.006100533623,76.022099122674,42.7788252524983,18.3287942036054,9.95178606308884,6.44923857533759,6.52086256378834,4.8262704428923,-1.96571327968951,-0.715715615322926,-1.59706395188625,-2.55433771693347,-3.1293185498082,-3.97688851586709,-4.58760975399237,-5.02139971937808,-5.01035513063411,-5.31128778852315,6.88536179288201,92.1281212770364
148.954197586062,519.900020231611,215.355077203276,82.6830334095617,46.5270372482936,19.9347337285203,10.8237455823391,7.01431050634893,7.09221007368977,5.24914051148879,-1.96571327968951,-0.715715615322926,-1.59706395188625,-2.55433771693347,-3.1293185498082,-3.97688851586709,-4.58760975399237,-5.02139971937808,-5.01035513063411,-5.31128778852315,6.96935213962702,60.812802017455
140.840746983802,491.581361203384,203.624808374665,78.1793355072193,43.9927359362046,18.8489000964597,10.2341823035802,6.63224499410118,6.70590141622155,4.96322280702345,-1.96571327968951,-0.715715615322926,-1.59706395188625,-2.55433771693347,-3.1293185498082,-3.97688851586709,-4.58760975399237,-5.02139971937808,-5.01035513063411,-5.31128778852315,6.91334307773823,50.5460407440735
141.897296294898,495.269072037426,205.15234678679,78.7658158038734,44.3227575800968,18.9902994630373,10.3109563799327,6.68199830789424,6.75620728063448,5.00045556636245,-1.96571327968951,-0.715715615322926,-1.59706395188625,-2.55433771693347,-3.1293185498082,-3.97688851586709,-4.58760975399237,-5.02139971937808,-5.01035513063411,-5.31128778852315,6.92081681007918,65.0814134572997
147.304206304683,509.593668669158,208.700166601639,89.6825354241411,46.8762185366493,19.8680325612746,11.1437411921469,7.14446544693105,7.28683675535891,5.25412930893148,-1.96675997270889,-0.725646171747527,-1.61836123944397,-2.46298380154377,-3.11174937240848,-3.97014781568559,-4.54838183956571,-4.9929218582118,-4.97319031554636,-5.30024554932818,6.95925985180969,33.4562777895545
149.702144891173,517.889252021376,212.097558944026,91.1424612308962,47.639308037198,20.1914606772225,11.3251481436038,7.26076891038819,7.40545785564838,5.33966033159783,-1.96675997270889,-0.725646171747527,-1.61836123944397,-2.46298380154377,-3.11174937240848,-3.97014781568559,-4.54838183956571,-4.9929218582118,-4.97319031554636,-5.30024554932818,6.97540759196217,77.609694014661
138.362112484819,513.766737446465,214.66203349717,88.0849314443534,44.8973218433993,20.5325086813631,10.9298921052087,7.28204928539053,7.26397432624048,5.29999856851968,-2.02770071786416,-0.715805625596945,-1.58851011573232,-2.47927349075881,-3.15319682401901,-3.93556555040499,-4.56607353914382,-4.97216265200573,-4.97464786293838,-5.28986841938051,6.95757496984793,47.0591155498644
127.077890256726,471.866119317465,197.155115986192,80.901101105875,41.2356882644619,18.8579650747369,10.0384968436787,6.68815648528394,6.67155564250976,4.86775334920567,-2.02770071786416,-0.715805625596945,-1.58851011573232,-2.47927349075881,-3.15319682401901,-3.93556555040499,-4.56607353914382,-4.97216265200573,-4.97464786293838,-5.28986841938051,6.87250092543366,36.8717340078844
161.676961811661,600.339527190638,250.833879079026,102.927772939822,52.4627909964702,23.9923600641655,12.7716447571101,8.50911845071678,8.48799775208209,6.19308024990176,-2.02770071786416,-0.715805625596945,-1.58851011573232,-2.47927349075881,-3.15319682401901,-3.93556555040499,-4.56607353914382,-4.97216265200573,-4.97464786293838,-5.28986841938051,7.11330099941521,33.8593120750067
164.378096493937,610.369391061561,255.024557099431,104.647385766175,53.339286093246,24.3932000796679,12.9850204429008,8.65128017063822,8.62980660879435,6.29654795281797,-2.02770071786416,-0.715805625596945,-1.58851011573232,-2.47927349075881,-3.15319682401901,-3.93556555040499,-4.56607353914382,-4.97216265200573,-4.97464786293838,-5.28986841938051,7.12986995860468,53.3928548593942
143.060663571355,531.213415724961,221.951605133604,91.0761516773547,46.4219614758929,21.2297591008718,11.3010533682481,7.52933577131955,7.51064701611342,5.47997785320641,-2.02770071786416,-0.715805625596945,-1.58851011573232,-2.47927349075881,-3.15319682401901,-3.93556555040499,-4.56607353914382,-4.97216265200573,-4.97464786293838,-5.28986841938051,6.99096947894658,14.030378483196
140.547173117766,521.880313138187,218.052047933634,89.475998063664,45.60635532607,20.8567649073601,11.1025006071501,7.3970498367332,7.3786894317991,5.38369791380122,-2.02770071786416,-0.715805625596945,-1.58851011573232,-2.47927349075881,-3.15319682401901,-3.93556555040499,-4.56607353914382,-4.97216265200573,-4.97464786293838,-5.28986841938051,6.97324390201383,14.8608071668237
153.701211987067,534.259417342209,218.40800133619,92.4629873483417,45.9640023253805,21.8889819474571,11.2646922941834,7.72400471282204,7.75195134879128,5.35922277012702,-1.96694928770618,-0.721078302362957,-1.61559494427234,-2.4751513959591,-3.17410129163999,-3.91597642082731,-4.58028656532344,-4.9576268489076,-4.95401522501366,-5.32314086463165,7.00195982362671,97.4273368996343
139.238867254091,497.001864416813,203.264589454561,82.5701311718828,41.1687037009363,18.5550196219008,10.2223174377799,7.32747040927351,6.93041915848315,5.2345002637489,-1.98301245385959,-0.710609604133724,-1.60469485487894,-2.50555537452262,-3.20152503277546,-3.99846302955362,-4.59463006733012,-4.9275730262816,-4.9832830855627,-5.26393200240107,6.91920338156499,119.986265553348
136.807885207612,488.324670804923,199.715777421012,81.1285329284268,40.4499361502698,18.2310661133549,10.0438452147956,7.19953954225096,6.80942043965484,5.1431107227794,-1.98301245385959,-0.710609604133724,-1.60469485487894,-2.50555537452262,-3.20152503277546,-3.99846302955362,-4.59463006733012,-4.9275730262816,-4.9832830855627,-5.26393200240107,6.90159009779342,138.316532717708
163.778537006674,584.59422896076,239.088249873364,97.1224166819899,48.4243386603857,21.8251845029697,12.0239142115559,8.61887493957079,8.15184677241077,6.1570365521101,-1.98301245385959,-0.710609604133724,-1.60469485487894,-2.50555537452262,-3.20152503277546,-3.99846302955362,-4.59463006733012,-4.9275730262816,-4.9832830855627,-5.26393200240107,7.08152758498787,98.5605388137995
164.357063378081,586.659232008214,239.932798006308,97.4654889815248,48.5953913358156,21.9022791273726,12.0663871239781,8.64931999382231,8.18064211043066,6.17878548258789,-1.98301245385959,-0.710609604133724,-1.60469485487894,-2.50555537452262,-3.20152503277546,-3.99846302955362,-4.59463006733012,-4.9275730262816,-4.9832830855627,-5.26393200240107,7.08505373070424,68.2886294615184
142.341924840943,508.077977261394,207.794515177773,84.4102773683658,42.0861835747628,18.9685341494705,10.4501305499236,7.49076937237432,7.08486949389522,5.35115559194229,-1.98301245385959,-0.710609604133724,-1.60469485487894,-2.50555537452262,-3.20152503277546,-3.99846302955362,-4.59463006733012,-4.9275730262816,-4.9832830855627,-5.26393200240107,6.94124453847856,56.3776611964172
146.725243624855,523.723878803828,214.193400134475,87.0096320894535,43.3821977969436,19.5526567270847,10.7719349205263,7.7214423110224,7.30304303320109,5.51594063927117,-1.98301245385959,-0.710609604133724,-1.60469485487894,-2.50555537452262,-3.20152503277546,-3.99846302955362,-4.59463006733012,-4.9275730262816,-4.9832830855627,-5.26393200240107,6.97157420072077,67.5075101272404
149.910137496151,490.76464218541,213.47017931712,84.782262493683,43.5750805892418,18.8424000450346,10.5400961899792,7.57214967630124,6.85379381819964,5.30380034150372,-1.92884433938971,-0.742915701550188,-1.57538322302131,-2.49879401839237,-3.16439492976289,-4.00277071864475,-4.58369370134927,-4.91440337037689,-5.01407802957167,-5.27045676143436,6.93888037060483,97.6638600648457
147.628925035242,483.296578745365,210.221761023172,83.4921138960297,42.9119898971406,18.5556714855516,10.3797054441006,7.45692276445951,6.74949827072218,5.22309135389756,-1.92884433938971,-0.742915701550188,-1.57538322302131,-2.49879401839237,-3.16439492976289,-4.00277071864475,-4.58369370134927,-4.91440337037689,-5.01407802957167,-5.27045676143436,6.9235462014301,41.7253995584089
156.712232227082,513.032833266365,223.156277977267,88.6292136780183,45.5522772687098,19.6973641735794,11.0183475874819,7.91573204021116,7.16478115765732,5.54445753093347,-1.92884433938971,-0.742915701550188,-1.57538322302131,-2.49879401839237,-3.16439492976289,-4.00277071864475,-4.58369370134927,-4.91440337037689,-5.01407802957167,-5.27045676143436,6.98325554714144,98.7683323722173
143.943481427739,495.083464135315,205.913744346497,83.1239461803074,42.6085035581406,18.1281556057962,10.3007024322094,7.04128230602866,6.82798903889419,4.60986282962121,-1.95576291816379,-0.720457287840594,-1.59772628627159,-2.50485082924473,-3.1731298032143,-4.02771736263482,-4.59297156039811,-4.97339335128411,-5.00415345099654,-5.39698554900724,6.92518365061025,85.1075645443818
146.062530926562,502.371785608061,208.94508284429,84.3476470019525,43.2357603620953,18.3950274270835,10.4523431880811,7.14493983600963,6.92850659347412,4.67772646208209,-1.95576291816379,-0.720457287840594,-1.59772628627159,-2.50485082924473,-3.1731298032143,-4.02771736263482,-4.59297156039811,-4.97339335128411,-5.00415345099654,-5.39698554900724,6.93979774219797,46.5686608119063
152.642668744916,525.003706090223,218.35808858136,88.1475205109617,45.183537523419,19.2237260322272,10.9232227371756,7.46682039310079,7.24063680216776,4.888458705333,-1.95576291816379,-0.720457287840594,-1.59772628627159,-2.50485082924473,-3.1731298032143,-4.02771736263482,-4.59297156039811,-4.97339335128411,-5.00415345099654,-5.39698554900724,6.98386260962678,72.9305217487123
