"dt_evoluca","n.casos"
2020-03-29,1
2020-04-05,3
2020-04-12,3
2020-04-19,4
2020-04-26,10
2020-05-03,10
2020-05-10,17
2020-05-17,24
2020-05-24,25
2020-05-31,32
2020-06-07,26
2020-06-14,37
2020-06-21,26
2020-06-28,37
2020-07-05,16
2020-07-12,19
2020-07-19,20
2020-07-26,15
2020-08-02,12
2020-08-09,12
2020-08-16,9
2020-08-23,11
2020-08-30,10
2020-09-06,20
2020-09-13,13
2020-09-20,15
2020-09-27,7
2020-10-04,7
2020-10-11,4
2020-10-18,7
2020-10-25,6
2020-11-01,8
2020-11-08,10
2020-11-15,8
2020-11-22,13
2020-11-29,8
2020-12-06,22
2020-12-13,14
2020-12-20,10
2020-12-27,12
2021-01-03,10
2021-01-10,13
2021-01-17,10
2021-01-24,6
2021-01-31,10
2021-02-07,6
2021-02-14,9
2021-02-21,8
2021-02-28,6
2021-03-07,13
2021-03-14,13
2021-03-21,38
2021-03-28,48
2021-04-04,60
2021-04-11,54
2021-04-18,57
2021-04-25,47
2021-05-02,28
2021-05-09,34
2021-05-16,26
2021-05-23,23
2021-05-30,30
2021-06-06,23
2021-06-13,24
2021-06-20,26
2021-06-27,20
2021-07-04,14
2021-07-11,19
2021-07-18,12
2021-07-25,9
2021-08-01,4
2021-08-08,5
2021-08-15,2
2021-08-22,1
2021-08-29,5
2021-09-05,4
