"dt_sin_pri","n.casos"
2020-03-01,1
2020-03-08,1
2020-03-15,4
2020-03-22,9
2020-03-29,13
2020-04-05,23
2020-04-12,38
2020-04-19,42
2020-04-26,56
2020-05-03,79
2020-05-10,97
2020-05-17,101
2020-05-24,101
2020-05-31,74
2020-06-07,73
2020-06-14,80
2020-06-21,54
2020-06-28,35
2020-07-05,32
2020-07-12,44
2020-07-19,36
2020-07-26,21
2020-08-02,19
2020-08-09,28
2020-08-16,47
2020-08-23,34
2020-08-30,26
2020-09-06,29
2020-09-13,22
2020-09-20,18
2020-09-27,16
2020-10-04,11
2020-10-11,11
2020-10-18,14
2020-10-25,23
2020-11-01,27
2020-11-08,25
2020-11-15,45
2020-11-22,28
2020-11-29,26
2020-12-06,31
2020-12-13,24
2020-12-20,24
2020-12-27,24
2021-01-03,26
2021-01-10,21
2021-01-17,11
2021-01-24,17
2021-01-31,17
2021-02-07,17
2021-02-14,20
2021-02-21,34
2021-02-28,24
2021-03-07,49
2021-03-14,66
2021-03-21,107
2021-03-28,71
2021-04-04,71
2021-04-11,62
2021-04-18,59
2021-04-25,42
2021-05-02,41
2021-05-09,37
2021-05-16,32
2021-05-23,51
2021-05-30,34
2021-06-06,44
2021-06-13,26
2021-06-20,15
2021-06-27,15
2021-07-04,14
2021-07-11,9
2021-07-18,1
2021-07-25,3
2021-08-01,5
2021-08-08,2
2021-08-15,4
2021-08-22,2
2021-08-29,4
