"dt_notific","n.notific"
2020-03-29,6
2020-04-05,16
2020-04-12,24
2020-04-19,29
2020-04-26,38
2020-05-03,67
2020-05-10,71
2020-05-17,90
2020-05-24,103
2020-05-31,85
2020-06-07,68
2020-06-14,87
2020-06-21,88
2020-06-28,47
2020-07-05,44
2020-07-12,28
2020-07-19,48
2020-07-26,38
2020-08-02,34
2020-08-09,14
2020-08-16,29
2020-08-23,38
2020-08-30,40
2020-09-06,30
2020-09-13,31
2020-09-20,21
2020-09-27,17
2020-10-04,15
2020-10-11,13
2020-10-18,13
2020-10-25,13
2020-11-01,15
2020-11-08,26
2020-11-15,29
2020-11-22,38
2020-11-29,26
2020-12-06,39
2020-12-13,27
2020-12-20,24
2020-12-27,27
2021-01-03,23
2021-01-10,24
2021-01-17,17
2021-01-24,17
2021-01-31,15
2021-02-07,17
2021-02-14,14
2021-02-21,28
2021-02-28,24
2021-03-07,34
2021-03-14,37
2021-03-21,69
2021-03-28,90
2021-04-04,76
2021-04-11,69
2021-04-18,69
2021-04-25,61
2021-05-02,44
2021-05-09,41
2021-05-16,35
2021-05-23,44
2021-05-30,44
2021-06-06,38
2021-06-13,44
2021-06-20,21
2021-06-27,15
2021-07-04,22
2021-07-11,16
2021-07-18,6
2021-07-25,2
2021-08-01,5
2021-08-08,5
2021-08-15,7
2021-08-22,1
2021-08-29,7
2021-09-05,1
2021-09-12,1
