"dt_notific","n.notific"
2020-03-22,1
2020-03-29,8
2020-04-05,5
2020-04-12,10
2020-04-19,7
2020-04-26,24
2020-05-03,21
2020-05-10,24
2020-05-17,34
2020-05-24,49
2020-05-31,30
2020-06-07,31
2020-06-14,38
2020-06-21,41
2020-06-28,36
2020-07-05,29
2020-07-12,23
2020-07-19,21
2020-07-26,22
2020-08-02,12
2020-08-09,10
2020-08-16,17
2020-08-23,25
2020-08-30,31
2020-09-06,18
2020-09-13,16
2020-09-20,8
2020-09-27,7
2020-10-04,9
2020-10-11,9
2020-10-18,7
2020-10-25,12
2020-11-01,9
2020-11-08,11
2020-11-15,17
2020-11-22,15
2020-11-29,13
2020-12-06,22
2020-12-13,19
2020-12-20,12
2020-12-27,10
2021-01-03,14
2021-01-10,15
2021-01-17,13
2021-01-24,6
2021-01-31,6
2021-02-07,13
2021-02-14,8
2021-02-21,11
2021-02-28,13
2021-03-07,18
2021-03-14,26
2021-03-21,51
2021-03-28,62
2021-04-04,49
2021-04-11,45
2021-04-18,44
2021-04-25,33
2021-05-02,45
2021-05-09,32
2021-05-16,22
2021-05-23,35
2021-05-30,38
2021-06-06,17
2021-06-13,28
2021-06-20,14
2021-06-27,15
2021-07-04,18
2021-07-11,21
2021-07-18,15
2021-07-25,8
2021-08-01,9
2021-08-08,6
2021-08-15,13
2021-08-22,4
2021-08-29,13
2021-09-05,1
2021-09-12,1
2021-09-19,4
2021-09-26,3
2021-10-03,4
