"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.193341641620779,1.70628466232262,2.02042503643471,0.511793190093153,0.65157463603189,0.108542747824741,0.0788227557701465,0.0698312392751146,0.000800948822414958,0.0226482882941347,-3.32301860161054,-1.14540381581885,-0.976414207122224,-2.34955677161985,-2.10808543916222,-3.90033330490484,-4.2202756554759,-4.34139592572952,-8.80943561553125,-5.46739311238967,1.67972211047799,15.1908453830411
0.0514200984613781,1.74861665753705,1.27124932323985,0.395620850368108,0.519920768433904,0.100277260781461,0.112859965008203,0.0529582984215007,0.000350268081621752,0.0144978420752684,-4.41881791708057,-0.892266760847435,-1.21109161875783,-2.37839072971998,-2.10517060219253,-3.75090807654683,-3.63269923126752,-4.38934225215322,-9.40790350395846,-5.68484721780633,1.45109175478028,15.6909065338339
0.0607138314577194,2.06466382225242,1.50101651808186,0.467125858353815,0.613891899288635,0.11840149848605,0.133258416433777,0.062530047605133,0.000413575973382758,0.0171182002095857,-4.41881791708057,-0.892266760847435,-1.21109161875783,-2.37839072971998,-2.10517060219253,-3.75090807654683,-3.63269923126752,-4.38934225215322,-9.40790350395846,-5.68484721780633,1.61723417606669,17.0553716366556
0.058433016437144,1.98710132709823,1.44462836173634,0.449577506542506,0.590830039556028,0.1139535512931,0.128252344661945,0.0601810034352818,0.000398039311149584,0.0164751268402097,-4.41881791708057,-0.892266760847435,-1.21109161875783,-2.37839072971998,-2.10517060219253,-3.75090807654683,-3.63269923126752,-4.38934225215322,-9.40790350395846,-5.68484721780633,1.57894371813364,30.905179517564
0.0446257020744165,1.51756313847243,1.10327275245915,0.343345476403845,0.451221020742699,0.087027121658143,0.0979472098515729,0.0459606519326488,0.000303985397234705,0.01258216923989,-4.41881791708057,-0.892266760847435,-1.21109161875783,-2.37839072971998,-2.10517060219253,-3.75090807654683,-3.63269923126752,-4.38934225215322,-9.40790350395846,-5.68484721780633,1.30937261083451,21.5489510657697
0.0538866365123126,1.83249493959737,1.33222907477321,0.414598135717122,0.54486051762121,0.105087397027052,0.118273673002733,0.0554986214095534,0.00036706986880613,0.0151932798555353,-4.41881791708057,-0.892266760847435,-1.21109161875783,-2.37839072971998,-2.10517060219253,-3.75090807654683,-3.63269923126752,-4.38934225215322,-9.40790350395846,-5.68484721780633,1.49794515414746,11.3897149079074
0.0763781554342775,2.59735237505712,1.88828262316654,0.587645525905641,0.772277581202621,0.148949388267755,0.167639429087795,0.078662959998226,0.000520279633495189,0.0215347396955719,-4.41881791708057,-0.892266760847435,-1.21109161875783,-2.37839072971998,-2.10517060219253,-3.75090807654683,-3.63269923126752,-4.38934225215322,-9.40790350395846,-5.68484721780633,1.84675936975184,18.5330598712183
0.0388404066921967,1.32082559465539,0.960243994065898,0.298834019848319,0.392724531806566,0.0757448878410223,0.0852492910622912,0.0400022930715072,0.000264576598422946,0.0109510113596071,-4.41881791708057,-0.892266760847435,-1.21109161875783,-2.37839072971998,-2.10517060219253,-3.75090807654683,-3.63269923126752,-4.38934225215322,-9.40790350395846,-5.68484721780633,1.17052375242958,10.8209496970922
0.0316186477540282,0.811122632811756,1.10226338395886,0.28450547183526,0.353756234353697,0.0595444489881091,0.019755831143354,0.0388517821022429,0.00104238528361799,0.0176160985653698,-4.45466837178455,-1.20999618258837,-0.903294470561223,-2.25766295057836,-2.03980736470731,-3.82169236165246,-4.92496674158931,-4.24866149000495,-7.86690380818311,-5.03960226194094,1.00066015814202,11.3134957699295
0.0249710629348718,0.894951759536039,0.59235150213237,0.261982874540947,0.46128782873255,0.0782593754574905,0.0093731901426901,0.0193952774695708,0.000579902287838452,0.0204203475072489,-4.55021211537525,-0.971159970375501,-1.38382957495391,-2.19965064996074,-1.63390758173385,-3.40790115084162,-5.53007628546471,-4.802900180206,-8.31282544611622,-4.75139795666149,0.860174508255831,33.7611295430258
0.0246200305298929,0.882370914687365,0.584024480854631,0.258300032574897,0.454803243902107,0.077159238997515,0.00924142588873363,0.0191226270456327,0.000571750272232082,0.0201332870919726,-4.55021211537525,-0.971159970375501,-1.38382957495391,-2.19965064996074,-1.63390758173385,-3.40790115084162,-5.53007628546471,-4.802900180206,-8.31282544611622,-4.75139795666149,0.846017197193044,28.795492858466
0.0540055549214858,1.93553500416709,1.28109370693068,0.566597047006419,0.997638956507502,0.169253548013309,0.0202716374693714,0.0419466614349686,0.00125416947354771,0.0441636065591142,-4.55021211537525,-0.971159970375501,-1.38382957495391,-2.19965064996074,-1.63390758173385,-3.40790115084162,-5.53007628546471,-4.802900180206,-8.31282544611622,-4.75139795666149,1.63154374658315,29.8196061259453
0.0358493711509217,1.28482547472874,0.850401478989276,0.376112195508026,0.66224167640627,0.112352021382998,0.0134564945501061,0.0278445696282621,0.000832528931676251,0.0293161976615683,-4.55021211537525,-0.971159970375501,-1.38382957495391,-2.19965064996074,-1.63390758173385,-3.40790115084162,-5.53007628546471,-4.802900180206,-8.31282544611622,-4.75139795666149,1.22178286216695,46.3336236380538
0.0364431801526012,1.30610732453495,0.864487529512714,0.382342118102592,0.673211047865586,0.114213020321396,0.0136793879325664,0.0283057870935154,0.000846318941317055,0.0298017911743016,-4.55021211537525,-0.971159970375501,-1.38382957495391,-2.19965064996074,-1.63390758173385,-3.40790115084162,-5.53007628546471,-4.802900180206,-8.31282544611622,-4.75139795666149,1.23821117590457,38.7051084024489
0.0428010176309909,1.53396938443081,1.01530508143111,0.44904510719028,0.790658713329006,0.134138499329507,0.0160658790377586,0.0332439838503544,0.000993966821146573,0.035000979172103,-4.55021211537525,-0.971159970375501,-1.38382957495391,-2.19965064996074,-1.63390758173385,-3.40790115084162,-5.53007628546471,-4.802900180206,-8.31282544611622,-4.75139795666149,1.39901871512323,43.2147334324459
0.0393760900275543,0.618945009170167,1.12827235479892,1.02276098903454,0.554807045289068,0.0993877829038252,0.0133010750258366,0.0316409594481691,0.000827608118981401,0.0467027804894748,-4.50323891737421,-1.74838126681226,-1.14795484517267,-1.24613659602951,-1.85777731022558,-3.57736849967985,-5.58855283640481,-4.72194523103746,-8.36561322026282,-4.33259399508467,1.26864241839417,154.540471692116
0.0408091712586971,0.641471330984512,1.16933549575954,1.05998407482861,0.574999084746343,0.103004972070772,0.0137851637446558,0.0327925228738113,0.000857728673389513,0.0484025144680089,-4.50323891737421,-1.74838126681226,-1.14795484517267,-1.24613659602951,-1.85777731022558,-3.57736849967985,-5.58855283640481,-4.72194523103746,-8.36561322026282,-4.33259399508467,1.30439048029403,273.741420104475
0.0439209104820917,0.690384147386835,1.25849847102302,1.1408088972909,0.618843327357367,0.110859201938989,0.014836295963275,0.0352929848168789,0.000923131323668708,0.0520932535380636,-4.50323891737421,-1.74838126681226,-1.14795484517267,-1.24613659602951,-1.85777731022558,-3.57736849967985,-5.58855283640481,-4.72194523103746,-8.36561322026282,-4.33259399508467,1.37787416584504,150.739397914594
0.0502777840557704,1.56818689213845,0.822928748469651,0.697005640845188,0.367138440922194,0.117705195633132,0.0104654209310304,0.0168546780808659,0.00130449425221934,0.0845396483669917,-4.30831640771896,-0.868204333166419,-1.51301009683068,-1.67908621462639,-2.32014071824385,-3.45769656207964,-5.87780314055443,-5.4012514692109,-7.96006429892172,-3.78865908262732,1.31812443940673,104.981184286658
0.0440794133256244,1.37485689730718,0.721476038026965,0.61107704546061,0.321876697413385,0.103194205280231,0.00917521771313202,0.0147767912916115,0.00114367294431064,0.0741173894744051,-4.30831640771896,-0.868204333166419,-1.51301009683068,-1.67908621462639,-2.32014071824385,-3.45769656207964,-5.87780314055443,-5.4012514692109,-7.96006429892172,-3.78865908262732,1.18655398418312,67.2290718967351
0.0466552315883375,1.45519783738594,0.763636108106197,0.646785855874999,0.3406858378485,0.109224447030578,0.00971137941690215,0.0156402857440457,0.00121050445213413,0.0784485025947744,-4.30831640771896,-0.868204333166419,-1.51301009683068,-1.67908621462639,-2.32014071824385,-3.45769656207964,-5.87780314055443,-5.4012514692109,-7.96006429892172,-3.78865908262732,1.24334619525868,43.9337099528043
0.0446538125279854,1.3927726689927,0.73087759829057,0.619039995532127,0.326071075339584,0.104538929829157,0.00929478005160914,0.0149693477820678,0.00115857615597821,0.075083213794268,-4.30831640771896,-0.868204333166419,-1.51301009683068,-1.67908621462639,-2.32014071824385,-3.45769656207964,-5.87780314055443,-5.4012514692109,-7.96006429892172,-3.78865908262732,1.19950081937903,76.70450075767
0.0599176042781916,1.28041176127457,0.829020271981508,0.614704136812665,0.281362622999385,0.080023028009711,0.0133038850667426,0.0220223176398944,0.00133498531021793,0.0485502268159456,-3.98746853802556,-0.925501900750308,-1.36019428605657,-1.65929782073127,-2.44079458373293,-3.69812445105471,-5.49238279157587,-4.98838251708844,-7.79151860621948,-4.19784002790151,1.17268361544694,40.6761754187466
0.0257650004127328,1.19563287658921,0.599440810661026,0.826800524232652,0.581184917123609,0.103349802253223,0.0157383623686916,0.030869858030562,0.000766307965272015,0.020926261602719,-4.88265332695246,-1.04523939673644,-1.73567308633272,-1.41410686289423,-1.7666013446594,-3.4935509519957,-5.37556912982517,-4.70189008519347,-8.39784147135508,-5.09066541854644,1.22391504576964,12.1477702819116
0.0330707141212038,1.53465679884305,0.76941336558864,1.06124134811373,0.745980979540446,0.132654830586,0.0202010042419287,0.0396230635954639,0.000983596011734906,0.0268599419368549,-4.88265332695246,-1.04523939673644,-1.73567308633272,-1.41410686289423,-1.7666013446594,-3.4935509519957,-5.37556912982517,-4.70189008519347,-8.39784147135508,-5.09066541854644,1.47354616896141,24.2506488829138
0.0261965947658456,1.21566114709826,0.609482156081645,0.840650414847564,0.590920454648418,0.105081034169904,0.0160019986278322,0.0313869648108437,0.000779144533688808,0.0212768013347126,-4.88265332695246,-1.04523939673644,-1.73567308633272,-1.41410686289423,-1.7666013446594,-3.4935509519957,-5.37556912982517,-4.70189008519347,-8.39784147135508,-5.09066541854644,1.24052747952119,42.26702452016
