"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.279256126682583,0.660441089868253,0.415406898495295,0.145376219427609,0.471431776821019,0.496218457818584,0.0934440597969831,0.00709332041231839,0.322115655880545,0.000239414401437216,-7.490836556829,-6.63005800453646,-7.09370741613639,-8.14364093535839,-6.96719153662066,-6.91594966540367,-8.58560296800828,-11.1638123800821,-7.34805527350607,-14.5525252656024,6.21521065533198,3.80634994580296
0.271352790693193,0.64174969034039,0.40365030668791,0.141261870637297,0.458089603195133,0.48217478671684,0.0907994632054547,0.00689256959920312,0.312999335726322,0.000232638641572124,-7.490836556829,-6.63005800453646,-7.09370741613639,-8.14364093535839,-6.96719153662066,-6.91594966540367,-8.58560296800828,-11.1638123800821,-7.34805527350607,-14.5525252656024,6.18650106278171,2.73016762601232
0.1997006987441,0.522780519980162,0.184182744461507,0.109389283121288,0.213149639890599,0.371330419223359,0.0641266464776974,0.0042924832947296,0.222434483445388,0.000111524184150256,-7.55976134755963,-6.59741936682914,-7.6406526457874,-8.1616681622549,-7.49458663319914,-6.93948880284883,-8.69572110771746,-11.3997156648968,-7.45194848512396,-15.0500949003366,5.94882580796209,4.13720443836418
0.203724574851569,0.533314304073196,0.187893941014686,0.111593426249144,0.21744450590091,0.378812554294924,0.0654187685495604,0.00437897483471918,0.226916434730696,0.000113771344539926,-7.55976134755963,-6.59741936682914,-7.6406526457874,-8.1616681622549,-7.49458663319914,-6.93948880284883,-8.69572110771746,-11.3997156648968,-7.45194848512396,-15.0500949003366,5.96877502690747,4.7200069762594
0.348110000346292,0.842579972920068,0.422177876806872,0.165214818474615,0.35120201670179,0.508983952872696,0.0940670432102838,0.00441702968942559,0.4843225203555,0.000118665202152649,-7.38481308967201,-6.50086303137991,-7.19190487820169,-8.13008505517516,-7.37597000838711,-7.00491512316791,-8.69332385876197,-11.7518641582301,-7.05458056328341,-15.3687807907334,6.32957633346661,6.88579690429833
0.406618149022248,0.984195537764368,0.49313489027774,0.192983090437982,0.410229852121752,0.594530787949904,0.109877242699468,0.00515941637615662,0.565724416307596,0.000138609706140764,-7.38481308967201,-6.50086303137991,-7.19190487820169,-8.13008505517516,-7.37597000838711,-7.00491512316791,-8.69332385876197,-11.7518641582301,-7.05458056328341,-15.3687807907334,6.48493234694858,7.94883162198146
0.305508808035924,0.739466269126654,0.370512366189133,0.144996070816237,0.30822242795565,0.446695241724923,0.08255525614906,0.00387648006128323,0.425051839222002,0.000104143128404624,-7.38481308967201,-6.50086303137991,-7.19190487820169,-8.13008505517516,-7.37597000838711,-7.00491512316791,-8.69332385876197,-11.7518641582301,-7.05458056328341,-15.3687807907334,6.19903642042739,7.10260136861151
0.261144806135185,0.632085787431313,0.316708970393326,0.123940684548831,0.263464371821089,0.38182906428036,0.0705671188372147,0.0033135628416045,0.36332857590797,8.90201407035681e-05,-7.38481308967201,-6.50086303137991,-7.19190487820169,-8.13008505517516,-7.37597000838711,-7.00491512316791,-8.69332385876197,-11.7518641582301,-7.05458056328341,-15.3687807907334,6.04213287693935,12.5131118827732
0.339658502017689,0.822123613649248,0.411928140756033,0.161203693368155,0.342675449656302,0.496626718025347,0.091783260906766,0.00430979198007959,0.472564021699277,0.000115784219829076,-7.38481308967201,-6.50086303137991,-7.19190487820169,-8.13008505517516,-7.37597000838711,-7.00491512316791,-8.69332385876197,-11.7518641582301,-7.05458056328341,-15.3687807907334,6.30499851771621,2.99675672615634
0.365206050898721,0.66907945798307,0.324078882638172,0.128885109402549,0.275900091510849,0.375766228239728,0.0534432818195862,0.00447966488115299,0.725162084023133,0.00012555218266228,-6.94175846006855,-6.33631735302744,-7.06123322628588,-7.98329879464473,-7.22218136447366,-6.91325296074951,-8.86359923874062,-11.3426719370631,-6.2558249833403,-14.9172539861026,5.93446489839593,3.67664600876743
