"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.423710944164759,1.09167863518687,1.60459108525105,0.964314114107676,0.537846235150805,0.36365170777877,4.10124417443201e-06,0.00662253009819903,3.03074294221477e-05,0.00128079301293458,-6.72648226261258,-5.78006192702567,-5.39490952233798,-5.90411666385199,-6.48796103885584,-6.87933718709175,-18.2719986440239,-10.8850562629036,-16.2718961509687,-12.5280543224466,5.86777847091464,26.7077559045812
0.528319323225762,2.27680688108099,1.04325644271734,1.15915158104868,0.587765157129277,0.387226214436639,7.92808259421192e-06,0.00755932271433874,3.56837862635354e-05,0.00188575172345543,-6.64587936442146,-5.1850509945686,-5.96547794908507,-5.86013662330693,-6.53925276867651,-6.9565711884747,-17.7529243081292,-10.8927986460316,-16.2486391038082,-12.2812537104719,6.00782496517723,27.8386687813458
0.332455624772699,1.43272680150127,0.656490227054454,0.729419588007624,0.369863118653217,0.243669931023682,4.98890639853045e-06,0.0047568567822003,2.24547445739168e-05,0.00118664743049663,-6.64587936442146,-5.1850509945686,-5.96547794908507,-5.86013662330693,-6.53925276867651,-6.9565711884747,-17.7529243081292,-10.8927986460316,-16.2486391038082,-12.2812537104719,5.54463047729851,7.0994985279258
0.437504153517745,1.88543637046767,0.863926430110793,0.959899835139574,0.486731577347935,0.320664169791474,6.56528904379532e-06,0.00625991694778686,2.95499407597191e-05,0.00156160143164487,-6.64587936442146,-5.1850509945686,-5.96547794908507,-5.86013662330693,-6.53925276867651,-6.9565711884747,-17.7529243081292,-10.8927986460316,-16.2486391038082,-12.2812537104719,5.81921028494677,13.2568994502219
0.411488547935255,1.71717411193302,1.01645293000485,1.16431088788498,0.580539642486179,0.300962088464648,9.02585238065227e-06,0.00642767214004231,2.86398857447587e-05,0.00199610507899714,-6.68556507109548,-5.25691100028423,-5.78127193472813,-5.6454615823352,-6.34138817172788,-6.99836195590578,-17.4130085933907,-10.8447338191745,-16.258301187034,-12.0141484394856,5.79759098179522,10.7410188524326
0.631465580908106,1.98585822010342,1.14971719185002,1.23429823599807,0.426141073062989,0.488314488666308,1.13395104401485e-05,0.0101489737697723,4.11244567639755e-05,0.00313564921114522,-6.3713997708368,-5.22563675505277,-5.77217193644994,-5.70118534983633,-6.76467275855979,-6.62848356515688,-17.2989053601107,-10.5020706134837,-16.010595486804,-11.6766069698929,5.91168792845137,24.3244450077233
0.394232470403135,1.23979804387101,0.717783933933761,0.770589019423635,0.266045613653665,0.304861314727108,7.07940915410313e-06,0.00633614106973188,2.56745524605375e-05,0.00195762805163456,-6.3713997708368,-5.22563675505277,-5.77217193644994,-5.70118534983633,-6.76467275855979,-6.62848356515688,-17.2989053601107,-10.5020706134837,-16.010595486804,-11.6766069698929,5.44058525355936,26.3723194030863
0.299503960773165,0.941892037250206,0.545310565039636,0.585427332278545,0.202118600109521,0.231607434958146,5.37832685222375e-06,0.00481365561913675,1.95053191462035e-05,0.00148723760522731,-6.3713997708368,-5.22563675505277,-5.77217193644994,-5.70118534983633,-6.76467275855979,-6.62848356515688,-17.2989053601107,-10.5020706134837,-16.010595486804,-11.6766069698929,5.16577213394097,21.9431132186507
0.259087461745567,0.833970003633124,0.54709034798165,0.935065231694919,0.170166578793252,0.181704837577347,4.9518683274892e-06,0.00716712073189075,1.00425101807616e-05,0.00110376399343515,-6.67755810980077,-5.50852636978799,-5.93010984586549,-5.3941075112594,-7.09794597209284,-7.03234020560444,-17.5427141383504,-10.2652198022364,-16.8356519825969,-12.1359976536935,5.32696852565101,20.2231037395015
0.277368228435549,0.472320079612372,0.471681456057781,0.681140732656223,0.286708250680133,0.140312487211462,7.22941175961934e-06,0.00575036808009425,9.05110878313318e-06,0.00107018047839622,-6.61730102836059,-6.08499010575638,-6.08634311976724,-5.71887805560244,-6.58418184571314,-7.29877500949111,-17.1722446034544,-10.4933831295945,-16.9475150075861,-12.1748196906357,5.33489171730229,14.5825923281657
