"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
2.05034141442287,5.97757669865337,3.72176476466498,1.97333930969005,1.55100838185703,1.19624439262925,0.801298896777831,0.77767778340708,0.0145239181215189,0.0281373305673001,-2.17745871390808,-1.10744978531844,-1.58126708191559,-2.21573784803009,-2.45655974846952,-2.71627806049568,-3.11698628380194,-3.14690803754934,-7.12742349971922,-6.46612313117738,2.89546503681246,74.1473822157765
1.95856020939712,5.70999726594183,3.55516419145289,1.88500501643821,1.48157925298585,1.14269587086186,0.765429661627657,0.742865920572544,0.0138737714203347,0.0268777949175256,-2.17745871390808,-1.10744978531844,-1.58126708191559,-2.21573784803009,-2.45655974846952,-2.71627806049568,-3.11698628380194,-3.14690803754934,-7.12742349971922,-6.46612313117738,2.84966833016695,93.6546738098112
1.64181568314589,4.78655852241029,2.98021184014698,1.58015606768075,1.24197358942797,0.957895495295774,0.641641965754106,0.622727303975018,0.0116300614058214,0.0225310332622125,-2.17745871390808,-1.10744978531844,-1.58126708191559,-2.21573784803009,-2.45655974846952,-2.71627806049568,-3.11698628380194,-3.14690803754934,-7.12742349971922,-6.46612313117738,2.67326146720397,166.035573901601
1.89520034057782,5.52527755398568,3.44015382020122,1.8240246748627,1.43364982673478,1.10572939920028,0.740667837753958,0.718834038860676,0.0134249517552544,0.0260082921307562,-2.17745871390808,-1.10744978531844,-1.58126708191559,-2.21573784803009,-2.45655974846952,-2.71627806049568,-3.11698628380194,-3.14690803754934,-7.12742349971922,-6.46612313117738,2.81678326747598,393.723223169719
2.00335760423149,5.8405998385859,3.63648009546309,1.92812001161732,1.51546684574709,1.16883231428443,0.78293704006073,0.759857207229558,0.0141911008612049,0.0274925603893352,-2.17745871390808,-1.10744978531844,-1.58126708191559,-2.21573784803009,-2.45655974846952,-2.71627806049568,-3.11698628380194,-3.14690803754934,-7.12742349971922,-6.46612313117738,2.87228328897068,126.857256477037
1.91562657905873,5.58482832261656,3.47723137914731,1.84368379068601,1.44910152998324,1.11764681601361,0.748650665513733,0.726581544594812,0.0135696442504362,0.0262886063361568,-2.17745871390808,-1.10744978531844,-1.58126708191559,-2.21573784803009,-2.45655974846952,-2.71627806049568,-3.11698628380194,-3.14690803754934,-7.12742349971922,-6.46612313117738,2.8275034783549,180.819184356871
1.52407555955792,4.44329831496131,2.76649082750267,1.46683776246117,1.15290748693341,0.889201588203607,0.595627662734195,0.578069434955802,0.0107960305938892,0.0209152571016544,-2.17745871390808,-1.10744978531844,-1.58126708191559,-2.21573784803009,-2.45655974846952,-2.71627806049568,-3.11698628380194,-3.14690803754934,-7.12742349971922,-6.46612313117738,2.59884674970591,211.62404364898
1.54175900743333,4.4948527366924,2.79858969296845,1.48385709523079,1.16628436928186,0.899518760365523,0.60253857385081,0.584776622573437,0.0109212940974413,0.0211579313289513,-2.17745871390808,-1.10744978531844,-1.58126708191559,-2.21573784803009,-2.45655974846952,-2.71627806049568,-3.11698628380194,-3.14690803754934,-7.12742349971922,-6.46612313117738,2.61038269112413,527.40022157482
1.5367134253418,4.48014281875907,2.78943098919679,1.47900100374698,1.16246757074272,0.896574982689238,0.600566697686624,0.582862874419428,0.0108855529176274,0.0210886895869589,-2.17745871390808,-1.10744978531844,-1.58126708191559,-2.21573784803009,-2.45655974846952,-2.71627806049568,-3.11698628380194,-3.14690803754934,-7.12742349971922,-6.46612313117738,2.6071047104245,835.97005582901
1.75455553066076,4.31370405092465,2.89741389356079,1.54572594853124,0.96226561531474,1.24073357476753,1.01224758293821,0.848323507329762,0.0205528279169646,0.0209049842934311,-2.11993050256776,-1.22034912492463,-1.61832749023131,-2.24665239893233,-2.72061082755867,-2.46644327127787,-2.66997288041121,-2.8466392899755,-6.56690280450375,-6.54991373403201,2.68214606852739,300.694137228617
1.7094867885669,4.20289922774122,2.82298889120199,1.50602134932946,0.937548186835244,1.20886322326755,0.98624628263545,0.826532875630799,0.0200248935857324,0.0203680042268942,-2.11993050256776,-1.22034912492463,-1.61832749023131,-2.24665239893233,-2.72061082755867,-2.46644327127787,-2.66997288041121,-2.8466392899755,-6.56690280450375,-6.54991373403201,2.65612370439113,617.29627120177
1.8033577090946,4.09718145670141,3.11191100074922,0.995107761763135,0.638058158095069,0.713193805375149,0.857334171464515,0.623509243250789,0.0112341731277006,0.0144167357753616,-1.96488377104395,-1.14423480447745,-1.41929708502466,-2.55943833660927,-3.00385993510394,-2.89253617090877,-2.70846159689163,-3.02692578139207,-7.04332906614465,-6.79389963281802,2.55453409220088,475.305787268608
