"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,6,NA,NA,NA,6,NA,NA,NA
2020-03-22,15,NA,NA,NA,15,NA,NA,NA
2020-03-29,28,NA,NA,NA,28,NA,NA,NA
2020-04-05,51,NA,NA,NA,51,NA,NA,NA
2020-04-12,89,NA,NA,NA,89,NA,NA,NA
2020-04-19,132,NA,NA,NA,132,NA,NA,NA
2020-04-26,188,NA,NA,NA,188,NA,NA,NA
2020-05-03,267,NA,NA,NA,267,NA,NA,NA
2020-05-10,363,NA,NA,NA,363,NA,NA,NA
2020-05-17,464,NA,NA,NA,464,NA,NA,NA
2020-05-24,565,NA,NA,NA,565,NA,NA,NA
2020-05-31,639,NA,NA,NA,639,NA,NA,NA
2020-06-07,712,NA,NA,NA,712,NA,NA,NA
2020-06-14,792,NA,NA,NA,792,NA,NA,NA
2020-06-21,846,NA,NA,NA,846,NA,NA,NA
2020-06-28,881,NA,NA,NA,881,NA,NA,NA
2020-07-05,913,NA,NA,NA,913,NA,NA,NA
2020-07-12,957,NA,NA,NA,957,NA,NA,NA
2020-07-19,993,NA,NA,NA,993,NA,NA,NA
2020-07-26,1014,NA,NA,NA,1014,NA,NA,NA
2020-08-02,1033,NA,NA,NA,1033,NA,NA,NA
2020-08-09,1061,NA,NA,NA,1061,NA,NA,NA
2020-08-16,1108,NA,NA,NA,1108,NA,NA,NA
2020-08-23,1142,NA,NA,NA,1142,NA,NA,NA
2020-08-30,1168,NA,NA,NA,1168,NA,NA,NA
2020-09-06,1197,NA,NA,NA,1197,NA,NA,NA
2020-09-13,1219,NA,NA,NA,1219,NA,NA,NA
2020-09-20,1237,NA,NA,NA,1237,NA,NA,NA
2020-09-27,1253,NA,NA,NA,1253,NA,NA,NA
2020-10-04,1264,NA,NA,NA,1264,NA,NA,NA
2020-10-11,1275,NA,NA,NA,1275,NA,NA,NA
2020-10-18,1289,NA,NA,NA,1289,NA,NA,NA
2020-10-25,1312,NA,NA,NA,1312,NA,NA,NA
2020-11-01,1339,NA,NA,NA,1339,NA,NA,NA
2020-11-08,1364,NA,NA,NA,1364,NA,NA,NA
2020-11-15,1409,NA,NA,NA,1409,NA,NA,NA
2020-11-22,1437,NA,NA,NA,1437,NA,NA,NA
2020-11-29,1463,NA,NA,NA,1463,NA,NA,NA
2020-12-06,1495,NA,NA,NA,1495,NA,NA,NA
2020-12-13,1519,NA,NA,NA,1519,NA,NA,NA
2020-12-20,1543,NA,NA,NA,1543,NA,NA,NA
2020-12-27,1568,NA,NA,NA,1568,NA,NA,NA
2021-01-03,1596,NA,NA,NA,1596,NA,NA,NA
2021-01-10,1617,NA,NA,NA,1617,NA,NA,NA
2021-01-17,1628,NA,NA,NA,1628,NA,NA,NA
2021-01-24,1646,NA,NA,NA,1646,NA,NA,NA
2021-01-31,1663,NA,NA,NA,1663,NA,NA,NA
2021-02-07,1681,NA,NA,NA,1681,NA,NA,NA
2021-02-14,1702,NA,NA,NA,1702,NA,NA,NA
2021-02-21,1736,NA,NA,NA,1736,NA,NA,NA
2021-02-28,1761,NA,NA,NA,1761,NA,NA,NA
2021-03-07,1812,NA,NA,NA,1812,NA,NA,NA
2021-03-14,1881,NA,NA,NA,1881,NA,NA,NA
2021-03-21,1992,NA,NA,NA,1992,NA,NA,NA
2021-03-28,2063,NA,NA,NA,2063,NA,NA,NA
2021-04-04,2137,NA,NA,NA,2137,NA,NA,NA
2021-04-11,2202,NA,NA,NA,2202,NA,NA,NA
2021-04-18,2261,NA,NA,NA,2261,NA,NA,NA
2021-04-25,2304,NA,NA,NA,2304,NA,NA,NA
2021-05-02,2350,NA,NA,NA,2350,NA,NA,NA
2021-05-09,2388,NA,NA,NA,2388,NA,NA,NA
2021-05-16,2421,NA,NA,NA,2421,NA,NA,NA
2021-05-23,2473,NA,NA,NA,2473,NA,NA,NA
2021-05-30,2508,NA,NA,NA,2508,NA,NA,NA
2021-06-06,2552,NA,NA,NA,2552,NA,NA,NA
2021-06-13,2578,NA,NA,NA,2578,NA,NA,NA
2021-06-20,2593,NA,NA,NA,2593,NA,NA,NA
2021-06-27,2609,NA,NA,NA,2609,NA,NA,NA
2021-07-04,2625,NA,NA,NA,2625,NA,NA,NA
2021-07-11,2635,NA,NA,NA,2635,NA,NA,NA
2021-07-18,2636,NA,NA,NA,2636,NA,NA,NA
2021-07-25,2639,NA,NA,NA,2639,NA,NA,NA
2021-08-01,2644,NA,NA,NA,2644,NA,NA,NA
2021-08-08,2646,NA,NA,NA,2646,NA,NA,NA
2021-08-15,2650,NA,NA,NA,2650,NA,NA,NA
2021-08-22,2653,NA,NA,NA,2653,NA,NA,NA
2021-08-29,2660,NA,NA,NA,2660,NA,NA,NA
2021-09-05,2662,NA,NA,NA,2662,NA,NA,NA
2021-09-12,2663,NA,NA,NA,2663,NA,NA,NA
2021-09-19,2665,NA,NA,NA,2664,NA,NA,NA
2021-09-26,2669,NA,NA,NA,2668,NA,NA,NA
2021-10-03,2672,NA,NA,NA,2669,NA,NA,NA
2021-10-10,2675,2675,2668,2699,2670,2670,2670,2670
2021-10-17,NA,2678,2669,2707,NA,2670,2670,2670
