"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-03-29,5,NA,NA,NA,5,NA,NA,NA
2020-04-05,12,NA,NA,NA,12,NA,NA,NA
2020-04-12,20,NA,NA,NA,20,NA,NA,NA
2020-04-19,25,NA,NA,NA,25,NA,NA,NA
2020-04-26,44,NA,NA,NA,44,NA,NA,NA
2020-05-03,58,NA,NA,NA,58,NA,NA,NA
2020-05-10,79,NA,NA,NA,79,NA,NA,NA
2020-05-17,109,NA,NA,NA,109,NA,NA,NA
2020-05-24,140,NA,NA,NA,140,NA,NA,NA
2020-05-31,177,NA,NA,NA,177,NA,NA,NA
2020-06-07,208,NA,NA,NA,208,NA,NA,NA
2020-06-14,247,NA,NA,NA,247,NA,NA,NA
2020-06-21,282,NA,NA,NA,282,NA,NA,NA
2020-06-28,326,NA,NA,NA,326,NA,NA,NA
2020-07-05,345,NA,NA,NA,345,NA,NA,NA
2020-07-12,370,NA,NA,NA,370,NA,NA,NA
2020-07-19,395,NA,NA,NA,395,NA,NA,NA
2020-07-26,416,NA,NA,NA,416,NA,NA,NA
2020-08-02,433,NA,NA,NA,433,NA,NA,NA
2020-08-09,451,NA,NA,NA,451,NA,NA,NA
2020-08-16,466,NA,NA,NA,466,NA,NA,NA
2020-08-23,484,NA,NA,NA,484,NA,NA,NA
2020-08-30,501,NA,NA,NA,501,NA,NA,NA
2020-09-06,527,NA,NA,NA,527,NA,NA,NA
2020-09-13,549,NA,NA,NA,549,NA,NA,NA
2020-09-20,566,NA,NA,NA,566,NA,NA,NA
2020-09-27,579,NA,NA,NA,579,NA,NA,NA
2020-10-04,594,NA,NA,NA,594,NA,NA,NA
2020-10-11,599,NA,NA,NA,599,NA,NA,NA
2020-10-18,609,NA,NA,NA,609,NA,NA,NA
2020-10-25,619,NA,NA,NA,619,NA,NA,NA
2020-11-01,627,NA,NA,NA,627,NA,NA,NA
2020-11-08,640,NA,NA,NA,640,NA,NA,NA
2020-11-15,651,NA,NA,NA,651,NA,NA,NA
2020-11-22,667,NA,NA,NA,667,NA,NA,NA
2020-11-29,677,NA,NA,NA,677,NA,NA,NA
2020-12-06,702,NA,NA,NA,702,NA,NA,NA
2020-12-13,719,NA,NA,NA,719,NA,NA,NA
2020-12-20,734,NA,NA,NA,734,NA,NA,NA
2020-12-27,750,NA,NA,NA,750,NA,NA,NA
2021-01-03,764,NA,NA,NA,764,NA,NA,NA
2021-01-10,779,NA,NA,NA,779,NA,NA,NA
2021-01-17,792,NA,NA,NA,792,NA,NA,NA
2021-01-24,798,NA,NA,NA,798,NA,NA,NA
2021-01-31,808,NA,NA,NA,808,NA,NA,NA
2021-02-07,816,NA,NA,NA,816,NA,NA,NA
2021-02-14,829,NA,NA,NA,829,NA,NA,NA
2021-02-21,838,NA,NA,NA,838,NA,NA,NA
2021-02-28,845,NA,NA,NA,845,NA,NA,NA
2021-03-07,860,NA,NA,NA,860,NA,NA,NA
2021-03-14,876,NA,NA,NA,876,NA,NA,NA
2021-03-21,918,NA,NA,NA,918,NA,NA,NA
2021-03-28,972,NA,NA,NA,972,NA,NA,NA
2021-04-04,1034,NA,NA,NA,1034,NA,NA,NA
2021-04-11,1093,NA,NA,NA,1093,NA,NA,NA
2021-04-18,1156,NA,NA,NA,1156,NA,NA,NA
2021-04-25,1208,NA,NA,NA,1208,NA,NA,NA
2021-05-02,1237,NA,NA,NA,1237,NA,NA,NA
2021-05-09,1272,NA,NA,NA,1272,NA,NA,NA
2021-05-16,1305,NA,NA,NA,1305,NA,NA,NA
2021-05-23,1332,NA,NA,NA,1332,NA,NA,NA
2021-05-30,1364,NA,NA,NA,1364,NA,NA,NA
2021-06-06,1392,NA,NA,NA,1392,NA,NA,NA
2021-06-13,1419,NA,NA,NA,1419,NA,NA,NA
2021-06-20,1450,NA,NA,NA,1450,NA,NA,NA
2021-06-27,1472,NA,NA,NA,1472,NA,NA,NA
2021-07-04,1491,NA,NA,NA,1491,NA,NA,NA
2021-07-11,1513,NA,NA,NA,1513,NA,NA,NA
2021-07-18,1527,NA,NA,NA,1527,NA,NA,NA
2021-07-25,1539,NA,NA,NA,1539,NA,NA,NA
2021-08-01,1546,NA,NA,NA,1546,NA,NA,NA
2021-08-08,1553,NA,NA,NA,1553,NA,NA,NA
2021-08-15,1556,NA,NA,NA,1556,NA,NA,NA
2021-08-22,1558,NA,NA,NA,1560,NA,NA,NA
2021-08-29,1565,NA,NA,NA,1566,NA,NA,NA
2021-09-05,1571,NA,NA,NA,1572,NA,NA,NA
2021-09-12,1573,NA,NA,NA,1574,NA,NA,NA
2021-09-19,1576,NA,NA,NA,1578,NA,NA,NA
2021-09-26,1580,NA,NA,NA,1583,NA,NA,NA
2021-10-03,1582,NA,NA,NA,1585,NA,NA,NA
2021-10-10,1584,NA,NA,NA,1585,NA,NA,NA
2021-10-17,1586,1586,1576,1620,1586,1586,1586,1586
2021-10-24,NA,1588,1576,1627,NA,1586,1586,1586
