"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,11,NA,NA,NA,11,NA,NA,NA
2020-03-22,35,NA,NA,NA,35,NA,NA,NA
2020-03-29,72,NA,NA,NA,72,NA,NA,NA
2020-04-05,123,NA,NA,NA,123,NA,NA,NA
2020-04-12,176,NA,NA,NA,176,NA,NA,NA
2020-04-19,242,NA,NA,NA,242,NA,NA,NA
2020-04-26,344,NA,NA,NA,344,NA,NA,NA
2020-05-03,461,NA,NA,NA,461,NA,NA,NA
2020-05-10,591,NA,NA,NA,591,NA,NA,NA
2020-05-17,735,NA,NA,NA,735,NA,NA,NA
2020-05-24,874,NA,NA,NA,874,NA,NA,NA
2020-05-31,985,NA,NA,NA,985,NA,NA,NA
2020-06-07,1095,NA,NA,NA,1095,NA,NA,NA
2020-06-14,1214,NA,NA,NA,1214,NA,NA,NA
2020-06-21,1302,NA,NA,NA,1302,NA,NA,NA
2020-06-28,1372,NA,NA,NA,1372,NA,NA,NA
2020-07-05,1428,NA,NA,NA,1428,NA,NA,NA
2020-07-12,1502,NA,NA,NA,1502,NA,NA,NA
2020-07-19,1571,NA,NA,NA,1571,NA,NA,NA
2020-07-26,1615,NA,NA,NA,1615,NA,NA,NA
2020-08-02,1663,NA,NA,NA,1663,NA,NA,NA
2020-08-09,1711,NA,NA,NA,1711,NA,NA,NA
2020-08-16,1787,NA,NA,NA,1787,NA,NA,NA
2020-08-23,1844,NA,NA,NA,1844,NA,NA,NA
2020-08-30,1898,NA,NA,NA,1898,NA,NA,NA
2020-09-06,1957,NA,NA,NA,1957,NA,NA,NA
2020-09-13,2000,NA,NA,NA,2000,NA,NA,NA
2020-09-20,2050,NA,NA,NA,2050,NA,NA,NA
2020-09-27,2087,NA,NA,NA,2087,NA,NA,NA
2020-10-04,2120,NA,NA,NA,2120,NA,NA,NA
2020-10-11,2161,NA,NA,NA,2161,NA,NA,NA
2020-10-18,2195,NA,NA,NA,2195,NA,NA,NA
2020-10-25,2251,NA,NA,NA,2251,NA,NA,NA
2020-11-01,2308,NA,NA,NA,2308,NA,NA,NA
2020-11-08,2369,NA,NA,NA,2369,NA,NA,NA
2020-11-15,2453,NA,NA,NA,2453,NA,NA,NA
2020-11-22,2513,NA,NA,NA,2513,NA,NA,NA
2020-11-29,2579,NA,NA,NA,2579,NA,NA,NA
2020-12-06,2643,NA,NA,NA,2643,NA,NA,NA
2020-12-13,2709,NA,NA,NA,2709,NA,NA,NA
2020-12-20,2771,NA,NA,NA,2771,NA,NA,NA
2020-12-27,2810,NA,NA,NA,2810,NA,NA,NA
2021-01-03,2856,NA,NA,NA,2856,NA,NA,NA
2021-01-10,2899,NA,NA,NA,2899,NA,NA,NA
2021-01-17,2930,NA,NA,NA,2930,NA,NA,NA
2021-01-24,2966,NA,NA,NA,2966,NA,NA,NA
2021-01-31,3001,NA,NA,NA,3001,NA,NA,NA
2021-02-07,3044,NA,NA,NA,3044,NA,NA,NA
2021-02-14,3091,NA,NA,NA,3091,NA,NA,NA
2021-02-21,3150,NA,NA,NA,3150,NA,NA,NA
2021-02-28,3193,NA,NA,NA,3193,NA,NA,NA
2021-03-07,3271,NA,NA,NA,3271,NA,NA,NA
2021-03-14,3381,NA,NA,NA,3381,NA,NA,NA
2021-03-21,3534,NA,NA,NA,3534,NA,NA,NA
2021-03-28,3640,NA,NA,NA,3640,NA,NA,NA
2021-04-04,3760,NA,NA,NA,3760,NA,NA,NA
2021-04-11,3861,NA,NA,NA,3861,NA,NA,NA
2021-04-18,3939,NA,NA,NA,3939,NA,NA,NA
2021-04-25,4008,NA,NA,NA,4008,NA,NA,NA
2021-05-02,4070,NA,NA,NA,4070,NA,NA,NA
2021-05-09,4128,NA,NA,NA,4128,NA,NA,NA
2021-05-16,4180,NA,NA,NA,4180,NA,NA,NA
2021-05-23,4246,NA,NA,NA,4246,NA,NA,NA
2021-05-30,4299,NA,NA,NA,4299,NA,NA,NA
2021-06-06,4371,NA,NA,NA,4371,NA,NA,NA
2021-06-13,4431,NA,NA,NA,4431,NA,NA,NA
2021-06-20,4472,NA,NA,NA,4472,NA,NA,NA
2021-06-27,4504,NA,NA,NA,4504,NA,NA,NA
2021-07-04,4525,NA,NA,NA,4525,NA,NA,NA
2021-07-11,4545,NA,NA,NA,4545,NA,NA,NA
2021-07-18,4557,NA,NA,NA,4557,NA,NA,NA
2021-07-25,4567,NA,NA,NA,4567,NA,NA,NA
2021-08-01,4586,NA,NA,NA,4586,NA,NA,NA
2021-08-08,4599,NA,NA,NA,4599,NA,NA,NA
2021-08-15,4614,NA,NA,NA,4614,NA,NA,NA
2021-08-22,4623,NA,NA,NA,4622,NA,NA,NA
2021-08-29,4637,NA,NA,NA,4635,NA,NA,NA
2021-09-05,4648,NA,NA,NA,4644,NA,NA,NA
2021-09-12,4664,NA,NA,NA,4657,NA,NA,NA
2021-09-19,4675,NA,NA,NA,4664,NA,NA,NA
2021-09-26,4688,NA,NA,NA,4671,NA,NA,NA
2021-10-03,4699,4699,4677,4748,4672,4672,4672,4672
2021-10-10,NA,4711,4684,4768,NA,4674,4673,4675
