"dt_evoluca","n.casos"
2020-03-29,1
2020-04-05,4
2020-04-12,2
2020-04-19,6
2020-04-26,7
2020-05-03,4
2020-05-10,4
2020-05-17,4
2020-05-24,11
2020-05-31,8
2020-06-07,21
2020-06-14,10
2020-06-21,17
2020-06-28,23
2020-07-05,32
2020-07-12,21
2020-07-19,25
2020-07-26,37
2020-08-02,25
2020-08-09,29
2020-08-16,19
2020-08-23,17
2020-08-30,26
2020-09-06,11
2020-09-13,9
2020-09-20,13
2020-09-27,9
2020-10-04,12
2020-10-11,5
2020-10-18,13
2020-10-25,8
2020-11-01,13
2020-11-08,11
2020-11-15,12
2020-11-22,11
2020-11-29,15
2020-12-06,12
2020-12-13,16
2020-12-20,21
2020-12-27,19
2021-01-03,14
2021-01-10,15
2021-01-17,18
2021-01-24,17
2021-01-31,33
2021-02-07,42
2021-02-14,21
2021-02-21,30
2021-02-28,25
2021-03-07,42
2021-03-14,54
2021-03-21,103
2021-03-28,146
2021-04-04,166
2021-04-11,137
2021-04-18,111
2021-04-25,82
2021-05-02,61
2021-05-09,78
2021-05-16,47
2021-05-23,75
2021-05-30,93
2021-06-06,73
2021-06-13,94
2021-06-20,129
2021-06-27,120
2021-07-04,86
2021-07-11,92
2021-07-18,56
2021-07-25,47
2021-08-01,34
2021-08-08,29
2021-08-15,26
2021-08-22,24
2021-08-29,11
2021-09-05,13
2021-09-12,9
2021-09-19,11
2021-09-26,3
2021-10-03,4
2021-10-10,1
2021-10-17,5
2021-10-24,2
2021-10-31,1
