"dt_sin_pri","n.casos"
2020-03-22,13
2020-03-29,15
2020-04-05,15
2020-04-12,9
2020-04-19,20
2020-04-26,17
2020-05-03,32
2020-05-10,47
2020-05-17,48
2020-05-24,49
2020-05-31,80
2020-06-07,85
2020-06-14,99
2020-06-21,73
2020-06-28,103
2020-07-05,124
2020-07-12,110
2020-07-19,91
2020-07-26,89
2020-08-02,77
2020-08-09,84
2020-08-16,64
2020-08-23,61
2020-08-30,54
2020-09-06,56
2020-09-13,52
2020-09-20,55
2020-09-27,52
2020-10-04,47
2020-10-11,43
2020-10-18,41
2020-10-25,54
2020-11-01,41
2020-11-08,53
2020-11-15,66
2020-11-22,64
2020-11-29,82
2020-12-06,80
2020-12-13,76
2020-12-20,85
2020-12-27,96
2021-01-03,109
2021-01-10,132
2021-01-17,98
2021-01-24,121
2021-01-31,63
2021-02-07,80
2021-02-14,102
2021-02-21,150
2021-02-28,244
2021-03-07,341
2021-03-14,409
2021-03-21,404
2021-03-28,342
2021-04-04,272
2021-04-11,216
2021-04-18,182
2021-04-25,212
2021-05-02,232
2021-05-09,257
2021-05-16,318
2021-05-23,333
2021-05-30,367
2021-06-06,425
2021-06-13,400
2021-06-20,310
2021-06-27,215
2021-07-04,176
2021-07-11,117
2021-07-18,99
2021-07-25,74
2021-08-01,58
2021-08-08,52
2021-08-15,28
2021-08-22,22
2021-08-29,19
2021-09-05,11
2021-09-12,2
