"dt_sin_pri","n.casos"
2020-01-05,1
2020-01-19,1
2020-01-26,2
2020-02-16,3
2020-02-23,4
2020-03-01,2
2020-03-08,9
2020-03-15,22
2020-03-22,45
2020-03-29,52
2020-04-05,51
2020-04-12,38
2020-04-19,55
2020-04-26,54
2020-05-03,59
2020-05-10,71
2020-05-17,78
2020-05-24,76
2020-05-31,107
2020-06-07,126
2020-06-14,138
2020-06-21,114
2020-06-28,141
2020-07-05,169
2020-07-12,162
2020-07-19,139
2020-07-26,137
2020-08-02,125
2020-08-09,138
2020-08-16,126
2020-08-23,93
2020-08-30,97
2020-09-06,94
2020-09-13,94
2020-09-20,93
2020-09-27,93
2020-10-04,84
2020-10-11,80
2020-10-18,73
2020-10-25,78
2020-11-01,77
2020-11-08,81
2020-11-15,100
2020-11-22,102
2020-11-29,124
2020-12-06,133
2020-12-13,118
2020-12-20,127
2020-12-27,133
2021-01-03,151
2021-01-10,175
2021-01-17,134
2021-01-24,165
2021-01-31,99
2021-02-07,121
2021-02-14,138
2021-02-21,189
2021-02-28,281
2021-03-07,392
2021-03-14,468
2021-03-21,457
2021-03-28,383
2021-04-04,306
2021-04-11,251
2021-04-18,223
2021-04-25,252
2021-05-02,273
2021-05-09,306
2021-05-16,369
2021-05-23,367
2021-05-30,410
2021-06-06,482
2021-06-13,454
2021-06-20,363
2021-06-27,258
2021-07-04,216
2021-07-11,162
2021-07-18,125
2021-07-25,110
2021-08-01,80
2021-08-08,86
2021-08-15,66
2021-08-22,74
2021-08-29,51
2021-09-05,44
2021-09-12,47
2021-09-19,38
2021-09-26,6
