"dt_notific","n.notific"
2020-03-22,1
2020-03-29,15
2020-04-05,13
2020-04-12,15
2020-04-19,15
2020-04-26,12
2020-05-03,16
2020-05-10,28
2020-05-17,46
2020-05-24,42
2020-05-31,55
2020-06-07,73
2020-06-14,81
2020-06-21,92
2020-06-28,97
2020-07-05,82
2020-07-12,112
2020-07-19,118
2020-07-26,92
2020-08-02,96
2020-08-09,87
2020-08-16,78
2020-08-23,58
2020-08-30,61
2020-09-06,65
2020-09-13,41
2020-09-20,61
2020-09-27,63
2020-10-04,47
2020-10-11,50
2020-10-18,42
2020-10-25,41
2020-11-01,47
2020-11-08,48
2020-11-15,48
2020-11-22,55
2020-11-29,69
2020-12-06,72
2020-12-13,88
2020-12-20,82
2020-12-27,79
2021-01-03,84
2021-01-10,109
2021-01-17,123
2021-01-24,98
2021-01-31,130
2021-02-07,88
2021-02-14,64
2021-02-21,93
2021-02-28,141
2021-03-07,183
2021-03-14,296
2021-03-21,344
2021-03-28,408
2021-04-04,383
2021-04-11,339
2021-04-18,232
2021-04-25,188
2021-05-02,211
2021-05-09,244
2021-05-16,232
2021-05-23,321
2021-05-30,324
2021-06-06,386
2021-06-13,391
2021-06-20,407
2021-06-27,329
2021-07-04,273
2021-07-11,191
2021-07-18,141
2021-07-25,91
2021-08-01,86
2021-08-08,59
2021-08-15,54
2021-08-22,30
2021-08-29,30
2021-09-05,19
2021-09-12,20
2021-09-19,16
2021-09-26,4
