"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
4.21639260983385,3.58182416204856,0.0611765150732096,0.0599599995478253,0.000219958477879266,0.0184097472245727,0.0585673716907127,8.62200105549607e-06,0.00510145171412756,0.000115087994300071,-1.58275770766393,-1.74586542523029,-5.81572954208684,-5.83581525163089,-11.4438094046793,-7.01661265250612,-5.85931517289692,-14.6829309975623,-8.29996776826988,-12.0915511927079,3.02173763834188,4.56984165712456
4.53909653843026,3.85596104530245,0.0658586933186411,0.0645490711080956,0.000236793121022833,0.0198187473589483,0.0630498577116015,9.28189065080599e-06,0.00549189412830273,0.000123896317274619,-1.58275770766393,-1.74586542523029,-5.81572954208684,-5.83581525163089,-11.4438094046793,-7.01661265250612,-5.85931517289692,-14.6829309975623,-8.29996776826988,-12.0915511927079,3.09548569956824,9.81398895573548
5.35713521825319,4.55088463995213,0.077727786227574,0.0761821431227577,0.000279468118232664,0.0233904938040823,0.0744127405956168,1.0954678508469e-05,0.00648164655687692,0.00014622498531685,-1.58275770766393,-1.74586542523029,-5.81572954208684,-5.83581525163089,-11.4438094046793,-7.01661265250612,-5.85931517289692,-14.6829309975623,-8.29996776826988,-12.0915511927079,3.2611870656579,10.1058802358573
3.63198906463516,3.08537353890273,0.0526972828005078,0.0516493796534314,0.000189471631381777,0.0158581059188841,0.050449773825373,7.42696813285341e-06,0.0043943765569321,9.91364835887808e-05,-1.58275770766393,-1.74586542523029,-5.81572954208684,-5.83581525163089,-11.4438094046793,-7.01661265250612,-5.85931517289692,-14.6829309975623,-8.29996776826988,-12.0915511927079,2.87253815756011,7.45077224774136
2.0771703967062,1.76455558200674,0.0301380961980031,0.0295387900445466,0.00010836069622401,0.00906940730721788,0.0288527236304096,4.24755638530346e-06,0.00251318732892605,5.66971335209268e-05,-1.58275770766393,-1.74586542523029,-5.81572954208684,-5.83581525163089,-11.4438094046793,-7.01661265250612,-5.85931517289692,-14.6829309975623,-8.29996776826988,-12.0915511927079,2.31376428901286,5.31243912187378
2.47159079435445,1.7907834266166,0.0313327353334397,0.0298978367355731,7.93749750822665e-05,0.0102258839940048,0.0350366609839145,6.82625696357394e-06,0.00211592434775365,5.37470493034062e-05,-1.51722469689396,-1.83943349391775,-5.88517855718774,-5.9320558377061,-11.8634141011981,-7.00491981313121,-5.77344699553181,-14.3168207498859,-8.58035020462698,-12.2533084756666,2.42208668652239,2.89606702168488
1.88651421095938,1.36686800694495,0.0239156298080491,0.0228204013412882,6.05852792579094e-05,0.00780520607148111,0.0267427597649653,5.21034096698284e-06,0.00161504135735981,4.10240127692712e-05,-1.51722469689396,-1.83943349391775,-5.88517855718774,-5.9320558377061,-11.8634141011981,-7.00491981313121,-5.77344699553181,-14.3168207498859,-8.58035020462698,-12.2533084756666,2.1519554902639,3.93474273316372
3.29603731745282,2.38813359197108,0.0417843702739085,0.0398708337224162,0.000105852020706919,0.013636923767952,0.0467238113791762,9.10328592494152e-06,0.00282173150467839,7.1675408652456e-05,-1.51722469689396,-1.83943349391775,-5.88517855718774,-5.9320558377061,-11.8634141011981,-7.00491981313121,-5.77344699553181,-14.3168207498859,-8.58035020462698,-12.2533084756666,2.70994563091982,8.57330423600922
4.19645009943958,3.04052487404687,0.0531990411220438,0.0507627638962759,0.000134768717717284,0.0173622640129259,0.0594878407080252,1.15901251853756e-05,0.00359257323656468,9.12557252232255e-05,-1.51722469689396,-1.83943349391775,-5.88517855718774,-5.9320558377061,-11.8634141011981,-7.00491981313121,-5.77344699553181,-14.3168207498859,-8.58035020462698,-12.2533084756666,2.95146365036903,12.9337710403443
4.08233382768896,2.95784228410315,0.0517523716538744,0.049382345394368,0.000131103881188771,0.0168901228480471,0.0578701566095056,1.12749488234657e-05,0.00349487850553414,8.87741603549183e-05,-1.51722469689396,-1.83943349391775,-5.88517855718774,-5.9320558377061,-11.8634141011981,-7.00491981313121,-5.77344699553181,-14.3168207498859,-8.58035020462698,-12.2533084756666,2.92389353836134,13.7647698417897
