"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
2.27574232843872,1.70473506467236,0.0607470806852242,0.0465533735128902,0.000548237834044714,0.00503639286735532,0.000503804749277681,2.21363749270326e-05,0.0017813329099849,0.119248848564159,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,6.14751011646473,9.51408957739251
1.47367511840566,1.10391480480342,0.0393372572118095,0.0301460087842448,0.000355015787553851,0.00326135642088671,0.00032624278867919,1.43345863606831e-05,0.00115351635123071,0.0772205441852853,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,5.71296318040711,8.72335894231287
1.42685859237846,1.06884502887696,0.0380875694732475,0.0291883137080121,0.000343737449709576,0.00315774784674751,0.000315878527373136,1.38791972948963e-05,0.00111687080595027,0.0747673592386628,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,5.68067905831636,4.33535261837278
1.43481799132068,1.074807332386,0.038300032124975,0.0293511339303477,0.000345654909160871,0.00317536260899896,0.000317640582302806,1.39566191703771e-05,0.0011231010100917,0.0751844315702976,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,5.68624182492138,3.41566177072092
2.45375536155606,1.83808278850363,0.0654988366070903,0.0501948697918468,0.000591122073832498,0.00543034940588114,0.000543213345935178,2.38679256363289e-05,0.00192067226766855,0.128576727631742,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,6.22282347072259,9.72115217616891
2.45441827909564,1.8385793731831,0.065516532066177,0.0502084306627076,0.000591281774019777,0.00543181649340079,0.000543360102885931,2.38743739020304e-05,0.00192119116509165,0.128611464496413,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,6.22309359871404,10.3188057037982
2.04625170763281,1.53282601178338,0.0546212178911868,0.0418588338655075,0.000492952383090113,0.00452851246661383,0.000453000023614375,1.9904096535532e-05,0.00160169957001232,0.107223545020171,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,6.04121350329171,10.4842374883093
1.88157016165963,1.40946476722739,0.0502253234019088,0.0384900511063322,0.000453279765965039,0.00416405953485622,0.000416542756926982,1.83022225449354e-05,0.00147279540812925,0.0985942355892826,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,5.9573104397056,4.41580010437098
1.04114079301774,0.779907810712373,0.0277914871854219,0.0212979367704223,0.000250816081489873,0.00230412467982022,0.000230488166271848,1.01272813965192e-05,0.000814950943854281,0.0545557549328169,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,5.365520847414,1.8774843758709
1.54827178893363,1.15979439994374,0.0413284887791023,0.0316719841209557,0.000372986502676621,0.00342644459219706,0.000342757029515092,1.50601956910893e-05,0.00121190675093731,0.0811294081001571,-5.32520381907067,-5.61410040509204,-8.94854636894507,-9.21466592361089,-13.6563114779021,-11.4385752705213,-13.7408318836441,-16.8657984946541,-12.4779034855388,-8.27405292137149,5.76234315307339,7.59064938454351
