"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
5.39631839525024,14.1489296501392,4.97528643868466,1.02946221265344,0.36472103975962,0.239531388393308,3.18568711155319e-06,0.207078043082811,0.0455032665408828,0.0172553336070238,-1.5885591120884,-0.624637076356055,-1.66979310991636,-3.24523951223441,-4.28289854672208,-4.70334686719339,-15.9311186130801,-4.84893559153163,-6.36424721797936,-7.33391004317,3.27427605448451,29.0685966057802
6.39074802932533,16.7562841285047,5.8921286096349,1.2191707614159,0.431931568038841,0.283672058654558,3.77274321843673e-06,0.245238234443847,0.0538885754461726,0.0204351339501207,-1.5885591120884,-0.624637076356055,-1.66979310991636,-3.24523951223441,-4.28289854672208,-4.70334686719339,-15.9311186130801,-4.84893559153163,-6.36424721797936,-7.33391004317,3.4434104361188,29.243623331551
7.66839617410735,15.755621014796,5.6551202269697,1.6905012848813,0.473993959256744,0.265547977653676,4.34890845993226e-06,0.320796487304532,0.0489438782468362,0.0178465110311393,-1.42539731941087,-0.705307617727895,-1.72994343952048,-2.93747970593239,-4.20906551071018,-4.78846455698997,-15.8080904822606,-4.5994531620064,-6.47958578833593,-7.48845205945957,3.46250480915783,61.8191859836242
6.7206459688112,17.3800064622786,5.26332601990293,1.34491100260225,0.428460060284803,0.201664198885687,3.80510908271088e-06,0.344834611745875,0.0561766318143506,0.0149976950090135,-1.5528667501708,-0.602730534737327,-1.79728787630419,-3.16172318460163,-4.30560877988916,-5.05920237302196,-15.9372169252036,-4.52274138953415,-6.33730543896527,-7.65790978215074,3.45805102639721,48.2557685142381
6.59043557497523,14.5519436599618,6.18796460216751,1.30461900111492,0.518347612534376,0.181466961209879,3.19383685474405e-06,0.319943855533841,0.0579905793183142,0.0145664986478079,-1.5064457518434,-0.714340624954973,-1.56945898223301,-3.12615414954852,-4.04917438964644,-5.09874686827645,-16.0463527826689,-4.53167494456643,-6.23953990170239,-7.62109619461857,3.39206519452791,59.2055801512403
6.61272765269961,14.6011654534864,6.20889532613832,1.30903186090888,0.52010091778035,0.182080771261988,3.20463997368739e-06,0.3210260621974,0.0581867318315644,0.0146157696734229,-1.5064457518434,-0.714340624954973,-1.56945898223301,-3.12615414954852,-4.04917438964644,-5.09874686827645,-16.0463527826689,-4.53167494456643,-6.23953990170239,-7.62109619461857,3.39544197606463,102.266489889679
6.55070685709719,14.4642210720286,6.15066207532812,1.29675444654277,0.515222889467614,0.180373035076458,3.17458364425331e-06,0.318015157646014,0.0576409982717944,0.0144786883189357,-1.5064457518434,-0.714340624954973,-1.56945898223301,-3.12615414954852,-4.04917438964644,-5.09874686827645,-16.0463527826689,-4.53167494456643,-6.23953990170239,-7.62109619461857,3.386018712782,29.953159098435
5.82768489235942,12.8677598402809,5.47179430194825,1.15362761028295,0.458356130818942,0.160464700136176,2.82419493754365e-06,0.282914831969175,0.0512789813583422,0.0128806302919853,-1.5064457518434,-0.714340624954973,-1.56945898223301,-3.12615414954852,-4.04917438964644,-5.09874686827645,-16.0463527826689,-4.53167494456643,-6.23953990170239,-7.62109619461857,3.26906557082847,18.6517871036591
6.83333341272768,15.0882717387191,6.41602892429857,1.3527021863394,0.537451890674477,0.188155128023733,3.311549266515e-06,0.331735742401902,0.0601278866580469,0.0151033631668408,-1.5064457518434,-0.714340624954973,-1.56945898223301,-3.12615414954852,-4.04917438964644,-5.09874686827645,-16.0463527826689,-4.53167494456643,-6.23953990170239,-7.62109619461857,3.42825836093834,19.458734657592
6.92073037910874,15.2812477137302,6.49808864981298,1.3700029765047,0.544325792763496,0.190561594444306,3.35390331869336e-06,0.335978576136912,0.0608969102913779,0.0152965321581964,-1.5064457518434,-0.714340624954973,-1.56945898223301,-3.12615414954852,-4.04917438964644,-5.09874686827645,-16.0463527826689,-4.53167494456643,-6.23953990170239,-7.62109619461857,3.44096706201736,8.37890527959644
