"dt_sin_pri","n.casos"
2020-03-29,1
2020-04-19,2
2020-04-26,1
2020-05-03,2
2020-05-10,2
2020-05-17,1
2020-05-24,4
2020-05-31,3
2020-06-07,2
2020-06-14,1
2020-06-21,3
2020-06-28,2
2020-07-05,5
2020-07-12,24
2020-07-19,12
2020-07-26,15
2020-08-02,12
2020-08-09,8
2020-08-16,2
2020-08-23,6
2020-08-30,6
2020-09-06,9
2020-09-13,2
2020-09-20,10
2020-09-27,2
2020-10-04,6
2020-10-11,4
2020-10-18,8
2020-10-25,4
2020-11-01,9
2020-11-08,10
2020-11-15,9
2020-11-22,12
2020-11-29,8
2020-12-06,14
2020-12-13,7
2020-12-20,8
2020-12-27,8
2021-01-03,5
2021-01-10,12
2021-01-17,18
2021-01-24,13
2021-01-31,10
2021-02-07,30
2021-02-14,22
2021-02-21,17
2021-02-28,9
2021-03-07,14
2021-03-14,14
2021-03-21,18
2021-03-28,23
2021-04-04,19
2021-04-11,36
2021-04-18,30
2021-04-25,40
2021-05-02,38
2021-05-09,33
2021-05-16,32
2021-05-23,43
2021-05-30,51
2021-06-06,49
2021-06-13,33
2021-06-20,23
2021-06-27,15
2021-07-04,14
2021-07-11,7
2021-07-18,10
2021-07-25,5
2021-08-01,10
2021-08-08,12
2021-08-15,2
2021-09-05,1
