"dt_sin_pri","n.casos"
2020-01-05,1
2020-02-16,1
2020-03-01,1
2020-03-15,3
2020-03-29,1
2020-04-19,4
2020-04-26,2
2020-05-03,8
2020-05-10,3
2020-05-17,1
2020-05-24,13
2020-05-31,5
2020-06-07,5
2020-06-14,1
2020-06-21,7
2020-06-28,3
2020-07-05,10
2020-07-12,30
2020-07-19,16
2020-07-26,19
2020-08-02,17
2020-08-09,13
2020-08-16,3
2020-08-23,12
2020-08-30,11
2020-09-06,15
2020-09-13,7
2020-09-20,14
2020-09-27,5
2020-10-04,15
2020-10-11,12
2020-10-18,10
2020-10-25,7
2020-11-01,16
2020-11-08,16
2020-11-15,14
2020-11-22,14
2020-11-29,12
2020-12-06,16
2020-12-13,9
2020-12-20,9
2020-12-27,9
2021-01-03,5
2021-01-10,12
2021-01-17,19
2021-01-24,13
2021-01-31,12
2021-02-07,32
2021-02-14,26
2021-02-21,18
2021-02-28,10
2021-03-07,17
2021-03-14,16
2021-03-21,19
2021-03-28,24
2021-04-04,23
2021-04-11,36
2021-04-18,33
2021-04-25,41
2021-05-02,39
2021-05-09,35
2021-05-16,32
2021-05-23,43
2021-05-30,53
2021-06-06,51
2021-06-13,35
2021-06-20,22
2021-06-27,15
2021-07-04,14
2021-07-11,9
2021-07-18,10
2021-07-25,6
2021-08-01,11
2021-08-08,12
2021-08-15,2
2021-09-05,2
2021-09-12,2
2021-09-19,2
2021-09-26,2
2021-10-03,2
