"dt_notific","n.notific"
2020-04-26,1
2020-05-17,1
2020-05-24,1
2020-05-31,2
2020-06-07,1
2020-07-05,1
2020-07-12,6
2020-07-19,11
2020-07-26,4
2020-08-02,7
2020-08-16,1
2020-08-30,3
2020-09-06,5
2020-09-20,1
2020-09-27,2
2020-10-11,1
2020-10-25,1
2020-11-08,3
2020-11-15,4
2020-11-22,2
2020-11-29,2
2020-12-13,4
2020-12-20,4
2020-12-27,2
2021-01-03,3
2021-01-10,3
2021-01-17,2
2021-01-31,3
2021-02-07,6
2021-02-14,2
2021-02-21,7
2021-02-28,5
2021-03-07,3
2021-03-14,7
2021-03-21,6
2021-03-28,5
2021-04-04,7
2021-04-11,3
2021-04-18,5
2021-04-25,8
2021-05-02,18
2021-05-09,11
2021-05-16,11
2021-05-23,18
2021-05-30,15
2021-06-06,19
2021-06-13,9
2021-06-20,13
2021-06-27,10
2021-07-04,2
2021-07-11,2
2021-07-18,1
2021-07-25,1
2021-08-01,4
2021-08-08,3
2021-08-15,5
2021-09-19,1
2021-10-03,1
