"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.0592147063928543,0.723902652091365,2.45101801084211,1.74929180318815,0.637230271745819,0.348069132780331,0.105414395499009,4.90564264654153e-06,0.00288042346866796,0.0140123273081282,-4.63340396295229,-2.1299169678816,-0.91031516092372,-1.24760759167118,-2.25744280843425,-2.86217277533018,-4.05667468632153,-14.0319430686737,-7.65663657171883,-6.0746364285973,1.80681861380749,21.3347023458398
0.0529276936698007,0.638827075591949,2.06286746634174,2.78035448764218,1.01823753790865,0.384470795332207,0.101094980765442,6.31336321179866e-06,0.00328993570239341,0.0117705480229624,-4.89240168554752,-2.40169459672732,-1.22947612941613,-0.930994685158536,-1.93549988953523,-2.90946056611617,-4.24526791869738,-13.9264151445605,-7.67046037601357,-6.3957279160668,1.95357311827227,41.1053691069173
0.0649604087773734,0.784059631001549,2.53184494875438,3.41244727552324,1.24972622286682,0.471877353726303,0.124078168167204,7.74865909625826e-06,0.00403787796634509,0.0144464940391237,-4.89240168554752,-2.40169459672732,-1.22947612941613,-0.930994685158536,-1.93549988953523,-2.90946056611617,-4.24526791869738,-13.9264151445605,-7.67046037601357,-6.3957279160668,2.15842439515414,21.5444261736373
0.0555613476012878,0.67061477164516,2.16551465604855,2.91870345053085,1.06890449709321,0.403601857947285,0.106125413325144,6.62751281271253e-06,0.00345364115593165,0.0123562442422201,-4.89240168554752,-2.40169459672732,-1.22947612941613,-0.930994685158536,-1.93549988953523,-2.90946056611617,-4.24526791869738,-13.9264151445605,-7.67046037601357,-6.3957279160668,2.00213417904017,78.4216759184701
0.0568620446021713,0.767046108354813,2.60796530230189,2.47959812331486,1.39530461807631,0.219431546396145,0.085755989309906,6.80970861313595e-06,0.00506280902082527,0.0142399114743775,-4.89938192207417,-2.29746307142753,-1.07368436755733,-1.12415820720574,-1.69914195155339,-3.54896966382794,-4.48850405639669,-13.9294159340052,-7.31808851446287,-6.28396129690573,2.03225470720113,257.963838354843
0.0526957613847087,0.710844623680506,2.41687962913054,2.29791791607827,1.29307061903158,0.203353792324368,0.0794726461491305,6.31076111820826e-06,0.00469185689618294,0.0131965528577655,-4.89938192207417,-2.29746307142753,-1.07368436755733,-1.12415820720574,-1.69914195155339,-3.54896966382794,-4.48850405639669,-13.9294159340052,-7.31808851446287,-6.28396129690573,1.95616166627209,51.1719111279593
0.0548663979781478,0.740125638165632,2.51643540415063,2.39257343648995,1.34633460706052,0.21173031391614,0.0827462725163321,6.57071312678881e-06,0.00488512322353863,0.0137401434576089,-4.89938192207417,-2.29746307142753,-1.07368436755733,-1.12415820720574,-1.69914195155339,-3.54896966382794,-4.48850405639669,-13.9294159340052,-7.31808851446287,-6.28396129690573,1.99652774553731,121.951432842668
0.0666465490219792,0.899035137062857,3.05672946837452,2.90627357908972,1.63540087733084,0.257190106619925,0.100512403052998,7.98148540183565e-06,0.00593398904235789,0.0166902362513624,-4.89938192207417,-2.29746307142753,-1.07368436755733,-1.12415820720574,-1.69914195155339,-3.54896966382794,-4.48850405639669,-13.9294159340052,-7.31808851446287,-6.28396129690573,2.19102991076153,42.7064437849826
0.0680750313350221,0.91830478884445,3.12224649881957,2.96856578274492,1.67045357341615,0.262702642884556,0.102666756010647,8.15255818648309e-06,0.00606117639890058,0.0170479698119961,-4.89938192207417,-2.29746307142753,-1.07368436755733,-1.12415820720574,-1.69914195155339,-3.54896966382794,-4.48850405639669,-13.9294159340052,-7.31808851446287,-6.28396129690573,2.21223714195321,55.7831839648888
0.0898435092500353,0.83064660185269,2.504058906256,3.13725377649962,1.81563559074885,0.169647928337683,0.0805743690794953,1.04160359409219e-05,0.00496122745353895,0.0160948237139074,-4.5670980679436,-2.34296300284546,-1.23949918191405,-1.01406433596912,-1.560976565582,-3.93144215895429,-4.67598684127566,-13.6295761816925,-7.46351425812732,-6.28666972687741,2.15741215973781,33.2113558642806
0.0909114771158092,0.840520480177324,2.53382460071973,3.17454624479307,1.83721801203961,0.171664529619981,0.0815321548750437,1.05398511365493e-05,0.0050202014577759,0.0162861425378851,-4.5670980679436,-2.34296300284546,-1.23949918191405,-1.01406433596912,-1.560976565582,-3.93144215895429,-4.67598684127566,-13.6295761816925,-7.46351425812732,-6.28666972687741,2.16922904307465,253.184760157303
0.0946019082817212,0.87464029732299,2.63668185892421,3.30341275066328,1.91179744717044,0.178633024141132,0.0848418448605176,1.09677024524932e-05,0.00522398989578943,0.0169472569527102,-4.5670980679436,-2.34296300284546,-1.23949918191405,-1.01406433596912,-1.560976565582,-3.93144215895429,-4.67598684127566,-13.6295761816925,-7.46351425812732,-6.28666972687741,2.20902043692706,297.540937541409
0.0938245902313125,0.867453616810168,2.6150169640045,3.27626951004921,1.89608872954092,0.177165245355417,0.08414472258637,1.08775838360436e-05,0.00518106579716494,0.0168080059695796,-4.5670980679436,-2.34296300284546,-1.23949918191405,-1.01406433596912,-1.560976565582,-3.93144215895429,-4.67598684127566,-13.6295761816925,-7.46351425812732,-6.28666972687741,2.20076976660091,215.615797795395
