"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.447543877022538,1.36308255978685,0.262494314556918,0.0351370773524738,0.00389564873975746,0.00184210992213015,0.00046906410581382,5.60187047587339e-07,0.0210040399816171,0.00389140463079148,-5.30747873490842,-4.19374931505641,-5.84102389406286,-7.85199640925811,-10.0513930945133,-10.8003417055531,-12.1682691507356,-18.8984931334856,-8.36653851773145,-10.0524831369682,4.50349803804706,14.2922301392841
0.638783618505964,1.94554065995894,0.374660623681076,0.0501514836137661,0.00556029637801335,0.00262926095553482,0.000669499645077095,7.99560283739493e-07,0.0299792653894931,0.00555423872105095,-5.30747873490842,-4.19374931505641,-5.84102389406286,-7.85199640925811,-10.0513930945133,-10.8003417055531,-12.1682691507356,-18.8984931334856,-8.36653851773145,-10.0524831369682,4.85928922777108,6.6251058911206
0.997768729321329,4.78203800940101,0.895057730775815,0.102420638675424,0.0124689105841245,0.00620240623861668,0.00103704002633163,1.54291952371233e-06,0.0967082629000316,0.0091691519316805,-5.64035438051733,-4.07325379940881,-5.74898767597261,-7.91678765396562,-10.0226375028928,-10.7209385760661,-12.5095053691265,-19.0199547585162,-7.97417704820754,-10.3300310967496,5.63812061684519,3.78098897089749
0.509577344527204,2.44226759032248,0.457121102560029,0.0523079502767165,0.00636808326206727,0.00316767363806145,0.000529633859287154,7.87995063993734e-07,0.0493905434738937,0.00468284077823359,-5.64035438051733,-4.07325379940881,-5.74898767597261,-7.91678765396562,-10.0226375028928,-10.7209385760661,-12.5095053691265,-19.0199547585162,-7.97417704820754,-10.3300310967496,4.96618074744069,1.76007482829628
0.924647390533286,4.43158703703936,0.829463552842987,0.0949147568018084,0.0115551282532633,0.00574786378348938,0.00096104069615245,1.42984688683706e-06,0.0896210116690512,0.00849719194226343,-5.64035438051733,-4.07325379940881,-5.74898767597261,-7.91678765396562,-10.0226375028928,-10.7209385760661,-12.5095053691265,-19.0199547585162,-7.97417704820754,-10.3300310967496,5.56201156694918,2.69012294257131
0.724357820966126,3.47165282943175,0.649791929182477,0.0743550970006362,0.00905215069897139,0.0045028084522222,0.000752867905811385,1.1201251264735e-06,0.0702080397241296,0.00665659958882163,-5.64035438051733,-4.07325379940881,-5.74898767597261,-7.91678765396562,-10.0226375028928,-10.7209385760661,-12.5095053691265,-19.0199547585162,-7.97417704820754,-10.3300310967496,5.31788459968432,2.42100878271571
0.411280735194481,1.97115829594316,0.368943213729871,0.0422178349908487,0.00513969075338842,0.00255663474192884,0.000427468382122867,6.35992146687094e-07,0.039863191034219,0.00377952869913703,-5.64035438051733,-4.07325379940881,-5.74898767597261,-7.91678765396562,-10.0226375028928,-10.7209385760661,-12.5095053691265,-19.0199547585162,-7.97417704820754,-10.3300310967496,4.75187513685739,4.00024599351495
0.365577773509413,1.75211625393724,0.327944946322358,0.0375264406951716,0.00456855024163036,0.00227253249824404,0.000379966592182473,5.65318462692876e-07,0.035433453055804,0.00335953417825924,-5.64035438051733,-4.07325379940881,-5.74898767597261,-7.91678765396562,-10.0226375028928,-10.7209385760661,-12.5095053691265,-19.0199547585162,-7.97417704820754,-10.3300310967496,4.63407814470863,3.17380895137775
0.159274156863786,0.763358331099425,0.142878365721783,0.0163494408985682,0.00199041637799894,0.000990092187850289,0.000165543047175189,2.46296760989002e-07,0.0154375724378944,0.00146367479773366,-5.64035438051733,-4.07325379940881,-5.74898767597261,-7.91678765396562,-10.0226375028928,-10.7209385760661,-12.5095053691265,-19.0199547585162,-7.97417704820754,-10.3300310967496,3.80322607593583,2.00923671429614
0.238747486399348,1.30908183166526,0.290060265116862,0.0335123871610069,0.00264633035106267,0.00140211930400417,0.000171534717170846,5.42492102025254e-07,0.0509940858777619,0.00180012412562237,-5.79269966212064,-4.09102483465871,-5.59801740111713,-7.75619097677116,-10.294932206126,-10.9301212326831,-13.0310757136356,-18.7874431443902,-7.33639645043685,-10.6802504920521,4.36035083427365,1.48866373272109
