"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.180580468239969,0.462049830818696,0.777397770880858,0.217507594161258,0.0878035721684935,9.61878166505776e-07,0.000566185792893725,8.97816560478059e-05,1.8891200844169e-10,0.00258274525124349,-2.25887842536499,-1.31938216703866,-0.799102760208026,-2.07282114561583,-2.97995272611517,-14.4016776725817,-8.02388790986616,-9.86542951139697,-22.9370394053148,-6.50620202711675,0.547299632236836,5.07218718110854
0.250789865159553,0.656324123254597,1.24044221811478,0.474600756539686,0.185849360715843,2.37605331572537e-06,0.00158092583084292,0.000192361257354102,6.35659249432514e-10,0.00386538424224705,-2.41762151984842,-1.45558216049227,-0.819013695206528,-1.77976297968317,-2.71730046078932,-13.9845513561962,-7.48422627342698,-9.59061704387168,-22.2108401062566,-6.59017582479651,1.03448163875891,4.63613345663365
0.213971247855674,0.753714052472131,1.78091795378358,0.799350913723865,0.128148458347307,1.22561945646777e-06,0.00298800894603636,0.000269754416908469,3.6999906867781e-10,0.00199400194782282,-2.8451946874651,-1.58602328232093,-0.726152122916663,-1.52723629715195,-3.35784691497201,-14.9153452216944,-7.11642907639163,-9.52127963854229,-23.0208016860441,-7.52089268926468,1.30328105866365,6.51996282450507
0.102076327348771,0.359564021421272,0.849598092517244,0.381335372642463,0.0611340267189693,5.84689457565871e-07,0.0014254484298862,0.000128688038416725,1.76510378995273e-10,0.00095125114986168,-2.8451946874651,-1.58602328232093,-0.726152122916663,-1.52723629715195,-3.35784691497201,-14.9153452216944,-7.11642907639163,-9.52127963854229,-23.0208016860441,-7.52089268926468,0.563160249265777,11.1073451162277
0.0950239746744247,0.334722098186663,0.790900199131923,0.354989288247312,0.0569103371719114,5.44293840219277e-07,0.00132696560524164,0.000119797108899016,1.6431545118303e-10,0.000885530147108709,-2.8451946874651,-1.58602328232093,-0.726152122916663,-1.52723629715195,-3.35784691497201,-14.9153452216944,-7.11642907639163,-9.52127963854229,-23.0208016860441,-7.52089268926468,0.491568633238755,10.408356367864
0.0800515558527659,0.281981729662971,0.666282290145175,0.299055527119639,0.0479432801072166,4.58532374591956e-07,0.0011178827409257,0.000100921319981478,1.38425145474272e-10,0.000746001903976976,-2.8451946874651,-1.58602328232093,-0.726152122916663,-1.52723629715195,-3.35784691497201,-14.9153452216944,-7.11642907639163,-9.52127963854229,-23.0208016860441,-7.52089268926468,0.320110283748871,3.84444968372381
0.224843689719915,0.792012245803657,1.87141107896531,0.839968036004017,0.134660018556148,1.2878964045235e-06,0.00313983753927578,0.000283461348306269,3.88799694483088e-10,0.00209532243116883,-2.8451946874651,-1.58602328232093,-0.726152122916663,-1.52723629715195,-3.35784691497201,-14.9153452216944,-7.11642907639163,-9.52127963854229,-23.0208016860441,-7.52089268926468,1.35284485690699,4.88164161992359
0.120021038945363,0.396875544587548,1.30226727731767,0.576780070771138,0.119413444274866,7.36062754973973e-07,0.00292260502373696,0.000184663836413146,3.26893239717758e-10,0.00154089950154795,-3.04434962086379,-1.84839393098786,-0.660154589003921,-1.4745556388168,-3.04942487958625,-15.0462118507829,-6.75954132283872,-9.52123488012598,-22.7656488762232,-7.39965033499847,0.924261393840833,10.0314113998082
0.120455809665092,0.39831320808121,1.30698468091969,0.578869430175939,0.119846014010713,7.38729108611283e-07,0.00293319202665594,0.000185332772707739,3.28077395515404e-10,0.00154648133945908,-3.04434962086379,-1.84839393098786,-0.660154589003922,-1.4745556388168,-3.04942487958625,-15.0462118507829,-6.75954132283872,-9.52123488012598,-22.7656488762232,-7.39965033499847,0.927877302781363,4.14859101610538
0.090126440354124,0.298022583470247,0.977901167375565,0.433116852700023,0.0896701841401205,5.52725726805726e-07,0.00219464845218014,0.000138668140055258,2.45471330114055e-10,0.00115709535793288,-3.04434962086379,-1.84839393098786,-0.660154589003922,-1.4745556388168,-3.04942487958625,-15.0462118507829,-6.75954132283872,-9.52123488012598,-22.7656488762232,-7.39965033499847,0.63780791909691,2.30671406057764
0.189386470766154,0.252848273809093,1.06155811329996,0.480402019608751,0.0563613854531938,9.73946450531249e-07,0.00252394124257661,0.000292479176883324,2.78563468660666e-10,0.000942434773092475,-2.37902883724489,-2.09002898281046,-0.65532555733525,-1.44819528916472,-3.59103431444113,-14.5569728181304,-6.69699691845489,-8.85218038836344,-22.7164384922674,-7.68210715169936,0.715063304394461,2.44605080390957
0.127252210931218,0.330852366983777,0.5690308108638,0.575592670168612,0.0415941227946099,1.10321902511494e-06,0.00339773535737671,0.000571078674669091,2.13794813851996e-10,0.0017750119045557,-2.56240020948361,-1.60689898478538,-1.06463665766252,-1.05317099878117,-3.68061236115768,-14.2180942257116,-6.18546210113011,-7.96879953427691,-22.7668203351246,-6.83476410977153,0.500815960486221,3.32597225083062
0.139980385138241,0.363945281699825,0.625947097322292,0.633165294837203,0.0457545003396747,1.21356652978622e-06,0.00373758774360697,0.000628199795032435,2.35179256726132e-10,0.00195255428731976,-2.56240020948361,-1.60689898478538,-1.06463665766252,-1.05317099878117,-3.68061236115768,-14.2180942257116,-6.18546210113011,-7.96879953427691,-22.7668203351246,-6.83476410977153,0.596147237139569,4.66193962280734
0.0546077361239271,0.14197866284612,0.24418816882349,0.247004059241246,0.0178492842305269,4.73424335573512e-07,0.00145807003632222,0.000245066968535328,9.17457598108402e-11,0.00076171078672416,-2.56240020948361,-1.60689898478538,-1.06463665766252,-1.05317099878117,-3.68061236115768,-14.2180942257116,-6.18546210113011,-7.96879953427691,-22.7668203351246,-6.83476410977153,-0.345179509532946,3.58013946007628
0.0815413608028713,0.212005371311704,0.364626644339211,0.368831388077617,0.0266529072403108,7.0692666094511e-07,0.00217721926134769,0.000365938885597735,1.36996598538561e-10,0.00113740174005307,-2.56240020948361,-1.60689898478538,-1.06463665766252,-1.05317099878117,-3.68061236115768,-14.2180942257116,-6.18546210113011,-7.96879953427691,-22.7668203351246,-6.83476410977153,0.0557553165302593,7.93505638699116
0.0271461162029823,0.0705791807816047,0.121388669019945,0.122788479631427,0.00887307876602553,2.35344530629006e-07,0.000724822917915228,0.000121825530182667,4.56078430225329e-11,0.000378654948862071,-2.56240020948361,-1.60689898478538,-1.06463665766252,-1.05317099878117,-3.68061236115768,-14.2180942257116,-6.18546210113011,-7.96879953427691,-22.7668203351246,-6.83476410977153,-1.04412108296507,2.61110983328948
0.0178378773597026,0.0463780071343034,0.0797652295689146,0.0806850535992737,0.00583055379443031,1.54646316373455e-07,0.000476285529045705,8.00522936846642e-05,2.99691898610208e-11,0.000248816460113142,-2.56240020948361,-1.60689898478538,-1.06463665766252,-1.05317099878117,-3.68061236115768,-14.2180942257116,-6.18546210113011,-7.96879953427691,-22.7668203351246,-6.83476410977153,-1.46403093150505,0.771393003976899
0.0356185680898949,0.135753348510091,0.283846985955507,0.159821895141629,0.014175910063361,4.94107027150312e-07,0.000883215190037588,0.000135954552103009,6.10906136904684e-11,0.000635049008847477,-2.87423499361976,-1.53626244581251,-0.798666759944029,-1.37304203121192,-3.7955580215096,-14.0598604811554,-6.57128847580552,-8.44253669587174,-23.0580096757205,-6.90115517484358,-0.460653207918801,1.14865989336028
0.027975923742912,0.10662487375063,0.222942191659848,0.125529053825114,0.0111341977004258,3.88086923581742e-07,0.000693704495439362,0.000106782905268294,4.79824552659968e-11,0.000498787110130044,-2.87423499361976,-1.53626244581251,-0.798666759944029,-1.37304203121192,-3.7955580215096,-14.0598604811554,-6.57128847580552,-8.44253669587174,-23.0580096757205,-6.90115517484358,-0.702176011408849,2.12488600456194
0.0311370507445348,0.118672903712219,0.248133444979426,0.139713153166436,0.0123923013940041,4.31938632085978e-07,0.000772089324903163,0.000118848791930601,5.34042113566756e-11,0.000555147336744293,-2.87423499361976,-1.53626244581251,-0.798666759944029,-1.37304203121192,-3.7955580215096,-14.0598604811554,-6.57128847580552,-8.44253669587174,-23.0580096757205,-6.90115517484358,-0.595121832994271,0.284601608934426
0.0412528047193695,0.157227162022723,0.328746631595394,0.185102933209369,0.0164182919450118,5.72266146411507e-07,0.00102292443839533,0.000157460192517001,7.07540839485435e-11,0.000735502692952063,-2.87423499361976,-1.53626244581251,-0.798666759944029,-1.37304203121192,-3.7955580215096,-14.0598604811554,-6.57128847580552,-8.44253669587174,-23.0580096757205,-6.90115517484358,-0.313801181696285,0.117403561454827
0.0336766712530781,0.128352180742939,0.268371867394429,0.151108528791632,0.0134030503896772,4.67168693451706e-07,0.000835062979667033,0.000128542414871288,5.77600005904329e-11,0.00060042662710568,-2.87423499361976,-1.53626244581251,-0.798666759944029,-1.37304203121192,-3.7955580215096,-14.0598604811554,-6.57128847580552,-8.44253669587174,-23.0580096757205,-6.90115517484358,-0.516714935401265,0.594016888798893
0.0777078022366868,0.190920284703821,0.607469661298767,0.264796175843139,0.0174625717866151,6.72761517886351e-07,0.00177529210905073,0.000301387825364986,8.52275341408086e-11,0.00080086528876845,-2.7042834593684,-1.80538314323024,-0.647936892868633,-1.47827874430876,-4.19717929111134,-14.3613587744871,-6.48327414872058,-8.25659651380611,-23.3351804112401,-7.27930165146068,0.1494838476052,0.919649582731019
