"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-26,1,NA,NA,NA,1,NA,NA,NA
2020-06-07,2,NA,NA,NA,2,NA,NA,NA
2020-07-12,3,NA,NA,NA,3,NA,NA,NA
2020-07-19,11,NA,NA,NA,11,NA,NA,NA
2020-07-26,14,NA,NA,NA,14,NA,NA,NA
2020-08-02,22,NA,NA,NA,22,NA,NA,NA
2020-08-09,26,NA,NA,NA,26,NA,NA,NA
2020-08-23,28,NA,NA,NA,28,NA,NA,NA
2020-08-30,29,NA,NA,NA,29,NA,NA,NA
2020-09-06,31,NA,NA,NA,31,NA,NA,NA
2020-09-13,35,NA,NA,NA,35,NA,NA,NA
2020-10-11,37,NA,NA,NA,37,NA,NA,NA
2020-10-18,38,NA,NA,NA,38,NA,NA,NA
2020-11-01,39,NA,NA,NA,39,NA,NA,NA
2020-11-08,41,NA,NA,NA,41,NA,NA,NA
2020-11-22,44,NA,NA,NA,44,NA,NA,NA
2020-11-29,45,NA,NA,NA,45,NA,NA,NA
2020-12-06,47,NA,NA,NA,47,NA,NA,NA
2020-12-13,48,NA,NA,NA,48,NA,NA,NA
2020-12-20,50,NA,NA,NA,50,NA,NA,NA
2020-12-27,53,NA,NA,NA,53,NA,NA,NA
2021-01-03,57,NA,NA,NA,57,NA,NA,NA
2021-01-10,58,NA,NA,NA,58,NA,NA,NA
2021-01-17,62,NA,NA,NA,62,NA,NA,NA
2021-01-24,63,NA,NA,NA,63,NA,NA,NA
2021-01-31,67,NA,NA,NA,67,NA,NA,NA
2021-02-07,69,NA,NA,NA,69,NA,NA,NA
2021-02-14,71,NA,NA,NA,71,NA,NA,NA
2021-02-21,77,NA,NA,NA,77,NA,NA,NA
2021-02-28,81,NA,NA,NA,81,NA,NA,NA
2021-03-07,87,NA,NA,NA,87,NA,NA,NA
2021-03-14,95,NA,NA,NA,95,NA,NA,NA
2021-03-21,98,NA,NA,NA,98,NA,NA,NA
2021-03-28,103,NA,NA,NA,103,NA,NA,NA
2021-04-04,107,NA,NA,NA,107,NA,NA,NA
2021-04-11,113,NA,NA,NA,113,NA,NA,NA
2021-04-18,120,NA,NA,NA,120,NA,NA,NA
2021-04-25,124,NA,NA,NA,124,NA,NA,NA
2021-05-02,137,NA,NA,NA,137,NA,NA,NA
2021-05-09,149,NA,NA,NA,149,NA,NA,NA
2021-05-16,160,NA,NA,NA,160,NA,NA,NA
2021-05-23,172,NA,NA,NA,172,NA,NA,NA
2021-05-30,194,NA,NA,NA,194,NA,NA,NA
2021-06-06,204,NA,NA,NA,204,NA,NA,NA
2021-06-13,221,NA,NA,NA,221,NA,NA,NA
2021-06-20,234,NA,NA,NA,234,NA,NA,NA
2021-06-27,243,NA,NA,NA,243,NA,NA,NA
2021-07-04,249,NA,NA,NA,249,NA,NA,NA
2021-07-11,254,NA,NA,NA,254,NA,NA,NA
2021-07-18,255,NA,NA,NA,255,NA,NA,NA
2021-07-25,259,NA,NA,NA,259,NA,NA,NA
2021-08-01,261,NA,NA,NA,261,NA,NA,NA
2021-08-08,262,NA,NA,NA,262,NA,NA,NA
2021-08-15,270,NA,NA,NA,269,NA,NA,NA
2021-08-22,275,275,270,293,270,270,270,270
2021-08-29,NA,282,275,307,NA,270,270,270
