"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,3,NA,3,NA,NA,NA
2020-03-29,1,NA,1,NA,NA,NA
2020-04-19,4,NA,4,NA,NA,NA
2020-04-26,2,NA,2,NA,NA,NA
2020-05-03,8,NA,8,NA,NA,NA
2020-05-10,3,NA,3,NA,NA,NA
2020-05-17,1,NA,1,NA,NA,NA
2020-05-24,13,NA,13,NA,NA,NA
2020-05-31,5,NA,5,NA,NA,NA
2020-06-07,5,NA,5,NA,NA,NA
2020-06-14,1,NA,1,NA,NA,NA
2020-06-21,7,NA,7,NA,NA,NA
2020-06-28,3,NA,3,NA,NA,NA
2020-07-05,10,NA,10,NA,NA,NA
2020-07-12,30,NA,30,NA,NA,NA
2020-07-19,16,NA,16,NA,NA,NA
2020-07-26,19,NA,19,NA,NA,NA
2020-08-02,17,NA,17,NA,NA,NA
2020-08-09,13,NA,13,NA,NA,NA
2020-08-16,3,NA,3,NA,NA,NA
2020-08-23,12,NA,12,NA,NA,NA
2020-08-30,11,NA,11,NA,NA,NA
2020-09-06,15,NA,15,NA,NA,NA
2020-09-13,7,NA,7,NA,NA,NA
2020-09-20,14,NA,14,NA,NA,NA
2020-09-27,5,NA,5,NA,NA,NA
2020-10-04,15,NA,15,NA,NA,NA
2020-10-11,12,NA,12,NA,NA,NA
2020-10-18,10,NA,10,NA,NA,NA
2020-10-25,7,NA,7,NA,NA,NA
2020-11-01,16,NA,16,NA,NA,NA
2020-11-08,16,NA,16,NA,NA,NA
2020-11-15,14,NA,14,NA,NA,NA
2020-11-22,14,NA,14,NA,NA,NA
2020-11-29,12,NA,12,NA,NA,NA
2020-12-06,16,NA,16,NA,NA,NA
2020-12-13,9,NA,9,NA,NA,NA
2020-12-20,9,NA,9,NA,NA,NA
2020-12-27,9,NA,9,NA,NA,NA
2021-01-03,5,NA,5,NA,NA,NA
2021-01-10,12,NA,12,NA,NA,NA
2021-01-17,19,NA,19,NA,NA,NA
2021-01-24,13,NA,13,NA,NA,NA
2021-01-31,12,NA,12,NA,NA,NA
2021-02-07,32,NA,32,NA,NA,NA
2021-02-14,26,NA,26,NA,NA,NA
2021-02-21,18,NA,18,NA,NA,NA
2021-02-28,10,NA,10,NA,NA,NA
2021-03-07,17,NA,17,NA,NA,NA
2021-03-14,16,NA,16,NA,NA,NA
2021-03-21,19,NA,19,NA,NA,NA
2021-03-28,24,NA,24,NA,NA,NA
2021-04-04,23,NA,23,NA,NA,NA
2021-04-11,36,NA,36,NA,NA,NA
2021-04-18,32,NA,32,NA,NA,NA
2021-04-25,42,NA,42,NA,NA,NA
2021-05-02,39,NA,39,NA,NA,NA
2021-05-09,35,NA,35,NA,NA,NA
2021-05-16,32,NA,32,NA,NA,NA
2021-05-23,44,NA,44,NA,NA,NA
2021-05-30,53,NA,53,NA,NA,NA
2021-06-06,51,NA,51,NA,NA,NA
2021-06-13,34,NA,34,NA,NA,NA
2021-06-20,23,NA,23,NA,NA,NA
2021-06-27,15,NA,15,NA,NA,NA
2021-07-04,14,NA,14,NA,NA,NA
2021-07-11,9,NA,9,NA,NA,NA
2021-07-18,NA,10,10,NA,10,11
2021-07-25,NA,6,6,NA,6,7
2021-08-01,NA,11,11,NA,11,13
2021-08-08,NA,12,12,NA,12,14
2021-08-15,NA,2,2,NA,2,3
2021-08-22,NA,0,0,NA,0,1
2021-08-29,NA,0,0,NA,0,2
2021-09-05,NA,0,0,NA,0,3
2021-09-12,NA,0,0,NA,0,6
